epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1751288666601,2025-06-30T16:04:26.601,0.000,0.230,-0.011,1.037
1751288666611,2025-06-30T16:04:26.611,0.010,0.263,0.009,1.070
1751288666621,2025-06-30T16:04:26.621,0.020,0.296,0.023,1.098
1751288666631,2025-06-30T16:04:26.631,0.030,0.339,0.037,1.132
1751288666641,2025-06-30T16:04:26.641,0.040,0.376,0.045,1.165
1751288666651,2025-06-30T16:04:26.651,0.050,0.397,0.046,1.193
1751288666661,2025-06-30T16:04:26.661,0.060,0.419,0.046,1.223
1751288666671,2025-06-30T16:04:26.671,0.070,0.455,0.057,1.257
1751288666681,2025-06-30T16:04:26.681,0.080,0.491,0.078,1.297
1751288666691,2025-06-30T16:04:26.691,0.090,0.494,0.090,1.317
1751288666701,2025-06-30T16:04:26.701,0.100,0.486,0.102,1.321
1751288666711,2025-06-30T16:04:26.711,0.110,0.468,0.119,1.331
1751288666721,2025-06-30T16:04:26.721,0.120,0.450,0.143,1.328
1751288666731,2025-06-30T16:04:26.731,0.130,0.452,0.175,1.292
1751288666741,2025-06-30T16:04:26.741,0.140,0.454,0.226,1.238
1751288666751,2025-06-30T16:04:26.751,0.150,0.448,0.282,1.176
1751288666761,2025-06-30T16:04:26.761,0.160,0.452,0.339,1.098
1751288666771,2025-06-30T16:04:26.771,0.170,0.462,0.404,1.015
1751288666781,2025-06-30T16:04:26.781,0.180,0.485,0.459,0.947
1751288666791,2025-06-30T16:04:26.791,0.190,0.546,0.511,0.889
1751288666801,2025-06-30T16:04:26.801,0.200,0.588,0.554,0.852
1751288666811,2025-06-30T16:04:26.811,0.210,0.611,0.577,0.843
1751288666821,2025-06-30T16:04:26.821,0.220,0.623,0.589,0.868
1751288666831,2025-06-30T16:04:26.831,0.230,0.584,0.594,0.899
1751288666841,2025-06-30T16:04:26.841,0.240,0.529,0.586,0.909
1751288666851,2025-06-30T16:04:26.851,0.250,0.488,0.567,0.909
1751288666861,2025-06-30T16:04:26.861,0.260,0.421,0.569,0.899
1751288666871,2025-06-30T16:04:26.871,0.270,0.327,0.596,0.901
