epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1751288666511,2025-06-30T16:04:26.511,0.000,3.841,-2.927,-1.341
1751288666521,2025-06-30T16:04:26.521,0.010,3.902,-2.134,-0.488
1751288666531,2025-06-30T16:04:26.531,0.020,4.451,-1.280,1.829
1751288666541,2025-06-30T16:04:26.541,0.030,6.159,2.927,5.366
1751288666551,2025-06-30T16:04:26.551,0.040,8.537,9.573,9.146
1751288666561,2025-06-30T16:04:26.561,0.050,11.037,15.061,13.293
1751288666571,2025-06-30T16:04:26.571,0.060,12.561,17.073,17.866
1751288666581,2025-06-30T16:04:26.581,0.070,13.293,14.939,23.110
1751288666591,2025-06-30T16:04:26.591,0.080,12.744,8.902,27.744
1751288666601,2025-06-30T16:04:26.601,0.090,12.378,2.073,31.829
1751288666611,2025-06-30T16:04:26.611,0.100,13.780,-2.866,35.610
1751288666621,2025-06-30T16:04:26.621,0.110,15.671,-6.463,39.268
1751288666631,2025-06-30T16:04:26.631,0.120,17.683,-8.659,44.024
1751288666641,2025-06-30T16:04:26.641,0.130,20.061,-8.659,49.634
1751288666651,2025-06-30T16:04:26.651,0.140,22.683,-6.524,56.280
1751288666661,2025-06-30T16:04:26.661,0.150,24.756,-3.659,63.354
1751288666671,2025-06-30T16:04:26.671,0.160,26.646,0.122,70.183
1751288666681,2025-06-30T16:04:26.681,0.170,27.988,6.159,76.890
1751288666691,2025-06-30T16:04:26.691,0.180,28.110,14.329,83.720
1751288666701,2025-06-30T16:04:26.701,0.190,26.159,21.890,90.305
1751288666711,2025-06-30T16:04:26.711,0.200,21.951,27.195,97.134
1751288666721,2025-06-30T16:04:26.721,0.210,15.488,30.427,104.085
1751288666731,2025-06-30T16:04:26.731,0.220,7.622,31.098,110.244
1751288666741,2025-06-30T16:04:26.741,0.230,-1.402,29.573,115.549
1751288666751,2025-06-30T16:04:26.751,0.240,-10.610,26.890,120.000
1751288666761,2025-06-30T16:04:26.761,0.250,-19.817,22.195,123.902
1751288666771,2025-06-30T16:04:26.771,0.260,-28.232,14.085,126.890
1751288666781,2025-06-30T16:04:26.781,0.270,-34.695,4.024,129.756
1751288666791,2025-06-30T16:04:26.791,0.280,-38.110,-6.341,133.537
1751288666801,2025-06-30T16:04:26.801,0.290,-38.598,-14.451,138.537
1751288666811,2025-06-30T16:04:26.811,0.300,-37.134,-17.988,144.268
1751288666821,2025-06-30T16:04:26.821,0.310,-33.598,-15.915,150.793
1751288666831,2025-06-30T16:04:26.831,0.320,-29.146,-8.780,159.146
1751288666841,2025-06-30T16:04:26.841,0.330,-24.329,0.183,168.110
1751288666851,2025-06-30T16:04:26.851,0.340,-20.305,7.195,177.683
1751288666861,2025-06-30T16:04:26.861,0.350,-17.622,11.159,188.780
1751288666871,2025-06-30T16:04:26.871,0.360,-16.707,11.951,198.232
1751288666881,2025-06-30T16:04:26.881,0.370,-17.805,7.866,205.183
1751288666891,2025-06-30T16:04:26.891,0.380,-19.695,-1.098,210.427
1751288666901,2025-06-30T16:04:26.901,0.390,-21.402,-11.585,213.963
1751288666911,2025-06-30T16:04:26.911,0.400,-22.744,-19.512,216.402
1751288666921,2025-06-30T16:04:26.921,0.410,-23.415,-22.439,217.439
1751288666931,2025-06-30T16:04:26.931,0.420,-22.378,-20.122,217.134
1751288666941,2025-06-30T16:04:26.941,0.430,-20.427,-12.805,215.549
1751288666951,2025-06-30T16:04:26.951,0.440,-18.354,-1.829,212.256
1751288666961,2025-06-30T16:04:26.961,0.450,-16.341,10.732,206.768
1751288666971,2025-06-30T16:04:26.971,0.460,-15.061,23.659,200.244
1751288666981,2025-06-30T16:04:26.981,0.470,-14.329,35.671,193.049
1751288666991,2025-06-30T16:04:26.991,0.480,-14.756,44.695,184.207
1751288667001,2025-06-30T16:04:27.001,0.490,-16.707,48.354,174.512
1751288667011,2025-06-30T16:04:27.011,0.500,-18.963,45.610,164.329
1751288667021,2025-06-30T16:04:27.021,0.510,-21.341,38.293,150.915
1751288667031,2025-06-30T16:04:27.031,0.520,-23.110,27.134,134.512
1751288667041,2025-06-30T16:04:27.041,0.530,-24.451,16.646,118.293
1751288667051,2025-06-30T16:04:27.051,0.540,-24.939,10.488,102.317
1751288667061,2025-06-30T16:04:27.061,0.550,-24.573,7.622,86.220
1751288667071,2025-06-30T16:04:27.071,0.560,-22.378,5.793,71.280
1751288667081,2025-06-30T16:04:27.081,0.570,-19.939,4.695,55.366
1751288667091,2025-06-30T16:04:27.091,0.580,-17.622,2.988,38.841
1751288667101,2025-06-30T16:04:27.101,0.590,-14.634,2.439,24.329
1751288667111,2025-06-30T16:04:27.111,0.600,-11.098,4.573,11.220
1751288667121,2025-06-30T16:04:27.121,0.610,-7.805,8.780,-0.854
1751288667131,2025-06-30T16:04:27.131,0.620,-5.183,14.634,-11.037
1751288667141,2025-06-30T16:04:27.141,0.630,-2.500,19.756,-19.695
1751288667151,2025-06-30T16:04:27.151,0.640,0.000,22.866,-28.537
1751288667161,2025-06-30T16:04:27.161,0.650,3.049,24.390,-37.683
1751288667171,2025-06-30T16:04:27.171,0.660,6.098,25.061,-47.134
1751288667181,2025-06-30T16:04:27.181,0.670,8.415,25.671,-57.195
1751288667191,2025-06-30T16:04:27.191,0.680,10.976,26.098,-67.134
1751288667201,2025-06-30T16:04:27.201,0.690,13.598,27.988,-76.890
1751288667211,2025-06-30T16:04:27.211,0.700,16.402,30.915,-86.585
1751288667221,2025-06-30T16:04:27.221,0.710,19.024,32.256,-95.854
1751288667231,2025-06-30T16:04:27.231,0.720,22.012,31.402,-104.268
1751288667241,2025-06-30T16:04:27.241,0.730,25.183,30.244,-113.659
1751288667251,2025-06-30T16:04:27.251,0.740,28.963,30.366,-123.598
1751288667261,2025-06-30T16:04:27.261,0.750,34.024,31.646,-132.378
1751288667271,2025-06-30T16:04:27.271,0.760,40.610,32.866,-137.927
1751288667281,2025-06-30T16:04:27.281,0.770,47.317,32.988,-141.098
1751288667291,2025-06-30T16:04:27.291,0.780,52.622,34.268,-143.598
1751288667301,2025-06-30T16:04:27.301,0.790,57.256,39.451,-143.476
1751288667311,2025-06-30T16:04:27.311,0.800,60.976,49.268,-140.915
1751288667321,2025-06-30T16:04:27.321,0.810,62.134,61.341,-137.500
1751288667331,2025-06-30T16:04:27.331,0.820,60.183,72.622,-135.732
1751288667341,2025-06-30T16:04:27.341,0.830,55.976,79.085,-135.671
1751288667351,2025-06-30T16:04:27.351,0.840,49.939,74.329,-136.341
1751288667361,2025-06-30T16:04:27.361,0.850,41.646,55.915,-137.500
1751288667371,2025-06-30T16:04:27.371,0.860,31.341,28.902,-137.866
1751288667381,2025-06-30T16:04:27.381,0.870,21.951,0.183,-133.841
1751288667391,2025-06-30T16:04:27.391,0.880,15.305,-22.012,-124.634
1751288667401,2025-06-30T16:04:27.401,0.890,11.768,-30.671,-112.317
1751288667411,2025-06-30T16:04:27.411,0.900,11.220,-25.610,-96.463
1751288667421,2025-06-30T16:04:27.421,0.910,11.829,-12.195,-78.293
1751288667431,2025-06-30T16:04:27.431,0.920,12.073,1.037,-59.878
1751288667441,2025-06-30T16:04:27.441,0.930,11.951,7.500,-41.890
1751288667451,2025-06-30T16:04:27.451,0.940,11.768,7.500,-24.451
1751288667461,2025-06-30T16:04:27.461,0.950,10.793,3.171,-10.488
1751288667471,2025-06-30T16:04:27.471,0.960,8.232,-1.220,-1.159
1751288667481,2025-06-30T16:04:27.481,0.970,5.488,-0.915,4.756
1751288667491,2025-06-30T16:04:27.491,0.980,4.268,4.512,7.744
1751288667501,2025-06-30T16:04:27.501,0.990,3.841,12.378,9.634
1751288667511,2025-06-30T16:04:27.511,1.000,2.866,17.195,11.585
1751288667521,2025-06-30T16:04:27.521,1.010,0.732,15.732,13.476
1751288667531,2025-06-30T16:04:27.531,1.020,-2.378,8.598,16.037
1751288667541,2025-06-30T16:04:27.541,1.030,-5.183,-2.378,19.451
1751288667551,2025-06-30T16:04:27.551,1.040,-7.927,-12.744,23.720
1751288667561,2025-06-30T16:04:27.561,1.050,-9.268,-17.500,27.988
1751288667571,2025-06-30T16:04:27.571,1.060,-9.207,-14.817,31.646
1751288667581,2025-06-30T16:04:27.581,1.070,-8.598,-9.085,35.183
1751288667591,2025-06-30T16:04:27.591,1.080,-7.927,-4.756,38.049
1751288667601,2025-06-30T16:04:27.601,1.090,-7.500,-3.293,39.817
1751288667611,2025-06-30T16:04:27.611,1.100,-7.378,-4.756,40.549
1751288667621,2025-06-30T16:04:27.621,1.110,-7.744,-8.598,41.037
1751288667631,2025-06-30T16:04:27.631,1.120,-8.049,-12.683,41.341
1751288667641,2025-06-30T16:04:27.641,1.130,-7.988,-14.573,41.037
1751288667651,2025-06-30T16:04:27.651,1.140,-7.317,-12.561,40.915
1751288667661,2025-06-30T16:04:27.661,1.150,-5.549,-7.378,41.585
1751288667671,2025-06-30T16:04:27.671,1.160,-3.841,-2.256,42.927
1751288667681,2025-06-30T16:04:27.681,1.170,-2.866,0.488,45.610
1751288667691,2025-06-30T16:04:27.691,1.180,-2.317,1.829,48.598
1751288667701,2025-06-30T16:04:27.701,1.190,-2.256,3.049,51.037
1751288667711,2025-06-30T16:04:27.711,1.200,-1.585,4.085,54.085
1751288667721,2025-06-30T16:04:27.721,1.210,-1.402,4.024,57.073
1751288667731,2025-06-30T16:04:27.731,1.220,-1.159,2.927,59.329
1751288667741,2025-06-30T16:04:27.741,1.230,-0.183,2.317,61.646
1751288667751,2025-06-30T16:04:27.751,1.240,1.280,3.841,63.780
1751288667761,2025-06-30T16:04:27.761,1.250,4.024,5.122,65.854
1751288667771,2025-06-30T16:04:27.771,1.260,5.915,4.146,68.354
1751288667781,2025-06-30T16:04:27.781,1.270,6.890,0.244,72.256
1751288667791,2025-06-30T16:04:27.791,1.280,7.256,-5.305,75.610
1751288667801,2025-06-30T16:04:27.801,1.290,7.256,-9.939,78.720
1751288667811,2025-06-30T16:04:27.811,1.300,7.683,-12.439,81.768
1751288667821,2025-06-30T16:04:27.821,1.310,8.232,-12.927,85.610
1751288667831,2025-06-30T16:04:27.831,1.320,7.927,-12.439,90.549
1751288667841,2025-06-30T16:04:27.841,1.330,5.915,-13.110,95.915
1751288667851,2025-06-30T16:04:27.851,1.340,2.683,-15.610,102.134
1751288667861,2025-06-30T16:04:27.861,1.350,-1.280,-16.524,108.659
1751288667871,2025-06-30T16:04:27.871,1.360,-4.451,-13.049,115.183
1751288667881,2025-06-30T16:04:27.881,1.370,-6.768,-7.744,122.866
1751288667891,2025-06-30T16:04:27.891,1.380,-8.841,-4.207,130.183
1751288667901,2025-06-30T16:04:27.901,1.390,-11.341,-1.707,137.622
1751288667911,2025-06-30T16:04:27.911,1.400,-13.841,1.707,146.768
1751288667921,2025-06-30T16:04:27.921,1.410,-16.220,6.341,157.012
1751288667931,2025-06-30T16:04:27.931,1.420,-18.537,11.707,167.317
1751288667941,2025-06-30T16:04:27.941,1.430,-21.585,17.927,178.476
1751288667951,2025-06-30T16:04:27.951,1.440,-25.793,23.720,188.841
1751288667961,2025-06-30T16:04:27.961,1.450,-31.463,26.159,195.610
1751288667971,2025-06-30T16:04:27.971,1.460,-37.134,26.037,199.939
1751288667981,2025-06-30T16:04:27.981,1.470,-41.951,23.841,202.927
1751288667991,2025-06-30T16:04:27.991,1.480,-45.061,18.841,205.305
1751288668001,2025-06-30T16:04:28.001,1.490,-46.280,10.366,208.659
1751288668011,2025-06-30T16:04:28.011,1.500,-45.427,0.183,214.878
1751288668021,2025-06-30T16:04:28.021,1.510,-44.085,-7.622,223.720
1751288668031,2025-06-30T16:04:28.031,1.520,-41.341,-12.439,232.927
1751288668041,2025-06-30T16:04:28.041,1.530,-37.378,-14.573,240.244
1751288668051,2025-06-30T16:04:28.051,1.540,-33.171,-13.659,245.366
1751288668061,2025-06-30T16:04:28.061,1.550,-29.085,-8.841,248.110
1751288668071,2025-06-30T16:04:28.071,1.560,-26.037,-1.585,248.415
1751288668081,2025-06-30T16:04:28.081,1.570,-23.476,4.329,247.012
1751288668091,2025-06-30T16:04:28.091,1.580,-23.049,7.256,244.817
1751288668101,2025-06-30T16:04:28.101,1.590,-23.659,7.256,241.524
1751288668111,2025-06-30T16:04:28.111,1.600,-24.512,4.695,237.622
1751288668121,2025-06-30T16:04:28.121,1.610,-25.427,2.561,232.317
1751288668131,2025-06-30T16:04:28.131,1.620,-26.098,2.012,225.671
1751288668141,2025-06-30T16:04:28.141,1.630,-27.073,4.024,219.207
1751288668151,2025-06-30T16:04:28.151,1.640,-27.561,8.902,212.195
1751288668161,2025-06-30T16:04:28.161,1.650,-27.927,14.573,203.110
1751288668171,2025-06-30T16:04:28.171,1.660,-28.049,18.902,194.146
1751288668181,2025-06-30T16:04:28.181,1.670,-28.902,21.220,184.878
1751288668191,2025-06-30T16:04:28.191,1.680,-29.817,21.951,175.122
1751288668201,2025-06-30T16:04:28.201,1.690,-30.610,21.037,166.220
1751288668211,2025-06-30T16:04:28.211,1.700,-32.012,18.537,156.585
1751288668221,2025-06-30T16:04:28.221,1.710,-33.293,13.902,146.341
1751288668231,2025-06-30T16:04:28.231,1.720,-33.598,7.195,136.341
