epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1750844656662,2025-06-25T12:44:16.662,0.000,-0.495,0.112,0.898
1750844656672,2025-06-25T12:44:16.672,0.010,-0.553,0.117,0.891
1750844656682,2025-06-25T12:44:16.682,0.020,-0.612,0.114,0.885
1750844656692,2025-06-25T12:44:16.692,0.030,-0.625,0.111,0.890
1750844656702,2025-06-25T12:44:16.702,0.040,-0.654,0.116,0.887
1750844656712,2025-06-25T12:44:16.712,0.050,-0.662,0.116,0.889
1750844656722,2025-06-25T12:44:16.722,0.060,-0.637,0.113,0.889
1750844656732,2025-06-25T12:44:16.732,0.070,-0.636,0.110,0.897
1750844656742,2025-06-25T12:44:16.742,0.080,-0.631,0.097,0.901
1750844656752,2025-06-25T12:44:16.752,0.090,-0.646,0.085,0.887
1750844656762,2025-06-25T12:44:16.762,0.100,-0.626,0.081,0.889
1750844656772,2025-06-25T12:44:16.772,0.110,-0.539,0.078,0.895
1750844656782,2025-06-25T12:44:16.782,0.120,-0.482,0.078,0.898
1750844656792,2025-06-25T12:44:16.792,0.130,-0.481,0.071,0.908
1750844656802,2025-06-25T12:44:16.802,0.140,-0.457,0.063,0.916
1750844656812,2025-06-25T12:44:16.812,0.150,-0.458,0.053,0.925
1750844656822,2025-06-25T12:44:16.822,0.160,-0.442,0.044,0.936
1750844656832,2025-06-25T12:44:16.832,0.170,-0.441,0.049,0.955
1750844656842,2025-06-25T12:44:16.842,0.180,-0.436,0.054,0.958
1750844656852,2025-06-25T12:44:16.852,0.190,-0.416,0.060,0.963
1750844656862,2025-06-25T12:44:16.862,0.200,-0.416,0.067,0.983
1750844656872,2025-06-25T12:44:16.872,0.210,-0.419,0.079,0.996
1750844656882,2025-06-25T12:44:16.882,0.220,-0.430,0.083,0.997
1750844656892,2025-06-25T12:44:16.892,0.230,-0.416,0.083,1.002
1750844656902,2025-06-25T12:44:16.902,0.240,-0.381,0.086,1.009
1750844656912,2025-06-25T12:44:16.912,0.250,-0.377,0.082,1.006
1750844656922,2025-06-25T12:44:16.922,0.260,-0.386,0.081,0.997
1750844656932,2025-06-25T12:44:16.932,0.270,-0.386,0.084,0.993
1750844656942,2025-06-25T12:44:16.942,0.280,-0.379,0.085,0.988
1750844656952,2025-06-25T12:44:16.952,0.290,-0.388,0.086,0.969
1750844656962,2025-06-25T12:44:16.962,0.300,-0.445,0.093,0.952
1750844656972,2025-06-25T12:44:16.972,0.310,-0.463,0.083,0.941
1750844656982,2025-06-25T12:44:16.982,0.320,-0.482,0.077,0.951
1750844656992,2025-06-25T12:44:16.992,0.330,-0.518,0.078,0.947
1750844657002,2025-06-25T12:44:17.002,0.340,-0.550,0.089,0.937
1750844657012,2025-06-25T12:44:17.012,0.350,-0.579,0.099,0.923
1750844657022,2025-06-25T12:44:17.022,0.360,-0.614,0.104,0.909
1750844657032,2025-06-25T12:44:17.032,0.370,-0.655,0.101,0.895
1750844657042,2025-06-25T12:44:17.042,0.380,-0.663,0.089,0.893
1750844657052,2025-06-25T12:44:17.052,0.390,-0.644,0.085,0.898
1750844657062,2025-06-25T12:44:17.062,0.400,-0.648,0.096,0.889
1750844657072,2025-06-25T12:44:17.072,0.410,-0.668,0.106,0.880
1750844657082,2025-06-25T12:44:17.082,0.420,-0.667,0.107,0.869
1750844657092,2025-06-25T12:44:17.092,0.430,-0.624,0.103,0.872
1750844657102,2025-06-25T12:44:17.102,0.440,-0.588,0.102,0.876
1750844657112,2025-06-25T12:44:17.112,0.450,-0.553,0.105,0.872
1750844657122,2025-06-25T12:44:17.122,0.460,-0.503,0.127,0.885
1750844657132,2025-06-25T12:44:17.132,0.470,-0.462,0.141,0.901
1750844657142,2025-06-25T12:44:17.142,0.480,-0.428,0.130,0.897
1750844657152,2025-06-25T12:44:17.152,0.490,-0.378,0.112,0.907
1750844657162,2025-06-25T12:44:17.162,0.500,-0.293,0.100,0.937
1750844657172,2025-06-25T12:44:17.172,0.510,-0.212,0.103,0.965
1750844657182,2025-06-25T12:44:17.182,0.520,-0.132,0.108,1.010
1750844657192,2025-06-25T12:44:17.192,0.530,-0.069,0.098,1.036
1750844657202,2025-06-25T12:44:17.202,0.540,-0.028,0.096,1.057
1750844657212,2025-06-25T12:44:17.212,0.550,0.020,0.110,1.098
1750844657222,2025-06-25T12:44:17.222,0.560,0.063,0.110,1.134
1750844657232,2025-06-25T12:44:17.232,0.570,0.125,0.089,1.148
1750844657242,2025-06-25T12:44:17.242,0.580,0.231,0.075,1.172
1750844657252,2025-06-25T12:44:17.252,0.590,0.369,0.054,1.202
1750844657262,2025-06-25T12:44:17.262,0.600,0.509,0.020,1.213
1750844657272,2025-06-25T12:44:17.272,0.610,0.619,-0.011,1.236
1750844657282,2025-06-25T12:44:17.282,0.620,0.674,-0.045,1.240
1750844657292,2025-06-25T12:44:17.292,0.630,0.627,-0.068,1.230
1750844657302,2025-06-25T12:44:17.302,0.640,0.558,-0.072,1.228
1750844657312,2025-06-25T12:44:17.312,0.650,0.517,-0.083,1.218
1750844657322,2025-06-25T12:44:17.322,0.660,0.487,-0.108,1.205
1750844657332,2025-06-25T12:44:17.332,0.670,0.495,-0.133,1.213
1750844657342,2025-06-25T12:44:17.342,0.680,0.509,-0.159,1.204
1750844657352,2025-06-25T12:44:17.352,0.690,0.492,-0.171,1.188
1750844657362,2025-06-25T12:44:17.362,0.700,0.450,-0.173,1.174
1750844657372,2025-06-25T12:44:17.372,0.710,0.383,-0.159,1.154
1750844657382,2025-06-25T12:44:17.382,0.720,0.318,-0.137,1.132
1750844657392,2025-06-25T12:44:17.392,0.730,0.266,-0.116,1.121
1750844657402,2025-06-25T12:44:17.402,0.740,0.218,-0.085,1.099
1750844657412,2025-06-25T12:44:17.412,0.750,0.188,-0.048,1.078
1750844657422,2025-06-25T12:44:17.422,0.760,0.169,-0.030,1.075
1750844657432,2025-06-25T12:44:17.432,0.770,0.124,-0.022,1.053
1750844657442,2025-06-25T12:44:17.442,0.780,0.045,-0.007,1.024
1750844657452,2025-06-25T12:44:17.452,0.790,-0.024,0.002,0.993
1750844657462,2025-06-25T12:44:17.462,0.800,-0.068,0.003,0.991
1750844657472,2025-06-25T12:44:17.472,0.810,-0.104,0.001,0.996
1750844657482,2025-06-25T12:44:17.482,0.820,-0.140,0.002,0.987
1750844657492,2025-06-25T12:44:17.492,0.830,-0.161,0.007,0.978
1750844657502,2025-06-25T12:44:17.502,0.840,-0.218,0.020,0.962
1750844657512,2025-06-25T12:44:17.512,0.850,-0.276,0.025,0.937
1750844657522,2025-06-25T12:44:17.522,0.860,-0.357,0.031,0.899
1750844657532,2025-06-25T12:44:17.532,0.870,-0.452,0.040,0.875
1750844657542,2025-06-25T12:44:17.542,0.880,-0.497,0.025,0.865
1750844657552,2025-06-25T12:44:17.552,0.890,-0.496,0.011,0.876
1750844657562,2025-06-25T12:44:17.562,0.900,-0.461,0.009,0.900
1750844657572,2025-06-25T12:44:17.572,0.910,-0.440,0.010,0.911
1750844657582,2025-06-25T12:44:17.582,0.920,-0.429,0.011,0.921
1750844657592,2025-06-25T12:44:17.592,0.930,-0.428,0.031,0.917
1750844657602,2025-06-25T12:44:17.602,0.940,-0.438,0.057,0.895
1750844657612,2025-06-25T12:44:17.612,0.950,-0.431,0.090,0.912
1750844657622,2025-06-25T12:44:17.622,0.960,-0.412,0.091,0.947
1750844657632,2025-06-25T12:44:17.632,0.970,-0.426,0.064,0.960
1750844657642,2025-06-25T12:44:17.642,0.980,-0.446,0.055,0.959
1750844657652,2025-06-25T12:44:17.652,0.990,-0.437,0.057,0.978
1750844657662,2025-06-25T12:44:17.662,1.000,-0.366,0.044,1.011
1750844657672,2025-06-25T12:44:17.672,1.010,-0.344,0.025,1.033
1750844657682,2025-06-25T12:44:17.682,1.020,-0.348,0.012,1.039
1750844657692,2025-06-25T12:44:17.692,1.030,-0.328,0.011,1.051
1750844657702,2025-06-25T12:44:17.702,1.040,-0.312,0.011,1.049
1750844657712,2025-06-25T12:44:17.712,1.050,-0.286,0.011,1.049
1750844657722,2025-06-25T12:44:17.722,1.060,-0.282,0.018,1.044
1750844657732,2025-06-25T12:44:17.732,1.070,-0.296,0.026,1.029
1750844657742,2025-06-25T12:44:17.742,1.080,-0.336,0.033,1.012
1750844657752,2025-06-25T12:44:17.752,1.090,-0.363,0.035,1.008
1750844657762,2025-06-25T12:44:17.762,1.100,-0.328,0.029,1.002
1750844657772,2025-06-25T12:44:17.772,1.110,-0.278,0.024,1.006
1750844657782,2025-06-25T12:44:17.782,1.120,-0.265,0.025,1.001
1750844657792,2025-06-25T12:44:17.792,1.130,-0.264,0.020,0.987
1750844657802,2025-06-25T12:44:17.802,1.140,-0.284,0.020,0.969
1750844657812,2025-06-25T12:44:17.812,1.150,-0.301,0.019,0.949
1750844657822,2025-06-25T12:44:17.822,1.160,-0.302,0.020,0.935
1750844657832,2025-06-25T12:44:17.832,1.170,-0.333,0.028,0.929
1750844657842,2025-06-25T12:44:17.842,1.180,-0.346,0.030,0.921
1750844657852,2025-06-25T12:44:17.852,1.190,-0.365,0.033,0.912
1750844657862,2025-06-25T12:44:17.862,1.200,-0.413,0.038,0.898
1750844657872,2025-06-25T12:44:17.872,1.210,-0.451,0.042,0.885
