epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1750844656572,2025-06-25T12:44:16.572,0.000,-38.049,-27.012,116.890
1750844656582,2025-06-25T12:44:16.582,0.010,-38.537,-28.171,117.866
1750844656592,2025-06-25T12:44:16.592,0.020,-39.146,-33.354,121.646
1750844656602,2025-06-25T12:44:16.602,0.030,-39.207,-38.659,126.220
1750844656612,2025-06-25T12:44:16.612,0.040,-38.598,-41.890,128.537
1750844656622,2025-06-25T12:44:16.622,0.050,-36.951,-42.744,128.963
1750844656632,2025-06-25T12:44:16.632,0.060,-33.720,-39.878,128.354
1750844656642,2025-06-25T12:44:16.642,0.070,-30.244,-33.354,126.098
1750844656652,2025-06-25T12:44:16.652,0.080,-27.317,-25.244,121.829
1750844656662,2025-06-25T12:44:16.662,0.090,-25.122,-19.878,116.768
1750844656672,2025-06-25T12:44:16.672,0.100,-23.720,-18.110,110.793
1750844656682,2025-06-25T12:44:16.682,0.110,-22.195,-17.988,103.476
1750844656692,2025-06-25T12:44:16.692,0.120,-20.122,-18.537,95.183
1750844656702,2025-06-25T12:44:16.702,0.130,-17.378,-19.207,87.073
1750844656712,2025-06-25T12:44:16.712,0.140,-14.817,-17.927,77.927
1750844656722,2025-06-25T12:44:16.722,0.150,-12.256,-15.427,68.293
1750844656732,2025-06-25T12:44:16.732,0.160,-9.878,-11.341,58.415
1750844656742,2025-06-25T12:44:16.742,0.170,-7.561,-7.744,49.024
1750844656752,2025-06-25T12:44:16.752,0.180,-5.427,-7.500,42.256
1750844656762,2025-06-25T12:44:16.762,0.190,-3.537,-10.610,37.439
1750844656772,2025-06-25T12:44:16.772,0.200,-1.768,-13.110,34.512
1750844656782,2025-06-25T12:44:16.782,0.210,0.732,-10.366,32.866
1750844656792,2025-06-25T12:44:16.792,0.220,3.780,-1.890,30.244
1750844656802,2025-06-25T12:44:16.802,0.230,6.463,6.341,26.524
1750844656812,2025-06-25T12:44:16.812,0.240,8.720,12.134,22.012
1750844656822,2025-06-25T12:44:16.822,0.250,10.732,17.012,16.951
1750844656832,2025-06-25T12:44:16.832,0.260,11.890,19.573,13.049
1750844656842,2025-06-25T12:44:16.842,0.270,12.561,19.573,10.732
1750844656852,2025-06-25T12:44:16.852,0.280,12.439,17.256,9.146
1750844656862,2025-06-25T12:44:16.862,0.290,12.073,14.512,7.683
1750844656872,2025-06-25T12:44:16.872,0.300,10.915,11.220,6.098
1750844656882,2025-06-25T12:44:16.882,0.310,8.963,7.317,4.024
1750844656892,2025-06-25T12:44:16.892,0.320,7.012,3.232,1.037
1750844656902,2025-06-25T12:44:16.902,0.330,4.817,0.122,-2.317
1750844656912,2025-06-25T12:44:16.912,0.340,2.988,-0.671,-5.122
1750844656922,2025-06-25T12:44:16.922,0.350,2.195,-0.854,-6.585
1750844656932,2025-06-25T12:44:16.932,0.360,0.976,-2.927,-7.073
1750844656942,2025-06-25T12:44:16.942,0.370,-0.427,-5.183,-7.012
1750844656952,2025-06-25T12:44:16.952,0.380,-1.098,-6.890,-6.646
1750844656962,2025-06-25T12:44:16.962,0.390,-1.463,-7.988,-6.829
1750844656972,2025-06-25T12:44:16.972,0.400,-2.073,-10.488,-8.171
1750844656982,2025-06-25T12:44:16.982,0.410,-2.500,-13.902,-9.451
1750844656992,2025-06-25T12:44:16.992,0.420,-2.378,-15.061,-12.256
1750844657002,2025-06-25T12:44:17.002,0.430,-2.195,-15.427,-15.549
1750844657012,2025-06-25T12:44:17.012,0.440,-2.134,-16.585,-18.963
1750844657022,2025-06-25T12:44:17.022,0.450,-1.585,-18.049,-23.049
1750844657032,2025-06-25T12:44:17.032,0.460,-0.305,-18.476,-28.354
1750844657042,2025-06-25T12:44:17.042,0.470,1.098,-17.866,-35.366
1750844657052,2025-06-25T12:44:17.052,0.480,2.927,-16.402,-44.634
1750844657062,2025-06-25T12:44:17.062,0.490,5.061,-12.805,-54.573
1750844657072,2025-06-25T12:44:17.072,0.500,7.073,-8.902,-64.146
1750844657082,2025-06-25T12:44:17.082,0.510,8.841,-7.744,-72.256
1750844657092,2025-06-25T12:44:17.092,0.520,10.610,-8.476,-79.512
1750844657102,2025-06-25T12:44:17.102,0.530,12.744,-7.988,-86.037
1750844657112,2025-06-25T12:44:17.112,0.540,15.427,-5.671,-92.683
1750844657122,2025-06-25T12:44:17.122,0.550,18.049,-3.415,-99.512
1750844657132,2025-06-25T12:44:17.132,0.560,20.305,-1.402,-106.585
1750844657142,2025-06-25T12:44:17.142,0.570,22.988,0.488,-113.293
1750844657152,2025-06-25T12:44:17.152,0.580,25.976,2.439,-118.598
1750844657162,2025-06-25T12:44:17.162,0.590,28.537,4.512,-123.415
1750844657172,2025-06-25T12:44:17.172,0.600,31.585,8.110,-127.866
1750844657182,2025-06-25T12:44:17.182,0.610,34.756,14.451,-132.012
1750844657192,2025-06-25T12:44:17.192,0.620,37.988,22.256,-135.732
1750844657202,2025-06-25T12:44:17.202,0.630,40.854,29.329,-138.841
1750844657212,2025-06-25T12:44:17.212,0.640,42.073,32.561,-141.463
1750844657222,2025-06-25T12:44:17.222,0.650,41.341,30.000,-142.622
1750844657232,2025-06-25T12:44:17.232,0.660,39.146,23.049,-141.341
1750844657242,2025-06-25T12:44:17.242,0.670,35.244,13.415,-137.073
1750844657252,2025-06-25T12:44:17.252,0.680,29.634,3.659,-128.476
1750844657262,2025-06-25T12:44:17.262,0.690,23.537,-2.073,-114.573
1750844657272,2025-06-25T12:44:17.272,0.700,18.293,-3.049,-95.549
1750844657282,2025-06-25T12:44:17.282,0.710,13.598,-0.366,-72.500
1750844657292,2025-06-25T12:44:17.292,0.720,9.390,4.695,-48.293
1750844657302,2025-06-25T12:44:17.302,0.730,5.854,8.232,-27.317
1750844657312,2025-06-25T12:44:17.312,0.740,1.585,4.207,-10.305
1750844657322,2025-06-25T12:44:17.322,0.750,-4.329,-4.451,1.707
1750844657332,2025-06-25T12:44:17.332,0.760,-9.390,-9.817,9.268
1750844657342,2025-06-25T12:44:17.342,0.770,-12.195,-12.622,15.793
1750844657352,2025-06-25T12:44:17.352,0.780,-14.329,-13.293,22.927
1750844657362,2025-06-25T12:44:17.362,0.790,-16.402,-11.646,30.915
1750844657372,2025-06-25T12:44:17.372,0.800,-18.476,-8.476,39.756
1750844657382,2025-06-25T12:44:17.382,0.810,-20.427,-6.524,48.171
1750844657392,2025-06-25T12:44:17.392,0.820,-23.049,-8.354,56.585
1750844657402,2025-06-25T12:44:17.402,0.830,-25.366,-12.317,64.756
1750844657412,2025-06-25T12:44:17.412,0.840,-27.378,-16.280,71.890
1750844657422,2025-06-25T12:44:17.422,0.850,-29.207,-19.695,78.476
1750844657432,2025-06-25T12:44:17.432,0.860,-29.634,-22.439,84.939
1750844657442,2025-06-25T12:44:17.442,0.870,-29.756,-24.939,90.061
1750844657452,2025-06-25T12:44:17.452,0.880,-30.671,-29.329,93.963
1750844657462,2025-06-25T12:44:17.462,0.890,-32.012,-35.732,97.134
1750844657472,2025-06-25T12:44:17.472,0.900,-32.378,-41.220,99.207
1750844657482,2025-06-25T12:44:17.482,0.910,-31.890,-44.024,99.756
1750844657492,2025-06-25T12:44:17.492,0.920,-30.793,-44.207,100.305
1750844657502,2025-06-25T12:44:17.502,0.930,-29.146,-43.110,100.915
1750844657512,2025-06-25T12:44:17.512,0.940,-27.378,-40.122,100.000
1750844657522,2025-06-25T12:44:17.522,0.950,-24.817,-37.622,97.927
1750844657532,2025-06-25T12:44:17.532,0.960,-22.134,-35.366,93.171
1750844657542,2025-06-25T12:44:17.542,0.970,-19.085,-33.659,85.793
1750844657552,2025-06-25T12:44:17.552,0.980,-15.549,-31.402,76.951
1750844657562,2025-06-25T12:44:17.562,0.990,-11.341,-25.976,67.134
1750844657572,2025-06-25T12:44:17.572,1.000,-6.402,-16.463,57.439
1750844657582,2025-06-25T12:44:17.582,1.010,-1.646,-2.561,49.146
1750844657592,2025-06-25T12:44:17.592,1.020,2.805,12.805,42.866
1750844657602,2025-06-25T12:44:17.602,1.030,6.524,24.268,38.537
1750844657612,2025-06-25T12:44:17.612,1.040,8.598,29.451,36.159
1750844657622,2025-06-25T12:44:17.622,1.050,8.537,29.695,35.488
1750844657632,2025-06-25T12:44:17.632,1.060,8.354,27.134,36.402
1750844657642,2025-06-25T12:44:17.642,1.070,8.232,21.341,36.890
1750844657652,2025-06-25T12:44:17.652,1.080,6.585,13.171,34.390
1750844657662,2025-06-25T12:44:17.662,1.090,4.573,8.049,31.159
1750844657672,2025-06-25T12:44:17.672,1.100,3.841,9.146,28.293
1750844657682,2025-06-25T12:44:17.682,1.110,4.085,14.207,24.634
1750844657692,2025-06-25T12:44:17.692,1.120,4.207,17.012,20.549
1750844657702,2025-06-25T12:44:17.702,1.130,3.841,18.049,16.524
1750844657712,2025-06-25T12:44:17.712,1.140,3.232,19.695,13.720
1750844657722,2025-06-25T12:44:17.722,1.150,2.683,20.854,13.232
1750844657732,2025-06-25T12:44:17.732,1.160,1.646,19.817,13.354
1750844657742,2025-06-25T12:44:17.742,1.170,0.183,15.183,13.780
1750844657752,2025-06-25T12:44:17.752,1.180,-1.890,7.805,14.146
1750844657762,2025-06-25T12:44:17.762,1.190,-4.024,-0.732,13.720
1750844657772,2025-06-25T12:44:17.772,1.200,-5.671,-6.402,12.805
1750844657782,2025-06-25T12:44:17.782,1.210,-6.280,-5.671,11.402
1750844657792,2025-06-25T12:44:17.792,1.220,-5.854,-1.280,9.939
1750844657802,2025-06-25T12:44:17.802,1.230,-5.183,1.341,8.902
1750844657812,2025-06-25T12:44:17.812,1.240,-4.817,1.646,7.195
1750844657822,2025-06-25T12:44:17.822,1.250,-4.634,0.793,5.915
1750844657832,2025-06-25T12:44:17.832,1.260,-4.207,1.159,4.451
1750844657842,2025-06-25T12:44:17.842,1.270,-3.415,0.976,2.500
1750844657852,2025-06-25T12:44:17.852,1.280,-2.683,-0.854,1.280
1750844657862,2025-06-25T12:44:17.862,1.290,-2.317,-2.622,-0.122
1750844657872,2025-06-25T12:44:17.872,1.300,-2.195,-5.000,-1.646
1750844657882,2025-06-25T12:44:17.882,1.310,-2.134,-8.720,-3.354
1750844657892,2025-06-25T12:44:17.892,1.320,-1.890,-12.439,-6.463
1750844657902,2025-06-25T12:44:17.902,1.330,-1.220,-14.329,-10.549
1750844657912,2025-06-25T12:44:17.912,1.340,0.244,-13.415,-15.854
1750844657922,2025-06-25T12:44:17.922,1.350,2.378,-10.061,-22.256
1750844657932,2025-06-25T12:44:17.932,1.360,4.634,-5.671,-30.549
1750844657942,2025-06-25T12:44:17.942,1.370,7.134,-2.561,-39.329
1750844657952,2025-06-25T12:44:17.952,1.380,9.756,0.000,-47.805
1750844657962,2025-06-25T12:44:17.962,1.390,12.561,3.659,-56.098
1750844657972,2025-06-25T12:44:17.972,1.400,15.366,7.866,-63.293
1750844657982,2025-06-25T12:44:17.982,1.410,18.171,10.000,-69.756
1750844657992,2025-06-25T12:44:17.992,1.420,20.122,8.110,-76.402
1750844658002,2025-06-25T12:44:18.002,1.430,21.585,4.939,-82.805
1750844658012,2025-06-25T12:44:18.012,1.440,23.049,4.878,-89.756
1750844658022,2025-06-25T12:44:18.022,1.450,25.305,7.744,-96.402
1750844658032,2025-06-25T12:44:18.032,1.460,27.866,12.683,-102.073
1750844658042,2025-06-25T12:44:18.042,1.470,30.732,17.012,-107.805
1750844658052,2025-06-25T12:44:18.052,1.480,32.683,20.366,-113.293
1750844658062,2025-06-25T12:44:18.062,1.490,34.451,23.902,-118.110
1750844658072,2025-06-25T12:44:18.072,1.500,36.524,27.622,-121.829
