epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1751285206041,2025-06-30T15:06:46.041,0.000,-0.401,0.092,0.912
1751285206051,2025-06-30T15:06:46.051,0.010,-0.434,0.134,0.975
1751285206062,2025-06-30T15:06:46.062,0.021,-0.453,0.178,1.024
1751285206070,2025-06-30T15:06:46.070,0.029,-0.502,0.214,1.073
1751285206081,2025-06-30T15:06:46.081,0.040,-0.554,0.231,1.107
1751285206091,2025-06-30T15:06:46.091,0.050,-0.575,0.256,1.151
1751285206101,2025-06-30T15:06:46.101,0.060,-0.542,0.292,1.214
1751285206110,2025-06-30T15:06:46.110,0.069,-0.518,0.310,1.283
1751285206120,2025-06-30T15:06:46.120,0.079,-0.501,0.331,1.349
1751285206130,2025-06-30T15:06:46.130,0.089,-0.473,0.358,1.373
1751285206141,2025-06-30T15:06:46.141,0.100,-0.448,0.373,1.397
1751285206151,2025-06-30T15:06:46.151,0.110,-0.411,0.368,1.435
1751285206160,2025-06-30T15:06:46.160,0.119,-0.354,0.355,1.456
1751285206170,2025-06-30T15:06:46.170,0.129,-0.322,0.342,1.482
1751285206180,2025-06-30T15:06:46.180,0.139,-0.287,0.330,1.516
1751285206190,2025-06-30T15:06:46.190,0.149,-0.236,0.313,1.546
1751285206201,2025-06-30T15:06:46.201,0.160,-0.157,0.299,1.565
1751285206209,2025-06-30T15:06:46.209,0.168,-0.070,0.288,1.581
1751285206220,2025-06-30T15:06:46.220,0.179,0.015,0.282,1.593
1751285206230,2025-06-30T15:06:46.230,0.189,0.036,0.282,1.588
1751285206240,2025-06-30T15:06:46.240,0.199,-0.004,0.274,1.550
1751285206250,2025-06-30T15:06:46.250,0.209,-0.051,0.271,1.508
1751285206259,2025-06-30T15:06:46.259,0.218,-0.058,0.258,1.466
1751285206270,2025-06-30T15:06:46.270,0.229,-0.035,0.247,1.430
1751285206280,2025-06-30T15:06:46.280,0.239,0.023,0.238,1.417
1751285206290,2025-06-30T15:06:46.290,0.249,0.087,0.226,1.402
1751285206299,2025-06-30T15:06:46.299,0.258,0.141,0.219,1.387
1751285206309,2025-06-30T15:06:46.309,0.268,0.182,0.214,1.364
1751285206319,2025-06-30T15:06:46.319,0.278,0.212,0.200,1.333
1751285206330,2025-06-30T15:06:46.330,0.289,0.235,0.191,1.305
1751285206340,2025-06-30T15:06:46.340,0.299,0.234,0.181,1.265
1751285206349,2025-06-30T15:06:46.349,0.308,0.223,0.163,1.233
1751285206359,2025-06-30T15:06:46.359,0.318,0.213,0.150,1.196
1751285206369,2025-06-30T15:06:46.369,0.328,0.204,0.138,1.167
1751285206379,2025-06-30T15:06:46.379,0.338,0.187,0.121,1.133
1751285206390,2025-06-30T15:06:46.390,0.349,0.175,0.104,1.090
1751285206398,2025-06-30T15:06:46.398,0.357,0.181,0.085,1.060
1751285206409,2025-06-30T15:06:46.409,0.368,0.188,0.066,1.030
1751285206419,2025-06-30T15:06:46.419,0.378,0.188,0.053,0.988
1751285206429,2025-06-30T15:06:46.429,0.388,0.165,0.041,0.943
1751285206439,2025-06-30T15:06:46.439,0.398,0.139,0.028,0.897
1751285206448,2025-06-30T15:06:46.448,0.407,0.130,0.009,0.863
1751285206458,2025-06-30T15:06:46.458,0.417,0.122,-0.002,0.836
1751285206469,2025-06-30T15:06:46.469,0.428,0.102,-0.009,0.801
1751285206479,2025-06-30T15:06:46.479,0.438,0.082,-0.017,0.776
1751285206488,2025-06-30T15:06:46.488,0.447,0.051,-0.024,0.735
1751285206498,2025-06-30T15:06:46.498,0.457,0.026,-0.044,0.703
1751285206508,2025-06-30T15:06:46.508,0.467,-0.012,-0.055,0.701
1751285206519,2025-06-30T15:06:46.519,0.478,-0.088,-0.069,0.684
1751285206529,2025-06-30T15:06:46.529,0.488,-0.168,-0.100,0.661
1751285206538,2025-06-30T15:06:46.538,0.497,-0.231,-0.137,0.648
1751285206548,2025-06-30T15:06:46.548,0.507,-0.274,-0.157,0.649
1751285206558,2025-06-30T15:06:46.558,0.517,-0.280,-0.170,0.695
1751285206568,2025-06-30T15:06:46.568,0.527,-0.284,-0.169,0.752
1751285206579,2025-06-30T15:06:46.579,0.538,-0.300,-0.163,0.766
1751285206587,2025-06-30T15:06:46.587,0.546,-0.289,-0.148,0.779
1751285206598,2025-06-30T15:06:46.598,0.557,-0.258,-0.121,0.795
1751285206608,2025-06-30T15:06:46.608,0.567,-0.239,-0.086,0.800
1751285206618,2025-06-30T15:06:46.618,0.577,-0.218,-0.058,0.809
1751285206628,2025-06-30T15:06:46.628,0.587,-0.221,-0.039,0.822
1751285206637,2025-06-30T15:06:46.637,0.596,-0.269,-0.026,0.834
1751285206647,2025-06-30T15:06:46.647,0.606,-0.321,-0.011,0.849
1751285206658,2025-06-30T15:06:46.658,0.617,-0.340,0.001,0.856
1751285206668,2025-06-30T15:06:46.668,0.627,-0.335,0.014,0.872
1751285206677,2025-06-30T15:06:46.677,0.636,-0.342,0.013,0.894
1751285206687,2025-06-30T15:06:46.687,0.646,-0.355,0.008,0.912
1751285206697,2025-06-30T15:06:46.697,0.656,-0.350,-0.002,0.925
1751285206708,2025-06-30T15:06:46.708,0.667,-0.347,-0.013,0.930
1751285206718,2025-06-30T15:06:46.718,0.677,-0.337,-0.031,0.941
1751285206727,2025-06-30T15:06:46.727,0.686,-0.307,-0.044,0.954
1751285206737,2025-06-30T15:06:46.737,0.696,-0.284,-0.048,0.970
1751285206747,2025-06-30T15:06:46.747,0.706,-0.270,-0.054,0.985
1751285206757,2025-06-30T15:06:46.757,0.716,-0.255,-0.060,0.979
1751285206768,2025-06-30T15:06:46.768,0.727,-0.247,-0.062,0.963
1751285206776,2025-06-30T15:06:46.776,0.735,-0.246,-0.069,0.960
1751285206787,2025-06-30T15:06:46.787,0.746,-0.241,-0.079,0.960
1751285206797,2025-06-30T15:06:46.797,0.756,-0.225,-0.078,0.951
1751285206807,2025-06-30T15:06:46.807,0.766,-0.238,-0.071,0.932
1751285206817,2025-06-30T15:06:46.817,0.776,-0.262,-0.068,0.910
1751285206826,2025-06-30T15:06:46.826,0.785,-0.263,-0.071,0.894
1751285206836,2025-06-30T15:06:46.836,0.795,-0.267,-0.072,0.878
1751285206847,2025-06-30T15:06:46.847,0.806,-0.259,-0.074,0.867
1751285206857,2025-06-30T15:06:46.857,0.816,-0.229,-0.078,0.860
1751285206866,2025-06-30T15:06:46.866,0.825,-0.198,-0.079,0.857
1751285206876,2025-06-30T15:06:46.876,0.835,-0.181,-0.082,0.853
1751285206886,2025-06-30T15:06:46.886,0.845,-0.161,-0.081,0.843
1751285206896,2025-06-30T15:06:46.896,0.855,-0.150,-0.075,0.833
1751285206907,2025-06-30T15:06:46.907,0.866,-0.156,-0.066,0.819
1751285206916,2025-06-30T15:06:46.916,0.875,-0.166,-0.055,0.804
1751285206926,2025-06-30T15:06:46.926,0.885,-0.181,-0.050,0.785
1751285206936,2025-06-30T15:06:46.936,0.895,-0.189,-0.037,0.759
1751285206946,2025-06-30T15:06:46.946,0.905,-0.212,-0.021,0.747
1751285206957,2025-06-30T15:06:46.957,0.916,-0.245,-0.012,0.733
1751285206965,2025-06-30T15:06:46.965,0.924,-0.253,-0.010,0.728
1751285206976,2025-06-30T15:06:46.976,0.935,-0.252,-0.006,0.724
1751285206986,2025-06-30T15:06:46.986,0.945,-0.248,0.002,0.721
1751285206996,2025-06-30T15:06:46.996,0.955,-0.265,0.006,0.730
1751285207006,2025-06-30T15:06:47.006,0.965,-0.269,0.015,0.754
1751285207015,2025-06-30T15:06:47.015,0.974,-0.269,0.028,0.789
1751285207025,2025-06-30T15:06:47.025,0.984,-0.285,0.048,0.817
1751285207036,2025-06-30T15:06:47.036,0.995,-0.316,0.070,0.841
1751285207046,2025-06-30T15:06:47.046,1.005,-0.388,0.098,0.844
1751285207055,2025-06-30T15:06:47.055,1.014,-0.464,0.121,0.854
1751285207065,2025-06-30T15:06:47.065,1.024,-0.470,0.144,0.881
1751285207075,2025-06-30T15:06:47.075,1.034,-0.446,0.167,0.914
1751285207085,2025-06-30T15:06:47.085,1.044,-0.416,0.185,0.952
1751285207096,2025-06-30T15:06:47.096,1.055,-0.356,0.206,0.983
1751285207104,2025-06-30T15:06:47.104,1.063,-0.309,0.234,1.017
1751285207115,2025-06-30T15:06:47.115,1.074,-0.315,0.254,1.073
1751285207125,2025-06-30T15:06:47.125,1.084,-0.335,0.268,1.111
1751285207135,2025-06-30T15:06:47.135,1.094,-0.355,0.290,1.147
1751285207145,2025-06-30T15:06:47.145,1.104,-0.397,0.306,1.181
1751285207154,2025-06-30T15:06:47.154,1.113,-0.474,0.319,1.224
1751285207165,2025-06-30T15:06:47.165,1.124,-0.504,0.322,1.266
1751285207175,2025-06-30T15:06:47.175,1.134,-0.456,0.320,1.312
1751285207185,2025-06-30T15:06:47.185,1.144,-0.379,0.317,1.342
1751285207195,2025-06-30T15:06:47.195,1.154,-0.323,0.321,1.347
1751285207204,2025-06-30T15:06:47.204,1.163,-0.295,0.313,1.360
1751285207214,2025-06-30T15:06:47.214,1.173,-0.276,0.295,1.375
1751285207225,2025-06-30T15:06:47.225,1.184,-0.254,0.290,1.382
1751285207235,2025-06-30T15:06:47.235,1.194,-0.245,0.288,1.371
1751285207244,2025-06-30T15:06:47.244,1.203,-0.241,0.282,1.359
1751285207254,2025-06-30T15:06:47.254,1.213,-0.244,0.276,1.352
1751285207264,2025-06-30T15:06:47.264,1.223,-0.229,0.277,1.355
1751285207274,2025-06-30T15:06:47.274,1.233,-0.209,0.287,1.358
1751285207285,2025-06-30T15:06:47.285,1.244,-0.187,0.280,1.360
1751285207293,2025-06-30T15:06:47.293,1.252,-0.156,0.278,1.355
1751285207304,2025-06-30T15:06:47.304,1.263,-0.123,0.278,1.347
1751285207314,2025-06-30T15:06:47.314,1.273,-0.099,0.276,1.340
1751285207324,2025-06-30T15:06:47.324,1.283,-0.076,0.273,1.335
1751285207334,2025-06-30T15:06:47.334,1.293,-0.042,0.263,1.316
1751285207343,2025-06-30T15:06:47.343,1.302,-0.016,0.253,1.297
1751285207354,2025-06-30T15:06:47.354,1.313,0.020,0.241,1.277
1751285207364,2025-06-30T15:06:47.364,1.323,0.048,0.227,1.264
1751285207374,2025-06-30T15:06:47.374,1.333,0.066,0.211,1.256
1751285207384,2025-06-30T15:06:47.384,1.343,0.090,0.197,1.253
1751285207393,2025-06-30T15:06:47.393,1.352,0.123,0.183,1.250
1751285207403,2025-06-30T15:06:47.403,1.362,0.151,0.167,1.237
1751285207414,2025-06-30T15:06:47.414,1.373,0.166,0.150,1.219
1751285207424,2025-06-30T15:06:47.424,1.383,0.178,0.138,1.205
1751285207434,2025-06-30T15:06:47.434,1.393,0.190,0.127,1.187
