epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1751285205952,2025-06-30T15:06:45.952,0.000,38.415,-48.902,19.146
1751285205962,2025-06-30T15:06:45.962,0.010,38.537,-48.232,19.085
1751285205971,2025-06-30T15:06:45.971,0.019,43.476,-42.195,19.756
1751285205981,2025-06-30T15:06:45.981,0.029,49.939,-35.122,19.390
1751285205991,2025-06-30T15:06:45.991,0.039,55.976,-29.268,18.659
1751285206001,2025-06-30T15:06:46.001,0.049,62.256,-22.927,17.805
1751285206012,2025-06-30T15:06:46.012,0.060,68.841,-15.427,15.976
1751285206020,2025-06-30T15:06:46.020,0.068,75.305,-5.854,13.598
1751285206031,2025-06-30T15:06:46.031,0.079,80.732,3.293,8.780
1751285206041,2025-06-30T15:06:46.041,0.089,85.122,11.280,2.866
1751285206051,2025-06-30T15:06:46.051,0.099,88.293,18.171,-3.354
1751285206062,2025-06-30T15:06:46.062,0.110,89.939,23.293,-10.610
1751285206070,2025-06-30T15:06:46.070,0.118,90.793,26.707,-19.024
1751285206081,2025-06-30T15:06:46.081,0.129,90.915,26.098,-27.561
1751285206091,2025-06-30T15:06:46.091,0.139,90.671,20.061,-35.000
1751285206101,2025-06-30T15:06:46.101,0.149,88.537,12.378,-42.012
1751285206110,2025-06-30T15:06:46.110,0.158,85.671,5.122,-47.988
1751285206120,2025-06-30T15:06:46.120,0.168,82.683,0.183,-53.110
1751285206130,2025-06-30T15:06:46.130,0.178,78.293,-4.268,-57.988
1751285206141,2025-06-30T15:06:46.141,0.189,72.805,-8.049,-62.805
1751285206151,2025-06-30T15:06:46.151,0.199,67.378,-10.732,-67.195
1751285206160,2025-06-30T15:06:46.160,0.208,62.378,-13.476,-71.098
1751285206170,2025-06-30T15:06:46.170,0.218,57.500,-15.610,-75.122
1751285206180,2025-06-30T15:06:46.180,0.228,52.927,-18.415,-79.695
1751285206190,2025-06-30T15:06:46.190,0.238,48.110,-21.768,-84.085
1751285206201,2025-06-30T15:06:46.201,0.249,43.232,-23.232,-87.927
1751285206209,2025-06-30T15:06:46.209,0.257,38.049,-18.476,-91.220
1751285206220,2025-06-30T15:06:46.220,0.268,32.561,-6.585,-93.537
1751285206230,2025-06-30T15:06:46.230,0.278,26.707,8.293,-94.878
1751285206240,2025-06-30T15:06:46.240,0.288,20.244,19.207,-94.695
1751285206250,2025-06-30T15:06:46.250,0.298,12.439,21.037,-93.780
1751285206259,2025-06-30T15:06:46.259,0.307,3.902,14.390,-92.317
1751285206270,2025-06-30T15:06:46.270,0.318,-4.085,3.110,-89.573
1751285206280,2025-06-30T15:06:46.280,0.328,-11.890,-7.012,-85.427
1751285206290,2025-06-30T15:06:46.290,0.338,-19.024,-14.085,-79.939
1751285206299,2025-06-30T15:06:46.299,0.347,-25.671,-16.951,-73.171
1751285206309,2025-06-30T15:06:46.309,0.357,-32.256,-15.305,-65.366
1751285206319,2025-06-30T15:06:46.319,0.367,-38.720,-11.585,-57.012
1751285206330,2025-06-30T15:06:46.330,0.378,-44.390,-6.220,-48.537
1751285206340,2025-06-30T15:06:46.340,0.388,-49.573,-0.305,-40.122
1751285206349,2025-06-30T15:06:46.349,0.397,-54.817,4.268,-31.341
1751285206359,2025-06-30T15:06:46.359,0.407,-59.817,6.585,-22.378
1751285206369,2025-06-30T15:06:46.369,0.417,-64.512,6.768,-14.085
1751285206379,2025-06-30T15:06:46.379,0.427,-69.024,5.610,-5.976
1751285206390,2025-06-30T15:06:46.390,0.438,-73.049,3.110,2.012
1751285206398,2025-06-30T15:06:46.398,0.446,-76.159,0.732,9.085
1751285206409,2025-06-30T15:06:46.409,0.457,-78.232,0.061,15.366
1751285206419,2025-06-30T15:06:46.419,0.467,-79.756,0.610,21.341
1751285206429,2025-06-30T15:06:46.429,0.477,-80.549,1.646,27.012
1751285206439,2025-06-30T15:06:46.439,0.487,-80.732,1.402,32.805
1751285206448,2025-06-30T15:06:46.448,0.496,-80.427,-0.122,38.659
1751285206458,2025-06-30T15:06:46.458,0.506,-79.878,-1.646,44.634
1751285206469,2025-06-30T15:06:46.469,0.517,-78.841,-3.415,50.549
1751285206479,2025-06-30T15:06:46.479,0.527,-77.439,-5.610,56.768
1751285206488,2025-06-30T15:06:46.488,0.536,-75.854,-8.963,62.805
1751285206498,2025-06-30T15:06:46.498,0.546,-74.146,-13.780,68.354
1751285206508,2025-06-30T15:06:46.508,0.556,-71.646,-18.415,73.780
1751285206519,2025-06-30T15:06:46.519,0.567,-68.720,-23.293,77.988
1751285206529,2025-06-30T15:06:46.529,0.577,-66.159,-31.037,80.427
1751285206538,2025-06-30T15:06:46.538,0.586,-62.683,-39.939,81.707
1751285206548,2025-06-30T15:06:46.548,0.596,-57.500,-48.293,79.939
1751285206558,2025-06-30T15:06:46.558,0.606,-51.402,-54.085,75.366
1751285206568,2025-06-30T15:06:46.568,0.616,-44.268,-54.085,70.244
1751285206579,2025-06-30T15:06:46.579,0.627,-36.646,-49.817,63.720
1751285206587,2025-06-30T15:06:46.587,0.635,-29.146,-43.476,55.610
1751285206598,2025-06-30T15:06:46.598,0.646,-22.012,-33.841,48.354
