epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1750844380640,2025-06-25T12:39:40.640,0.000,-0.887,0.431,0.792
1750844380650,2025-06-25T12:39:40.650,0.010,-0.918,0.450,0.790
1750844380660,2025-06-25T12:39:40.660,0.020,-0.917,0.460,0.773
1750844380670,2025-06-25T12:39:40.670,0.030,-0.891,0.474,0.762
1750844380680,2025-06-25T12:39:40.680,0.040,-0.857,0.485,0.757
1750844380690,2025-06-25T12:39:40.690,0.050,-0.814,0.492,0.771
1750844380700,2025-06-25T12:39:40.700,0.060,-0.756,0.506,0.789
1750844380710,2025-06-25T12:39:40.710,0.070,-0.702,0.521,0.793
1750844380720,2025-06-25T12:39:40.720,0.080,-0.643,0.536,0.800
1750844380730,2025-06-25T12:39:40.730,0.090,-0.591,0.536,0.810
1750844380740,2025-06-25T12:39:40.740,0.100,-0.537,0.533,0.817
1750844380750,2025-06-25T12:39:40.750,0.110,-0.473,0.536,0.825
1750844380760,2025-06-25T12:39:40.760,0.120,-0.403,0.555,0.836
1750844380770,2025-06-25T12:39:40.770,0.130,-0.337,0.576,0.849
1750844380780,2025-06-25T12:39:40.780,0.140,-0.258,0.579,0.867
1750844380790,2025-06-25T12:39:40.790,0.150,-0.175,0.547,0.900
1750844380800,2025-06-25T12:39:40.800,0.160,-0.101,0.527,0.941
1750844380810,2025-06-25T12:39:40.810,0.170,0.002,0.507,0.999
1750844380820,2025-06-25T12:39:40.820,0.180,0.178,0.495,1.067
1750844380830,2025-06-25T12:39:40.830,0.190,0.425,0.491,1.169
1750844380840,2025-06-25T12:39:40.840,0.200,0.638,0.479,1.260
1750844380850,2025-06-25T12:39:40.850,0.210,0.755,0.448,1.346
1750844380860,2025-06-25T12:39:40.860,0.220,0.852,0.363,1.391
1750844380870,2025-06-25T12:39:40.870,0.230,0.783,0.285,1.372
1750844380880,2025-06-25T12:39:40.880,0.240,0.761,0.198,1.340
1750844380890,2025-06-25T12:39:40.890,0.250,0.770,0.147,1.349
1750844380900,2025-06-25T12:39:40.900,0.260,0.725,0.154,1.382
1750844380910,2025-06-25T12:39:40.910,0.270,0.705,0.152,1.372
1750844380920,2025-06-25T12:39:40.920,0.280,0.695,0.110,1.342
1750844380930,2025-06-25T12:39:40.930,0.290,0.728,0.057,1.309
1750844380940,2025-06-25T12:39:40.940,0.300,0.691,0.021,1.278
1750844380950,2025-06-25T12:39:40.950,0.310,0.602,0.001,1.247
1750844380960,2025-06-25T12:39:40.960,0.320,0.530,0.005,1.207
1750844380970,2025-06-25T12:39:40.970,0.330,0.478,0.039,1.153
1750844380980,2025-06-25T12:39:40.980,0.340,0.456,0.094,1.105
1750844380990,2025-06-25T12:39:40.990,0.350,0.452,0.144,1.079
1750844381000,2025-06-25T12:39:41.000,0.360,0.432,0.172,1.066
1750844381010,2025-06-25T12:39:41.010,0.370,0.378,0.185,1.041
1750844381020,2025-06-25T12:39:41.020,0.380,0.314,0.188,1.007
1750844381030,2025-06-25T12:39:41.030,0.390,0.263,0.198,1.000
1750844381040,2025-06-25T12:39:41.040,0.400,0.240,0.222,1.000
1750844381050,2025-06-25T12:39:41.050,0.410,0.216,0.247,0.985
1750844381060,2025-06-25T12:39:41.060,0.420,0.166,0.277,0.964
1750844381070,2025-06-25T12:39:41.070,0.430,0.085,0.311,0.918
1750844381080,2025-06-25T12:39:41.080,0.440,0.032,0.342,0.894
1750844381090,2025-06-25T12:39:41.090,0.450,-0.010,0.379,0.936
1750844381100,2025-06-25T12:39:41.100,0.460,-0.058,0.397,0.972
1750844381110,2025-06-25T12:39:41.110,0.470,-0.108,0.414,0.976
1750844381120,2025-06-25T12:39:41.120,0.480,-0.181,0.445,0.975
1750844381130,2025-06-25T12:39:41.130,0.490,-0.275,0.471,0.981
1750844381140,2025-06-25T12:39:41.140,0.500,-0.356,0.494,0.962
1750844381150,2025-06-25T12:39:41.150,0.510,-0.471,0.510,0.941
1750844381160,2025-06-25T12:39:41.160,0.520,-0.565,0.502,0.934
1750844381170,2025-06-25T12:39:41.170,0.530,-0.632,0.493,0.938
1750844381180,2025-06-25T12:39:41.180,0.540,-0.692,0.491,0.938
1750844381190,2025-06-25T12:39:41.190,0.550,-0.727,0.483,0.951
1750844381200,2025-06-25T12:39:41.200,0.560,-0.752,0.473,0.961
1750844381210,2025-06-25T12:39:41.210,0.570,-0.805,0.457,0.954
1750844381220,2025-06-25T12:39:41.220,0.580,-0.828,0.433,0.948
1750844381230,2025-06-25T12:39:41.230,0.590,-0.798,0.424,0.934
