epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1750844380651,2025-06-25T12:39:40.651,0.000,38.171,7.683,-105.671
1750844380661,2025-06-25T12:39:40.661,0.010,38.963,6.341,-107.988
1750844380671,2025-06-25T12:39:40.671,0.020,41.829,2.622,-116.402
1750844380681,2025-06-25T12:39:40.681,0.030,45.244,-3.720,-126.768
1750844380691,2025-06-25T12:39:40.691,0.040,47.866,-9.329,-136.463
1750844380701,2025-06-25T12:39:40.701,0.050,50.427,-13.415,-145.915
1750844380711,2025-06-25T12:39:40.711,0.060,53.902,-15.915,-154.573
1750844380721,2025-06-25T12:39:40.721,0.070,56.890,-16.524,-161.768
1750844380731,2025-06-25T12:39:40.731,0.080,59.573,-15.976,-167.500
1750844380741,2025-06-25T12:39:40.741,0.090,63.537,-15.976,-173.354
1750844380751,2025-06-25T12:39:40.751,0.100,67.683,-16.037,-179.207
1750844380761,2025-06-25T12:39:40.761,0.110,71.341,-16.220,-184.512
1750844380771,2025-06-25T12:39:40.771,0.120,74.756,-16.220,-189.268
1750844380781,2025-06-25T12:39:40.781,0.130,77.256,-16.707,-192.622
1750844380791,2025-06-25T12:39:40.791,0.140,79.268,-17.744,-193.720
1750844380801,2025-06-25T12:39:40.801,0.150,80.732,-18.171,-193.232
1750844380811,2025-06-25T12:39:40.811,0.160,80.915,-18.780,-191.951
1750844380821,2025-06-25T12:39:40.821,0.170,79.756,-18.354,-188.049
1750844380831,2025-06-25T12:39:40.831,0.180,76.159,-14.268,-181.037
1750844380841,2025-06-25T12:39:40.841,0.190,72.500,-5.000,-170.976
1750844380851,2025-06-25T12:39:40.851,0.200,67.988,7.805,-156.768
1750844380861,2025-06-25T12:39:40.861,0.210,59.756,21.341,-137.073
1750844380871,2025-06-25T12:39:40.871,0.220,51.524,30.244,-112.805
1750844380881,2025-06-25T12:39:40.881,0.230,40.061,35.122,-89.146
1750844380891,2025-06-25T12:39:40.891,0.240,27.744,30.366,-63.659
1750844380901,2025-06-25T12:39:40.901,0.250,15.976,17.134,-40.976
1750844380911,2025-06-25T12:39:40.911,0.260,4.085,-3.598,-23.476
1750844380921,2025-06-25T12:39:40.921,0.270,-7.073,-22.195,-9.634
1750844380931,2025-06-25T12:39:40.931,0.280,-15.061,-31.951,2.805
1750844380941,2025-06-25T12:39:40.941,0.290,-21.280,-34.695,16.951
1750844380951,2025-06-25T12:39:40.951,0.300,-26.098,-32.683,31.585
1750844380961,2025-06-25T12:39:40.961,0.310,-29.878,-30.793,46.707
1750844380971,2025-06-25T12:39:40.971,0.320,-33.354,-30.427,61.707
1750844380981,2025-06-25T12:39:40.981,0.330,-36.220,-29.817,73.171
1750844380991,2025-06-25T12:39:40.991,0.340,-37.927,-28.232,81.402
1750844381001,2025-06-25T12:39:41.001,0.350,-38.720,-26.951,88.780
1750844381011,2025-06-25T12:39:41.011,0.360,-38.963,-25.854,96.280
1750844381021,2025-06-25T12:39:41.021,0.370,-39.085,-26.524,104.207
1750844381031,2025-06-25T12:39:41.031,0.380,-39.329,-29.451,113.354
1750844381041,2025-06-25T12:39:41.041,0.390,-39.878,-32.317,123.049
1750844381051,2025-06-25T12:39:41.051,0.400,-39.817,-33.537,132.134
1750844381061,2025-06-25T12:39:41.061,0.410,-39.085,-32.317,140.183
1750844381071,2025-06-25T12:39:41.071,0.420,-38.659,-31.768,146.768
1750844381081,2025-06-25T12:39:41.081,0.430,-38.902,-34.207,151.646
1750844381091,2025-06-25T12:39:41.091,0.440,-39.878,-38.780,154.634
1750844381101,2025-06-25T12:39:41.101,0.450,-39.634,-40.671,157.927
1750844381111,2025-06-25T12:39:41.111,0.460,-38.598,-37.805,162.134
1750844381121,2025-06-25T12:39:41.121,0.470,-37.683,-32.195,166.037
1750844381131,2025-06-25T12:39:41.131,0.480,-36.829,-25.366,168.476
1750844381141,2025-06-25T12:39:41.141,0.490,-35.183,-18.598,168.963
1750844381151,2025-06-25T12:39:41.151,0.500,-32.683,-12.317,165.732
1750844381161,2025-06-25T12:39:41.161,0.510,-29.512,-5.854,158.476
1750844381171,2025-06-25T12:39:41.171,0.520,-25.000,-0.305,148.537
1750844381181,2025-06-25T12:39:41.181,0.530,-21.220,4.634,136.524
1750844381191,2025-06-25T12:39:41.191,0.540,-18.293,9.207,123.537
1750844381201,2025-06-25T12:39:41.201,0.550,-15.061,13.720,110.549
1750844381211,2025-06-25T12:39:41.211,0.560,-12.195,16.524,98.841
1750844381221,2025-06-25T12:39:41.221,0.570,-10.000,16.280,89.634
1750844381231,2025-06-25T12:39:41.231,0.580,-8.720,12.439,82.439
1750844381241,2025-06-25T12:39:41.241,0.590,-8.293,9.207,75.549
1750844381251,2025-06-25T12:39:41.251,0.600,-7.500,8.354,68.780
1750844381261,2025-06-25T12:39:41.261,0.610,-6.524,7.561,62.195
1750844381271,2025-06-25T12:39:41.271,0.620,-5.610,5.793,54.878
1750844381281,2025-06-25T12:39:41.281,0.630,-4.390,3.720,47.988
1750844381291,2025-06-25T12:39:41.291,0.640,-2.683,3.963,40.671
1750844381301,2025-06-25T12:39:41.301,0.650,-0.793,7.744,33.293
1750844381311,2025-06-25T12:39:41.311,0.660,1.646,12.378,28.110
1750844381321,2025-06-25T12:39:41.321,0.670,3.780,15.183,23.537
1750844381331,2025-06-25T12:39:41.331,0.680,5.549,16.524,18.659
1750844381341,2025-06-25T12:39:41.341,0.690,7.195,19.146,14.207
1750844381351,2025-06-25T12:39:41.351,0.700,7.988,22.744,11.341
1750844381361,2025-06-25T12:39:41.361,0.710,7.683,24.207,9.634
1750844381371,2025-06-25T12:39:41.371,0.720,6.159,22.866,9.085
1750844381381,2025-06-25T12:39:41.381,0.730,3.232,18.537,9.329
1750844381391,2025-06-25T12:39:41.391,0.740,0.488,12.256,9.695
1750844381401,2025-06-25T12:39:41.401,0.750,-1.768,5.976,9.390
1750844381411,2025-06-25T12:39:41.411,0.760,-3.354,-0.549,7.805
1750844381421,2025-06-25T12:39:41.421,0.770,-3.415,-5.549,5.122
1750844381431,2025-06-25T12:39:41.431,0.780,-3.232,-7.378,2.500
1750844381441,2025-06-25T12:39:41.441,0.790,-2.988,-6.098,0.732
