epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1751288607190,2025-06-30T16:03:27.190,0.000,18.171,25.976,-13.537
1751288607200,2025-06-30T16:03:27.200,0.010,18.415,26.463,-15.976
1751288607210,2025-06-30T16:03:27.210,0.020,19.390,27.744,-24.512
1751288607220,2025-06-30T16:03:27.220,0.030,18.902,21.768,-43.963
1751288607230,2025-06-30T16:03:27.230,0.040,17.134,16.037,-51.463
1751288607240,2025-06-30T16:03:27.240,0.050,15.122,10.183,-57.317
1751288607250,2025-06-30T16:03:27.250,0.060,12.683,5.854,-62.439
1751288607260,2025-06-30T16:03:27.260,0.070,11.280,3.659,-67.195
1751288607270,2025-06-30T16:03:27.270,0.080,10.915,3.476,-72.988
1751288607280,2025-06-30T16:03:27.280,0.090,11.707,4.817,-79.085
1751288607290,2025-06-30T16:03:27.290,0.100,13.415,5.854,-84.634
1751288607300,2025-06-30T16:03:27.300,0.110,15.244,5.427,-89.634
1751288607310,2025-06-30T16:03:27.310,0.120,16.585,4.878,-94.878
1751288607320,2025-06-30T16:03:27.320,0.130,18.598,5.793,-99.695
1751288607330,2025-06-30T16:03:27.330,0.140,20.976,7.866,-103.598
1751288607340,2025-06-30T16:03:27.340,0.150,22.683,9.817,-107.256
1751288607350,2025-06-30T16:03:27.350,0.160,24.512,10.732,-110.000
1751288607360,2025-06-30T16:03:27.360,0.170,25.915,11.341,-111.890
1751288607370,2025-06-30T16:03:27.370,0.180,26.037,11.463,-112.683
1751288607380,2025-06-30T16:03:27.380,0.190,25.732,12.012,-112.500
1751288607390,2025-06-30T16:03:27.390,0.200,25.366,13.598,-111.890
1751288607400,2025-06-30T16:03:27.400,0.210,24.451,13.293,-111.159
1751288607410,2025-06-30T16:03:27.410,0.220,22.500,9.878,-109.878
1751288607420,2025-06-30T16:03:27.420,0.230,20.488,4.085,-107.927
1751288607430,2025-06-30T16:03:27.430,0.240,18.415,-2.744,-106.098
1751288607440,2025-06-30T16:03:27.440,0.250,16.585,-10.244,-103.415
1751288607450,2025-06-30T16:03:27.450,0.260,15.427,-18.354,-99.634
1751288607460,2025-06-30T16:03:27.460,0.270,14.817,-24.817,-94.634
1751288607470,2025-06-30T16:03:27.470,0.280,14.085,-30.976,-88.171
1751288607480,2025-06-30T16:03:27.480,0.290,12.683,-37.012,-79.451
1751288607490,2025-06-30T16:03:27.490,0.300,11.402,-39.878,-68.963
1751288607500,2025-06-30T16:03:27.500,0.310,11.402,-37.073,-59.329
1751288607510,2025-06-30T16:03:27.510,0.320,12.012,-27.195,-50.793
1751288607520,2025-06-30T16:03:27.520,0.330,14.024,-11.402,-41.402
1751288607530,2025-06-30T16:03:27.530,0.340,16.463,5.915,-33.476
1751288607540,2025-06-30T16:03:27.540,0.350,17.927,16.646,-28.415
1751288607550,2025-06-30T16:03:27.550,0.360,17.378,15.244,-24.573
1751288607560,2025-06-30T16:03:27.560,0.370,15.488,4.573,-19.878
1751288607570,2025-06-30T16:03:27.570,0.380,12.866,-9.085,-14.817
1751288607580,2025-06-30T16:03:27.580,0.390,10.366,-20.915,-9.207
1751288607590,2025-06-30T16:03:27.590,0.400,8.232,-27.439,-2.988
1751288607600,2025-06-30T16:03:27.600,0.410,7.195,-25.366,4.085
1751288607610,2025-06-30T16:03:27.610,0.420,7.073,-16.280,12.256
1751288607620,2025-06-30T16:03:27.620,0.430,6.098,-5.183,22.134
1751288607630,2025-06-30T16:03:27.630,0.440,3.598,4.695,32.866
1751288607640,2025-06-30T16:03:27.640,0.450,-0.671,12.134,42.378
1751288607650,2025-06-30T16:03:27.650,0.460,-6.524,18.902,50.610
1751288607660,2025-06-30T16:03:27.660,0.470,-13.841,25.183,58.110
1751288607670,2025-06-30T16:03:27.670,0.480,-22.622,28.659,65.610
1751288607680,2025-06-30T16:03:27.680,0.490,-31.707,26.341,73.171
1751288607690,2025-06-30T16:03:27.690,0.500,-40.122,18.171,81.037
1751288607700,2025-06-30T16:03:27.700,0.510,-45.305,8.354,91.341
1751288607710,2025-06-30T16:03:27.710,0.520,-47.134,0.122,102.988
1751288607720,2025-06-30T16:03:27.720,0.530,-47.317,-5.366,114.085
1751288607730,2025-06-30T16:03:27.730,0.540,-45.732,-6.890,125.000
1751288607740,2025-06-30T16:03:27.740,0.550,-41.890,-3.232,135.427
1751288607750,2025-06-30T16:03:27.750,0.560,-38.110,4.146,145.061
1751288607760,2025-06-30T16:03:27.760,0.570,-35.061,11.463,155.244
1751288607770,2025-06-30T16:03:27.770,0.580,-32.744,17.073,164.634
1751288607780,2025-06-30T16:03:27.780,0.590,-31.890,22.012,171.037
1751288607790,2025-06-30T16:03:27.790,0.600,-32.317,24.756,175.732
1751288607800,2025-06-30T16:03:27.800,0.610,-34.085,24.207,179.268
1751288607810,2025-06-30T16:03:27.810,0.620,-36.402,21.707,181.341
