epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1750844732766,2025-06-25T12:45:32.766,0.000,0.313,0.125,1.331
1750844732776,2025-06-25T12:45:32.776,0.010,0.358,0.103,1.287
1750844732786,2025-06-25T12:45:32.786,0.020,0.377,0.104,1.208
1750844732796,2025-06-25T12:45:32.796,0.030,0.360,0.101,1.146
1750844732806,2025-06-25T12:45:32.806,0.040,0.318,0.076,1.082
1750844732816,2025-06-25T12:45:32.816,0.050,0.275,0.043,1.001
1750844732826,2025-06-25T12:45:32.826,0.060,0.263,0.015,0.926
1750844732836,2025-06-25T12:45:32.836,0.070,0.262,-0.002,0.864
1750844732846,2025-06-25T12:45:32.846,0.080,0.243,-0.017,0.817
1750844732856,2025-06-25T12:45:32.856,0.090,0.231,-0.025,0.751
1750844732866,2025-06-25T12:45:32.866,0.100,0.231,-0.019,0.691
1750844732876,2025-06-25T12:45:32.876,0.110,0.202,-0.018,0.646
1750844732886,2025-06-25T12:45:32.886,0.120,0.177,-0.029,0.596
1750844732896,2025-06-25T12:45:32.896,0.130,0.106,-0.037,0.562
1750844732906,2025-06-25T12:45:32.906,0.140,-0.014,-0.048,0.525
1750844732916,2025-06-25T12:45:32.916,0.150,-0.123,-0.061,0.504
1750844732926,2025-06-25T12:45:32.926,0.160,-0.259,-0.074,0.535
1750844732936,2025-06-25T12:45:32.936,0.170,-0.379,-0.084,0.580
1750844732946,2025-06-25T12:45:32.946,0.180,-0.435,-0.089,0.616
1750844732956,2025-06-25T12:45:32.956,0.190,-0.492,-0.085,0.618
1750844732966,2025-06-25T12:45:32.966,0.200,-0.500,-0.080,0.615
1750844732976,2025-06-25T12:45:32.976,0.210,-0.574,-0.081,0.606
1750844732986,2025-06-25T12:45:32.986,0.220,-0.679,-0.080,0.613
1750844732996,2025-06-25T12:45:32.996,0.230,-0.748,-0.063,0.633
1750844733006,2025-06-25T12:45:33.006,0.240,-0.795,-0.032,0.664
1750844733016,2025-06-25T12:45:33.016,0.250,-0.754,-0.031,0.700
1750844733026,2025-06-25T12:45:33.026,0.260,-0.688,-0.044,0.736
1750844733036,2025-06-25T12:45:33.036,0.270,-0.628,-0.066,0.788
1750844733046,2025-06-25T12:45:33.046,0.280,-0.569,-0.085,0.816
1750844733056,2025-06-25T12:45:33.056,0.290,-0.574,-0.081,0.820
1750844733066,2025-06-25T12:45:33.066,0.300,-0.564,-0.085,0.833
1750844733076,2025-06-25T12:45:33.076,0.310,-0.503,-0.101,0.855
1750844733086,2025-06-25T12:45:33.086,0.320,-0.447,-0.104,0.871
1750844733096,2025-06-25T12:45:33.096,0.330,-0.405,-0.099,0.856
1750844733106,2025-06-25T12:45:33.106,0.340,-0.366,-0.100,0.839
1750844733116,2025-06-25T12:45:33.116,0.350,-0.307,-0.111,0.818
1750844733126,2025-06-25T12:45:33.126,0.360,-0.267,-0.125,0.806
1750844733136,2025-06-25T12:45:33.136,0.370,-0.255,-0.139,0.797
1750844733146,2025-06-25T12:45:33.146,0.380,-0.228,-0.147,0.780
1750844733156,2025-06-25T12:45:33.156,0.390,-0.214,-0.143,0.751
1750844733166,2025-06-25T12:45:33.166,0.400,-0.206,-0.146,0.711
1750844733176,2025-06-25T12:45:33.176,0.410,-0.198,-0.152,0.648
1750844733186,2025-06-25T12:45:33.186,0.420,-0.179,-0.157,0.597
1750844733196,2025-06-25T12:45:33.196,0.430,-0.125,-0.163,0.555
1750844733206,2025-06-25T12:45:33.206,0.440,-0.130,-0.151,0.503
1750844733216,2025-06-25T12:45:33.216,0.450,-0.128,-0.136,0.446
1750844733226,2025-06-25T12:45:33.226,0.460,-0.119,-0.115,0.434
1750844733236,2025-06-25T12:45:33.236,0.470,-0.144,-0.102,0.453
1750844733246,2025-06-25T12:45:33.246,0.480,-0.154,-0.093,0.415
1750844733256,2025-06-25T12:45:33.256,0.490,-0.207,-0.096,0.413
1750844733266,2025-06-25T12:45:33.266,0.500,-0.250,-0.125,0.486
1750844733276,2025-06-25T12:45:33.276,0.510,-0.260,-0.114,0.482
1750844733286,2025-06-25T12:45:33.286,0.520,-0.294,-0.042,0.506
1750844733296,2025-06-25T12:45:33.296,0.530,-0.355,0.024,0.564
1750844733306,2025-06-25T12:45:33.306,0.540,-0.406,0.083,0.599
1750844733316,2025-06-25T12:45:33.316,0.550,-0.458,0.136,0.668
1750844733326,2025-06-25T12:45:33.326,0.560,-0.528,0.153,0.768
1750844733336,2025-06-25T12:45:33.336,0.570,-0.653,0.192,0.805
1750844733346,2025-06-25T12:45:33.346,0.580,-0.720,0.227,0.834
1750844733356,2025-06-25T12:45:33.356,0.590,-0.747,0.246,0.892
1750844733366,2025-06-25T12:45:33.366,0.600,-0.788,0.265,0.973
1750844733376,2025-06-25T12:45:33.376,0.610,-0.771,0.277,1.076
