epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1751285247863,2025-06-30T15:07:27.863,0.000,-2.134,11.585,33.659
1751285247873,2025-06-30T15:07:27.873,0.010,-2.012,10.915,33.902
1751285247883,2025-06-30T15:07:27.883,0.020,-1.524,8.293,33.110
1751285247893,2025-06-30T15:07:27.893,0.030,-1.280,4.512,30.305
1751285247903,2025-06-30T15:07:27.903,0.040,-0.366,3.841,27.561
1751285247913,2025-06-30T15:07:27.913,0.050,0.976,7.927,25.427
1751285247923,2025-06-30T15:07:27.923,0.060,2.256,11.890,23.049
1751285247933,2025-06-30T15:07:27.933,0.070,2.988,12.805,20.244
1751285247943,2025-06-30T15:07:27.943,0.080,3.720,12.134,17.500
1751285247953,2025-06-30T15:07:27.953,0.090,4.634,11.646,14.329
1751285247963,2025-06-30T15:07:27.963,0.100,5.366,12.561,11.585
1751285247973,2025-06-30T15:07:27.973,0.110,5.976,13.537,9.817
1751285247983,2025-06-30T15:07:27.983,0.120,6.098,12.317,8.537
1751285247993,2025-06-30T15:07:27.993,0.130,5.732,8.780,7.805
1751285248003,2025-06-30T15:07:28.003,0.140,5.488,4.268,7.927
1751285248013,2025-06-30T15:07:28.013,0.150,5.366,-0.244,8.720
1751285248023,2025-06-30T15:07:28.023,0.160,5.061,-4.939,9.634
1751285248033,2025-06-30T15:07:28.033,0.170,4.756,-9.817,10.915
1751285248043,2025-06-30T15:07:28.043,0.180,5.000,-14.695,12.744
1751285248053,2025-06-30T15:07:28.053,0.190,5.488,-19.756,14.268
1751285248063,2025-06-30T15:07:28.063,0.200,6.341,-24.939,15.732
1751285248073,2025-06-30T15:07:28.073,0.210,7.439,-31.159,17.439
1751285248083,2025-06-30T15:07:28.083,0.220,9.390,-38.720,18.963
1751285248093,2025-06-30T15:07:28.093,0.230,12.134,-47.805,20.915
1751285248103,2025-06-30T15:07:28.103,0.240,16.524,-56.524,23.780
1751285248113,2025-06-30T15:07:28.113,0.250,23.354,-60.793,26.768
1751285248123,2025-06-30T15:07:28.123,0.260,30.671,-56.585,28.720
1751285248133,2025-06-30T15:07:28.133,0.270,38.110,-44.085,28.780
1751285248143,2025-06-30T15:07:28.143,0.280,44.756,-26.220,29.634
1751285248153,2025-06-30T15:07:28.153,0.290,50.732,-11.037,30.915
1751285248163,2025-06-30T15:07:28.163,0.300,55.427,-2.195,31.220
1751285248173,2025-06-30T15:07:28.173,0.310,59.451,-0.427,29.939
1751285248183,2025-06-30T15:07:28.183,0.320,62.622,-4.207,28.049
1751285248193,2025-06-30T15:07:28.193,0.330,65.244,-11.524,26.463
1751285248203,2025-06-30T15:07:28.203,0.340,67.927,-18.963,24.695
1751285248213,2025-06-30T15:07:28.213,0.350,71.220,-23.415,23.476
1751285248223,2025-06-30T15:07:28.223,0.360,74.756,-23.659,20.915
