epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1750844444551,2025-06-25T12:40:44.551,0.000,-0.540,0.048,0.824
1750844444561,2025-06-25T12:40:44.561,0.010,-0.533,0.057,0.841
1750844444571,2025-06-25T12:40:44.571,0.020,-0.533,0.062,0.838
1750844444581,2025-06-25T12:40:44.581,0.030,-0.533,0.072,0.831
1750844444591,2025-06-25T12:40:44.591,0.040,-0.508,0.069,0.834
1750844444601,2025-06-25T12:40:44.601,0.050,-0.479,0.053,0.831
1750844444611,2025-06-25T12:40:44.611,0.060,-0.474,0.045,0.810
1750844444621,2025-06-25T12:40:44.621,0.070,-0.440,0.045,0.804
1750844444631,2025-06-25T12:40:44.631,0.080,-0.394,0.050,0.802
1750844444641,2025-06-25T12:40:44.641,0.090,-0.372,0.065,0.792
1750844444651,2025-06-25T12:40:44.651,0.100,-0.338,0.065,0.771
1750844444661,2025-06-25T12:40:44.661,0.110,-0.297,0.053,0.754
1750844444671,2025-06-25T12:40:44.671,0.120,-0.256,0.044,0.748
1750844444681,2025-06-25T12:40:44.681,0.130,-0.214,0.041,0.724
1750844444691,2025-06-25T12:40:44.691,0.140,-0.188,0.053,0.677
1750844444701,2025-06-25T12:40:44.701,0.150,-0.182,0.060,0.620
1750844444711,2025-06-25T12:40:44.711,0.160,-0.165,0.069,0.572
1750844444721,2025-06-25T12:40:44.721,0.170,-0.134,0.080,0.531
1750844444731,2025-06-25T12:40:44.731,0.180,-0.111,0.097,0.475
1750844444741,2025-06-25T12:40:44.741,0.190,-0.104,0.110,0.415
1750844444751,2025-06-25T12:40:44.751,0.200,-0.113,0.114,0.376
1750844444761,2025-06-25T12:40:44.761,0.210,-0.119,0.113,0.358
1750844444771,2025-06-25T12:40:44.771,0.220,-0.110,0.109,0.338
1750844444781,2025-06-25T12:40:44.781,0.230,-0.142,0.128,0.343
1750844444791,2025-06-25T12:40:44.791,0.240,-0.210,0.147,0.307
1750844444801,2025-06-25T12:40:44.801,0.250,-0.245,0.175,0.255
1750844444811,2025-06-25T12:40:44.811,0.260,-0.323,0.212,0.221
1750844444821,2025-06-25T12:40:44.821,0.270,-0.411,0.238,0.208
1750844444831,2025-06-25T12:40:44.831,0.280,-0.420,0.263,0.227
1750844444841,2025-06-25T12:40:44.841,0.290,-0.432,0.285,0.303
1750844444851,2025-06-25T12:40:44.851,0.300,-0.433,0.290,0.428
1750844444861,2025-06-25T12:40:44.861,0.310,-0.438,0.314,0.571
1750844444871,2025-06-25T12:40:44.871,0.320,-0.481,0.354,0.698
1750844444881,2025-06-25T12:40:44.881,0.330,-0.688,0.404,0.816
1750844444891,2025-06-25T12:40:44.891,0.340,-0.822,0.467,0.933
1750844444901,2025-06-25T12:40:44.901,0.350,-0.824,0.582,1.046
1750844444911,2025-06-25T12:40:44.911,0.360,-0.896,0.714,1.193
1750844444921,2025-06-25T12:40:44.921,0.370,-1.036,0.798,1.334
1750844444931,2025-06-25T12:40:44.931,0.380,-1.103,0.838,1.480
1750844444941,2025-06-25T12:40:44.941,0.390,-1.043,0.861,1.632
1750844444951,2025-06-25T12:40:44.951,0.400,-0.907,0.860,1.764
1750844444961,2025-06-25T12:40:44.961,0.410,-0.776,0.847,1.863
1750844444971,2025-06-25T12:40:44.971,0.420,-0.744,0.854,1.917
1750844444981,2025-06-25T12:40:44.981,0.430,-0.777,0.853,1.933
1750844444991,2025-06-25T12:40:44.991,0.440,-0.795,0.873,1.909
1750844445001,2025-06-25T12:40:45.001,0.450,-0.755,0.907,1.914
1750844445011,2025-06-25T12:40:45.011,0.460,-0.672,0.913,1.933
1750844445021,2025-06-25T12:40:45.021,0.470,-0.563,0.907,1.934
1750844445031,2025-06-25T12:40:45.031,0.480,-0.410,0.898,1.931
1750844445041,2025-06-25T12:40:45.041,0.490,-0.265,0.872,1.919
1750844445051,2025-06-25T12:40:45.051,0.500,-0.150,0.824,1.864
1750844445061,2025-06-25T12:40:45.061,0.510,-0.042,0.773,1.809
1750844445071,2025-06-25T12:40:45.071,0.520,0.086,0.738,1.752
1750844445081,2025-06-25T12:40:45.081,0.530,0.146,0.725,1.696
1750844445091,2025-06-25T12:40:45.091,0.540,0.194,0.721,1.638
1750844445101,2025-06-25T12:40:45.101,0.550,0.263,0.711,1.600
1750844445111,2025-06-25T12:40:45.111,0.560,0.332,0.667,1.564
1750844445121,2025-06-25T12:40:45.121,0.570,0.389,0.604,1.523
1750844445131,2025-06-25T12:40:45.131,0.580,0.415,0.545,1.454
1750844445141,2025-06-25T12:40:45.141,0.590,0.435,0.505,1.385
1750844445151,2025-06-25T12:40:45.151,0.600,0.422,0.466,1.320
1750844445161,2025-06-25T12:40:45.161,0.610,0.405,0.427,1.231
1750844445171,2025-06-25T12:40:45.171,0.620,0.398,0.395,1.156
1750844445181,2025-06-25T12:40:45.181,0.630,0.419,0.371,1.087
1750844445191,2025-06-25T12:40:45.191,0.640,0.451,0.354,1.012
1750844445201,2025-06-25T12:40:45.201,0.650,0.464,0.323,0.932
1750844445211,2025-06-25T12:40:45.211,0.660,0.452,0.280,0.869
1750844445221,2025-06-25T12:40:45.221,0.670,0.434,0.235,0.814
1750844445231,2025-06-25T12:40:45.231,0.680,0.415,0.187,0.778
1750844445241,2025-06-25T12:40:45.241,0.690,0.380,0.151,0.715
1750844445251,2025-06-25T12:40:45.251,0.700,0.340,0.137,0.636
1750844445261,2025-06-25T12:40:45.261,0.710,0.286,0.137,0.560
1750844445271,2025-06-25T12:40:45.271,0.720,0.253,0.145,0.496
1750844445281,2025-06-25T12:40:45.281,0.730,0.211,0.135,0.420
1750844445291,2025-06-25T12:40:45.291,0.740,0.105,0.104,0.348
1750844445301,2025-06-25T12:40:45.301,0.750,0.005,0.052,0.344
1750844445311,2025-06-25T12:40:45.311,0.760,-0.077,-0.017,0.405
1750844445321,2025-06-25T12:40:45.321,0.770,-0.164,-0.074,0.447
1750844445331,2025-06-25T12:40:45.331,0.780,-0.220,-0.099,0.490
1750844445341,2025-06-25T12:40:45.341,0.790,-0.287,-0.075,0.541
1750844445351,2025-06-25T12:40:45.351,0.800,-0.424,-0.020,0.563
1750844445361,2025-06-25T12:40:45.361,0.810,-0.597,0.034,0.560
1750844445371,2025-06-25T12:40:45.371,0.820,-0.724,0.071,0.546
1750844445381,2025-06-25T12:40:45.381,0.830,-0.722,0.080,0.581
1750844445391,2025-06-25T12:40:45.391,0.840,-0.707,0.083,0.646
1750844445401,2025-06-25T12:40:45.401,0.850,-0.685,0.073,0.693
1750844445411,2025-06-25T12:40:45.411,0.860,-0.618,0.062,0.750
1750844445421,2025-06-25T12:40:45.421,0.870,-0.579,0.061,0.810
1750844445431,2025-06-25T12:40:45.431,0.880,-0.581,0.060,0.816
1750844445441,2025-06-25T12:40:45.441,0.890,-0.585,0.047,0.851
1750844445451,2025-06-25T12:40:45.451,0.900,-0.589,0.042,0.873
1750844445461,2025-06-25T12:40:45.461,0.910,-0.575,0.043,0.884
1750844445471,2025-06-25T12:40:45.471,0.920,-0.531,0.050,0.910
1750844445481,2025-06-25T12:40:45.481,0.930,-0.496,0.055,0.926
