epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1751288728251,2025-06-30T16:05:28.251,0.000,-0.333,0.436,0.997
1751288728261,2025-06-30T16:05:28.261,0.010,-0.305,0.455,1.124
1751288728271,2025-06-30T16:05:28.271,0.020,-0.284,0.469,1.191
1751288728281,2025-06-30T16:05:28.281,0.030,-0.288,0.488,1.253
1751288728291,2025-06-30T16:05:28.291,0.040,-0.313,0.508,1.314
1751288728301,2025-06-30T16:05:28.301,0.050,-0.338,0.542,1.354
1751288728311,2025-06-30T16:05:28.311,0.060,-0.359,0.578,1.375
1751288728321,2025-06-30T16:05:28.321,0.070,-0.375,0.621,1.411
1751288728331,2025-06-30T16:05:28.331,0.080,-0.350,0.619,1.471
1751288728341,2025-06-30T16:05:28.341,0.090,-0.266,0.574,1.523
1751288728351,2025-06-30T16:05:28.351,0.100,-0.160,0.550,1.582
1751288728361,2025-06-30T16:05:28.361,0.110,-0.087,0.583,1.622
1751288728371,2025-06-30T16:05:28.371,0.120,-0.041,0.641,1.644
1751288728381,2025-06-30T16:05:28.381,0.130,0.021,0.741,1.635
1751288728391,2025-06-30T16:05:28.391,0.140,0.062,0.887,1.630
1751288728401,2025-06-30T16:05:28.401,0.150,0.091,0.958,1.659
1751288728411,2025-06-30T16:05:28.411,0.160,0.177,0.925,1.688
1751288728421,2025-06-30T16:05:28.421,0.170,0.294,0.856,1.712
1751288728431,2025-06-30T16:05:28.431,0.180,0.392,0.782,1.757
1751288728441,2025-06-30T16:05:28.441,0.190,0.439,0.697,1.787
1751288728451,2025-06-30T16:05:28.451,0.200,0.459,0.606,1.794
1751288728461,2025-06-30T16:05:28.461,0.210,0.440,0.532,1.760
1751288728471,2025-06-30T16:05:28.471,0.220,0.379,0.507,1.718
1751288728481,2025-06-30T16:05:28.481,0.230,0.348,0.530,1.628
1751288728491,2025-06-30T16:05:28.491,0.240,0.352,0.598,1.506
1751288728501,2025-06-30T16:05:28.501,0.250,0.367,0.678,1.395
1751288728511,2025-06-30T16:05:28.511,0.260,0.465,0.688,1.317
1751288728521,2025-06-30T16:05:28.521,0.270,0.618,0.643,1.273
1751288728531,2025-06-30T16:05:28.531,0.280,0.737,0.585,1.240
1751288728541,2025-06-30T16:05:28.541,0.290,0.818,0.542,1.191
1751288728551,2025-06-30T16:05:28.551,0.300,0.832,0.500,1.149
1751288728561,2025-06-30T16:05:28.561,0.310,0.782,0.452,1.099
1751288728571,2025-06-30T16:05:28.571,0.320,0.702,0.404,1.054
1751288728581,2025-06-30T16:05:28.581,0.330,0.635,0.350,1.018
1751288728591,2025-06-30T16:05:28.591,0.340,0.600,0.304,1.007
1751288728601,2025-06-30T16:05:28.601,0.350,0.573,0.256,0.987
1751288728611,2025-06-30T16:05:28.611,0.360,0.544,0.197,0.952
1751288728621,2025-06-30T16:05:28.621,0.370,0.545,0.141,0.915
1751288728631,2025-06-30T16:05:28.631,0.380,0.543,0.103,0.884
1751288728641,2025-06-30T16:05:28.641,0.390,0.520,0.086,0.841
1751288728651,2025-06-30T16:05:28.651,0.400,0.492,0.084,0.785
1751288728661,2025-06-30T16:05:28.661,0.410,0.445,0.085,0.727
1751288728671,2025-06-30T16:05:28.671,0.420,0.406,0.090,0.658
1751288728681,2025-06-30T16:05:28.681,0.430,0.380,0.100,0.591
1751288728691,2025-06-30T16:05:28.691,0.440,0.335,0.110,0.514
1751288728701,2025-06-30T16:05:28.701,0.450,0.248,0.121,0.425
1751288728711,2025-06-30T16:05:28.711,0.460,0.174,0.120,0.362
1751288728721,2025-06-30T16:05:28.721,0.470,0.149,0.097,0.367
1751288728731,2025-06-30T16:05:28.731,0.480,0.146,0.069,0.415
1751288728741,2025-06-30T16:05:28.741,0.490,0.157,0.038,0.469
1751288728751,2025-06-30T16:05:28.751,0.500,0.163,0.001,0.539
1751288728761,2025-06-30T16:05:28.761,0.510,0.177,-0.030,0.568
1751288728771,2025-06-30T16:05:28.771,0.520,0.169,-0.026,0.564
1751288728781,2025-06-30T16:05:28.781,0.530,0.103,-0.000,0.582
1751288728791,2025-06-30T16:05:28.791,0.540,0.002,-0.005,0.590
1751288728801,2025-06-30T16:05:28.801,0.550,-0.116,-0.014,0.614
1751288728811,2025-06-30T16:05:28.811,0.560,-0.210,-0.021,0.669
1751288728821,2025-06-30T16:05:28.821,0.570,-0.313,-0.009,0.687
1751288728831,2025-06-30T16:05:28.831,0.580,-0.377,0.037,0.714
1751288728841,2025-06-30T16:05:28.841,0.590,-0.282,0.059,0.793
1751288728851,2025-06-30T16:05:28.851,0.600,-0.144,0.086,0.876
1751288728861,2025-06-30T16:05:28.861,0.610,-0.065,0.123,0.940
1751288728871,2025-06-30T16:05:28.871,0.620,-0.004,0.135,0.983
1751288728881,2025-06-30T16:05:28.881,0.630,0.085,0.146,1.038
1751288728891,2025-06-30T16:05:28.891,0.640,0.146,0.167,1.070
1751288728901,2025-06-30T16:05:28.901,0.650,0.176,0.184,1.096
1751288728911,2025-06-30T16:05:28.911,0.660,0.211,0.205,1.109
1751288728921,2025-06-30T16:05:28.921,0.670,0.228,0.229,1.131
1751288728931,2025-06-30T16:05:28.931,0.680,0.279,0.236,1.177
1751288728941,2025-06-30T16:05:28.941,0.690,0.360,0.236,1.257
1751288728951,2025-06-30T16:05:28.951,0.700,0.421,0.232,1.346
1751288728961,2025-06-30T16:05:28.961,0.710,0.483,0.225,1.448
1751288728971,2025-06-30T16:05:28.971,0.720,0.522,0.205,1.538
1751288728981,2025-06-30T16:05:28.981,0.730,0.543,0.210,1.557
1751288728991,2025-06-30T16:05:28.991,0.740,0.592,0.263,1.517
1751288729001,2025-06-30T16:05:29.001,0.750,0.654,0.350,1.485
1751288729011,2025-06-30T16:05:29.011,0.760,0.692,0.442,1.456
1751288729021,2025-06-30T16:05:29.021,0.770,0.683,0.512,1.395
1751288729031,2025-06-30T16:05:29.031,0.780,0.662,0.567,1.321
1751288729041,2025-06-30T16:05:29.041,0.790,0.663,0.623,1.257
1751288729051,2025-06-30T16:05:29.051,0.800,0.639,0.680,1.209
1751288729061,2025-06-30T16:05:29.061,0.810,0.615,0.731,1.165
1751288729071,2025-06-30T16:05:29.071,0.820,0.603,0.771,1.101
1751288729081,2025-06-30T16:05:29.081,0.830,0.577,0.793,1.043
1751288729091,2025-06-30T16:05:29.091,0.840,0.542,0.793,0.990
1751288729101,2025-06-30T16:05:29.101,0.850,0.527,0.776,0.941
1751288729111,2025-06-30T16:05:29.111,0.860,0.510,0.756,0.899
1751288729121,2025-06-30T16:05:29.121,0.870,0.467,0.732,0.849
1751288729131,2025-06-30T16:05:29.131,0.880,0.439,0.718,0.803
1751288729141,2025-06-30T16:05:29.141,0.890,0.416,0.717,0.753
1751288729151,2025-06-30T16:05:29.151,0.900,0.371,0.716,0.696
1751288729161,2025-06-30T16:05:29.161,0.910,0.340,0.702,0.637
1751288729171,2025-06-30T16:05:29.171,0.920,0.304,0.689,0.579
1751288729181,2025-06-30T16:05:29.181,0.930,0.242,0.687,0.531
1751288729191,2025-06-30T16:05:29.191,0.940,0.185,0.672,0.483
1751288729201,2025-06-30T16:05:29.201,0.950,0.174,0.649,0.444
1751288729211,2025-06-30T16:05:29.211,0.960,0.168,0.632,0.422
1751288729221,2025-06-30T16:05:29.221,0.970,0.118,0.616,0.397
1751288729231,2025-06-30T16:05:29.231,0.980,0.087,0.593,0.392
1751288729241,2025-06-30T16:05:29.241,0.990,0.105,0.563,0.393
1751288729251,2025-06-30T16:05:29.251,1.000,0.096,0.558,0.399
1751288729261,2025-06-30T16:05:29.261,1.010,0.044,0.550,0.402
1751288729271,2025-06-30T16:05:29.271,1.020,-0.010,0.527,0.431
1751288729281,2025-06-30T16:05:29.281,1.030,-0.049,0.508,0.458
1751288729291,2025-06-30T16:05:29.291,1.040,-0.096,0.501,0.494
1751288729301,2025-06-30T16:05:29.301,1.050,-0.145,0.484,0.540
1751288729311,2025-06-30T16:05:29.311,1.060,-0.192,0.462,0.579
1751288729321,2025-06-30T16:05:29.321,1.070,-0.242,0.440,0.609
1751288729331,2025-06-30T16:05:29.331,1.080,-0.316,0.427,0.643
1751288729341,2025-06-30T16:05:29.341,1.090,-0.313,0.415,0.710
1751288729351,2025-06-30T16:05:29.351,1.100,-0.266,0.429,0.807
1751288729361,2025-06-30T16:05:29.361,1.110,-0.310,0.451,0.886
1751288729371,2025-06-30T16:05:29.371,1.120,-0.423,0.455,0.928
1751288729381,2025-06-30T16:05:29.381,1.130,-0.497,0.459,0.972
