epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1750844797338,2025-06-25T12:46:37.338,0.000,-0.195,0.428,1.825
1750844797348,2025-06-25T12:46:37.348,0.010,-0.263,0.428,1.793
1750844797358,2025-06-25T12:46:37.358,0.020,-0.291,0.413,1.750
1750844797368,2025-06-25T12:46:37.368,0.030,-0.297,0.386,1.709
1750844797378,2025-06-25T12:46:37.378,0.040,-0.339,0.370,1.638
1750844797388,2025-06-25T12:46:37.388,0.050,-0.397,0.351,1.562
1750844797398,2025-06-25T12:46:37.398,0.060,-0.449,0.319,1.479
1750844797408,2025-06-25T12:46:37.408,0.070,-0.487,0.296,1.385
1750844797418,2025-06-25T12:46:37.418,0.080,-0.527,0.276,1.292
1750844797428,2025-06-25T12:46:37.428,0.090,-0.542,0.250,1.205
1750844797438,2025-06-25T12:46:37.438,0.100,-0.569,0.233,1.129
1750844797448,2025-06-25T12:46:37.448,0.110,-0.608,0.216,1.054
1750844797458,2025-06-25T12:46:37.458,0.120,-0.604,0.189,0.974
1750844797468,2025-06-25T12:46:37.468,0.130,-0.592,0.167,0.892
1750844797478,2025-06-25T12:46:37.478,0.140,-0.579,0.140,0.821
1750844797488,2025-06-25T12:46:37.488,0.150,-0.571,0.107,0.770
1750844797498,2025-06-25T12:46:37.498,0.160,-0.567,0.080,0.732
1750844797508,2025-06-25T12:46:37.508,0.170,-0.518,0.057,0.674
1750844797518,2025-06-25T12:46:37.518,0.180,-0.487,0.039,0.619
1750844797528,2025-06-25T12:46:37.528,0.190,-0.514,0.025,0.567
1750844797538,2025-06-25T12:46:37.538,0.200,-0.501,-0.003,0.525
1750844797548,2025-06-25T12:46:37.548,0.210,-0.460,-0.032,0.496
1750844797558,2025-06-25T12:46:37.558,0.220,-0.441,-0.052,0.454
1750844797568,2025-06-25T12:46:37.568,0.230,-0.399,-0.065,0.410
1750844797578,2025-06-25T12:46:37.578,0.240,-0.358,-0.076,0.401
1750844797588,2025-06-25T12:46:37.588,0.250,-0.331,-0.108,0.399
1750844797598,2025-06-25T12:46:37.598,0.260,-0.255,-0.148,0.396
1750844797608,2025-06-25T12:46:37.608,0.270,-0.170,-0.163,0.430
1750844797618,2025-06-25T12:46:37.618,0.280,-0.084,-0.182,0.469
1750844797628,2025-06-25T12:46:37.628,0.290,0.037,-0.207,0.498
1750844797638,2025-06-25T12:46:37.638,0.300,0.135,-0.222,0.555
1750844797648,2025-06-25T12:46:37.648,0.310,0.197,-0.221,0.612
1750844797658,2025-06-25T12:46:37.658,0.320,0.255,-0.200,0.706
1750844797668,2025-06-25T12:46:37.668,0.330,0.282,-0.192,0.809
1750844797678,2025-06-25T12:46:37.678,0.340,0.295,-0.194,0.874
1750844797688,2025-06-25T12:46:37.688,0.350,0.349,-0.200,0.932
1750844797698,2025-06-25T12:46:37.698,0.360,0.393,-0.212,1.029
1750844797708,2025-06-25T12:46:37.708,0.370,0.385,-0.225,1.114
1750844797718,2025-06-25T12:46:37.718,0.380,0.380,-0.240,1.159
1750844797728,2025-06-25T12:46:37.728,0.390,0.378,-0.265,1.162
1750844797738,2025-06-25T12:46:37.738,0.400,0.271,-0.260,1.127
1750844797748,2025-06-25T12:46:37.748,0.410,0.147,-0.238,1.100
1750844797758,2025-06-25T12:46:37.758,0.420,0.111,-0.231,1.095
1750844797768,2025-06-25T12:46:37.768,0.430,0.111,-0.220,1.098
1750844797778,2025-06-25T12:46:37.778,0.440,0.092,-0.208,1.084
1750844797788,2025-06-25T12:46:37.788,0.450,0.057,-0.187,1.044
1750844797798,2025-06-25T12:46:37.798,0.460,-0.002,-0.165,0.983
1750844797808,2025-06-25T12:46:37.808,0.470,-0.077,-0.146,0.927
1750844797818,2025-06-25T12:46:37.818,0.480,-0.103,-0.142,0.888
1750844797828,2025-06-25T12:46:37.828,0.490,-0.138,-0.137,0.845
1750844797838,2025-06-25T12:46:37.838,0.500,-0.164,-0.136,0.797
1750844797848,2025-06-25T12:46:37.848,0.510,-0.144,-0.129,0.756
1750844797858,2025-06-25T12:46:37.858,0.520,-0.118,-0.118,0.712
1750844797868,2025-06-25T12:46:37.868,0.530,-0.100,-0.114,0.671
1750844797878,2025-06-25T12:46:37.878,0.540,-0.083,-0.122,0.632
1750844797888,2025-06-25T12:46:37.888,0.550,-0.017,-0.137,0.605
1750844797898,2025-06-25T12:46:37.898,0.560,0.042,-0.148,0.605
1750844797908,2025-06-25T12:46:37.908,0.570,0.065,-0.147,0.605
