epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1750844797339,2025-06-25T12:46:37.339,0.000,-49.390,-18.049,100.732
1750844797349,2025-06-25T12:46:37.349,0.010,-51.585,-18.598,100.305
1750844797359,2025-06-25T12:46:37.359,0.020,-58.598,-19.390,95.610
1750844797369,2025-06-25T12:46:37.369,0.030,-66.341,-16.402,89.146
1750844797379,2025-06-25T12:46:37.379,0.040,-72.683,-10.488,80.976
1750844797389,2025-06-25T12:46:37.389,0.050,-77.744,-5.244,71.524
1750844797399,2025-06-25T12:46:37.399,0.060,-81.890,-1.280,60.427
1750844797409,2025-06-25T12:46:37.409,0.070,-84.512,2.256,48.232
1750844797419,2025-06-25T12:46:37.419,0.080,-87.378,5.122,36.890
1750844797429,2025-06-25T12:46:37.429,0.090,-89.268,6.585,27.256
1750844797439,2025-06-25T12:46:37.439,0.100,-89.939,5.854,18.476
1750844797449,2025-06-25T12:46:37.449,0.110,-89.939,2.073,10.061
1750844797459,2025-06-25T12:46:37.459,0.120,-89.512,-2.622,2.256
1750844797469,2025-06-25T12:46:37.469,0.130,-88.354,-3.963,-6.341
1750844797479,2025-06-25T12:46:37.479,0.140,-85.793,-1.585,-15.915
1750844797489,2025-06-25T12:46:37.489,0.150,-81.951,3.171,-26.159
1750844797499,2025-06-25T12:46:37.499,0.160,-77.134,10.061,-36.646
1750844797509,2025-06-25T12:46:37.509,0.170,-72.378,16.829,-46.524
1750844797519,2025-06-25T12:46:37.519,0.180,-66.707,22.988,-55.183
1750844797529,2025-06-25T12:46:37.529,0.190,-60.305,26.524,-63.110
1750844797539,2025-06-25T12:46:37.539,0.200,-54.146,26.280,-69.756
1750844797549,2025-06-25T12:46:37.549,0.210,-47.622,25.976,-75.915
1750844797559,2025-06-25T12:46:37.559,0.220,-40.122,27.439,-82.866
1750844797569,2025-06-25T12:46:37.569,0.230,-32.744,28.476,-90.183
1750844797579,2025-06-25T12:46:37.579,0.240,-24.695,29.146,-96.524
1750844797589,2025-06-25T12:46:37.589,0.250,-15.976,31.037,-102.561
1750844797599,2025-06-25T12:46:37.599,0.260,-7.134,32.988,-107.988
1750844797609,2025-06-25T12:46:37.609,0.270,2.012,37.134,-112.988
1750844797619,2025-06-25T12:46:37.619,0.280,12.012,45.366,-117.256
1750844797629,2025-06-25T12:46:37.629,0.290,21.646,55.610,-120.122
1750844797639,2025-06-25T12:46:37.639,0.300,32.378,66.098,-121.890
1750844797649,2025-06-25T12:46:37.649,0.310,41.098,72.256,-120.549
1750844797659,2025-06-25T12:46:37.659,0.320,44.146,68.415,-114.146
1750844797669,2025-06-25T12:46:37.669,0.330,42.622,54.878,-102.561
1750844797679,2025-06-25T12:46:37.679,0.340,37.805,32.988,-86.951
1750844797689,2025-06-25T12:46:37.689,0.350,30.183,7.439,-68.110
1750844797699,2025-06-25T12:46:37.699,0.360,22.988,-9.878,-48.598
