epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1750844507998,2025-06-25T12:41:47.998,0.000,-0.678,0.427,0.914
1750844508008,2025-06-25T12:41:48.008,0.010,-0.650,0.408,0.865
1750844508018,2025-06-25T12:41:48.018,0.020,-0.627,0.376,0.806
1750844508028,2025-06-25T12:41:48.028,0.030,-0.600,0.339,0.707
1750844508038,2025-06-25T12:41:48.038,0.040,-0.574,0.311,0.609
1750844508048,2025-06-25T12:41:48.048,0.050,-0.491,0.267,0.540
1750844508058,2025-06-25T12:41:48.058,0.060,-0.349,0.230,0.486
1750844508068,2025-06-25T12:41:48.068,0.070,-0.259,0.211,0.461
1750844508078,2025-06-25T12:41:48.078,0.080,-0.240,0.174,0.435
1750844508088,2025-06-25T12:41:48.088,0.090,-0.146,0.116,0.427
1750844508098,2025-06-25T12:41:48.098,0.100,-0.012,0.082,0.491
1750844508108,2025-06-25T12:41:48.108,0.110,0.104,0.076,0.521
1750844508118,2025-06-25T12:41:48.118,0.120,0.212,0.065,0.514
1750844508128,2025-06-25T12:41:48.128,0.130,0.263,0.077,0.508
1750844508138,2025-06-25T12:41:48.138,0.140,0.300,0.101,0.526
1750844508148,2025-06-25T12:41:48.148,0.150,0.369,0.104,0.549
1750844508158,2025-06-25T12:41:48.158,0.160,0.478,0.086,0.605
1750844508168,2025-06-25T12:41:48.168,0.170,0.567,0.067,0.681
1750844508178,2025-06-25T12:41:48.178,0.180,0.599,0.052,0.744
1750844508188,2025-06-25T12:41:48.188,0.190,0.542,0.050,0.803
1750844508198,2025-06-25T12:41:48.198,0.200,0.437,0.057,0.845
1750844508208,2025-06-25T12:41:48.208,0.210,0.300,0.059,0.887
1750844508218,2025-06-25T12:41:48.218,0.220,0.241,0.042,0.940
1750844508228,2025-06-25T12:41:48.228,0.230,0.241,0.026,0.988
1750844508238,2025-06-25T12:41:48.238,0.240,0.167,0.026,1.014
1750844508248,2025-06-25T12:41:48.248,0.250,0.061,0.039,1.012
1750844508258,2025-06-25T12:41:48.258,0.260,-0.040,0.056,1.018
1750844508268,2025-06-25T12:41:48.268,0.270,-0.110,0.077,1.011
1750844508278,2025-06-25T12:41:48.278,0.280,-0.144,0.080,1.008
1750844508288,2025-06-25T12:41:48.288,0.290,-0.188,0.089,1.000
1750844508298,2025-06-25T12:41:48.298,0.300,-0.219,0.090,0.990
1750844508308,2025-06-25T12:41:48.308,0.310,-0.207,0.080,0.995
1750844508318,2025-06-25T12:41:48.318,0.320,-0.222,0.083,0.999
1750844508328,2025-06-25T12:41:48.328,0.330,-0.260,0.090,0.980
1750844508338,2025-06-25T12:41:48.338,0.340,-0.270,0.088,0.944
1750844508348,2025-06-25T12:41:48.348,0.350,-0.289,0.096,0.897
1750844508358,2025-06-25T12:41:48.358,0.360,-0.331,0.101,0.859
1750844508368,2025-06-25T12:41:48.368,0.370,-0.336,0.097,0.811
1750844508378,2025-06-25T12:41:48.378,0.380,-0.343,0.099,0.755
1750844508388,2025-06-25T12:41:48.388,0.390,-0.354,0.093,0.710
1750844508398,2025-06-25T12:41:48.398,0.400,-0.334,0.073,0.665
1750844508408,2025-06-25T12:41:48.408,0.410,-0.280,0.056,0.640
1750844508418,2025-06-25T12:41:48.418,0.420,-0.233,0.050,0.623
1750844508428,2025-06-25T12:41:48.428,0.430,-0.216,0.054,0.597
1750844508438,2025-06-25T12:41:48.438,0.440,-0.215,0.058,0.566
1750844508448,2025-06-25T12:41:48.448,0.450,-0.205,0.073,0.546
1750844508458,2025-06-25T12:41:48.458,0.460,-0.183,0.088,0.514
1750844508468,2025-06-25T12:41:48.468,0.470,-0.179,0.102,0.497
1750844508478,2025-06-25T12:41:48.478,0.480,-0.173,0.119,0.466
1750844508488,2025-06-25T12:41:48.488,0.490,-0.115,0.137,0.429
1750844508498,2025-06-25T12:41:48.498,0.500,-0.013,0.145,0.442
1750844508508,2025-06-25T12:41:48.508,0.510,0.077,0.151,0.471
1750844508518,2025-06-25T12:41:48.518,0.520,0.216,0.162,0.555
1750844508528,2025-06-25T12:41:48.528,0.530,0.416,0.177,0.651
1750844508538,2025-06-25T12:41:48.538,0.540,0.576,0.185,0.686
1750844508548,2025-06-25T12:41:48.548,0.550,0.666,0.203,0.730
1750844508558,2025-06-25T12:41:48.558,0.560,0.719,0.238,0.816
