epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1750789378593,2025-06-24T21:22:58.593,0.000,0.076,0.048,1.010
1750789378603,2025-06-24T21:22:58.603,0.010,0.124,0.037,1.015
1750789378613,2025-06-24T21:22:58.613,0.020,0.145,0.028,1.010
1750789378623,2025-06-24T21:22:58.623,0.030,0.138,0.030,1.012
1750789378633,2025-06-24T21:22:58.633,0.040,0.124,0.031,1.006
1750789378643,2025-06-24T21:22:58.643,0.050,0.122,0.037,0.994
1750789378653,2025-06-24T21:22:58.653,0.060,0.141,0.040,0.986
1750789378663,2025-06-24T21:22:58.663,0.070,0.175,0.030,0.981
1750789378673,2025-06-24T21:22:58.673,0.080,0.205,0.019,0.988
1750789378683,2025-06-24T21:22:58.683,0.090,0.219,0.011,0.989
1750789378693,2025-06-24T21:22:58.693,0.100,0.209,0.008,0.979
1750789378703,2025-06-24T21:22:58.703,0.110,0.195,0.006,0.965
1750789378713,2025-06-24T21:22:58.713,0.120,0.205,0.008,0.959
1750789378723,2025-06-24T21:22:58.723,0.130,0.230,0.005,0.959
1750789378733,2025-06-24T21:22:58.733,0.140,0.255,0.005,0.958
1750789378743,2025-06-24T21:22:58.743,0.150,0.276,0.002,0.956
1750789378753,2025-06-24T21:22:58.753,0.160,0.290,0.000,0.960
1750789378763,2025-06-24T21:22:58.763,0.170,0.299,0.002,0.964
1750789378773,2025-06-24T21:22:58.773,0.180,0.321,0.003,0.955
1750789378783,2025-06-24T21:22:58.783,0.190,0.337,0.004,0.951
1750789378793,2025-06-24T21:22:58.793,0.200,0.340,0.005,0.956
1750789378803,2025-06-24T21:22:58.803,0.210,0.335,0.007,0.953
1750789378813,2025-06-24T21:22:58.813,0.220,0.319,0.009,0.951
1750789378823,2025-06-24T21:22:58.823,0.230,0.306,0.010,0.950
1750789378833,2025-06-24T21:22:58.833,0.240,0.312,0.007,0.945
1750789378843,2025-06-24T21:22:58.843,0.250,0.349,-0.005,0.956
1750789378853,2025-06-24T21:22:58.853,0.260,0.434,0.000,0.932
1750789378863,2025-06-24T21:22:58.863,0.270,0.581,0.006,0.907
1750789378873,2025-06-24T21:22:58.873,0.280,0.757,0.015,0.899
1750789378883,2025-06-24T21:22:58.883,0.290,0.832,0.003,0.924
1750789378893,2025-06-24T21:22:58.893,0.300,0.780,-0.021,0.847
1750789378903,2025-06-24T21:22:58.903,0.310,0.556,0.015,0.664
1750789378913,2025-06-24T21:22:58.913,0.320,0.068,0.073,0.526
1750789378923,2025-06-24T21:22:58.923,0.330,-0.453,0.075,0.442
1750789378933,2025-06-24T21:22:58.933,0.340,-0.959,0.099,0.393
1750789378943,2025-06-24T21:22:58.943,0.350,-1.410,0.186,0.408
1750789378953,2025-06-24T21:22:58.953,0.360,-1.568,0.280,0.448
1750789378963,2025-06-24T21:22:58.963,0.370,-1.393,0.292,0.496
1750789378973,2025-06-24T21:22:58.973,0.380,-1.034,0.240,0.608
1750789378983,2025-06-24T21:22:58.983,0.390,-0.763,0.232,0.737
1750789378993,2025-06-24T21:22:58.993,0.400,-0.668,0.217,0.802
1750789379003,2025-06-24T21:22:59.003,0.410,-0.682,0.185,0.795
1750789379013,2025-06-24T21:22:59.013,0.420,-0.718,0.167,0.792
1750789379023,2025-06-24T21:22:59.023,0.430,-0.730,0.175,0.794
1750789379033,2025-06-24T21:22:59.033,0.440,-0.768,0.172,0.771
1750789379043,2025-06-24T21:22:59.043,0.450,-0.826,0.166,0.741
1750789379053,2025-06-24T21:22:59.053,0.460,-0.888,0.163,0.707
1750789379063,2025-06-24T21:22:59.063,0.470,-0.917,0.157,0.725
1750789379073,2025-06-24T21:22:59.073,0.480,-0.887,0.183,0.777
1750789379083,2025-06-24T21:22:59.083,0.490,-0.815,0.183,0.805
1750789379093,2025-06-24T21:22:59.093,0.500,-0.676,0.161,0.836
1750789379103,2025-06-24T21:22:59.103,0.510,-0.514,0.153,0.878
1750789379113,2025-06-24T21:22:59.113,0.520,-0.390,0.122,0.923
1750789379123,2025-06-24T21:22:59.123,0.530,-0.305,0.100,0.961
1750789379133,2025-06-24T21:22:59.133,0.540,-0.244,0.112,1.006
1750789379143,2025-06-24T21:22:59.143,0.550,-0.195,0.130,1.038
1750789379153,2025-06-24T21:22:59.153,0.560,-0.166,0.127,1.048
1750789379163,2025-06-24T21:22:59.163,0.570,-0.153,0.122,1.052
1750789379173,2025-06-24T21:22:59.173,0.580,-0.128,0.117,1.058
1750789379183,2025-06-24T21:22:59.183,0.590,-0.090,0.111,1.050
1750789379193,2025-06-24T21:22:59.193,0.600,-0.049,0.106,1.052
1750789379203,2025-06-24T21:22:59.203,0.610,0.001,0.099,1.049
1750789379213,2025-06-24T21:22:59.213,0.620,0.049,0.084,1.047
1750789379223,2025-06-24T21:22:59.223,0.630,0.073,0.066,1.039
1750789379233,2025-06-24T21:22:59.233,0.640,0.074,0.052,1.035
1750789379243,2025-06-24T21:22:59.243,0.650,0.064,0.047,1.037
1750789379253,2025-06-24T21:22:59.253,0.660,0.058,0.046,1.021
1750789379263,2025-06-24T21:22:59.263,0.670,0.046,0.045,1.004
1750789379273,2025-06-24T21:22:59.273,0.680,0.033,0.050,1.011
1750789379283,2025-06-24T21:22:59.283,0.690,0.038,0.048,1.007
1750789379293,2025-06-24T21:22:59.293,0.700,0.040,0.048,1.008
1750789379303,2025-06-24T21:22:59.303,0.710,0.058,0.048,0.993
1750789379313,2025-06-24T21:22:59.313,0.720,0.102,0.045,0.995
1750789379323,2025-06-24T21:22:59.323,0.730,0.157,0.037,1.000
1750789379333,2025-06-24T21:22:59.333,0.740,0.182,0.027,1.004
1750789379343,2025-06-24T21:22:59.343,0.750,0.178,0.027,1.001
1750789379353,2025-06-24T21:22:59.353,0.760,0.153,0.033,0.999
1750789379363,2025-06-24T21:22:59.363,0.770,0.132,0.039,0.997
1750789379373,2025-06-24T21:22:59.373,0.780,0.125,0.039,0.991
1750789379383,2025-06-24T21:22:59.383,0.790,0.137,0.035,0.986
1750789379393,2025-06-24T21:22:59.393,0.800,0.156,0.028,0.983
1750789379403,2025-06-24T21:22:59.403,0.810,0.150,0.026,0.985
1750789379413,2025-06-24T21:22:59.413,0.820,0.133,0.026,0.978
1750789379423,2025-06-24T21:22:59.423,0.830,0.133,0.028,0.968
1750789379433,2025-06-24T21:22:59.433,0.840,0.155,0.026,0.975
1750789379443,2025-06-24T21:22:59.443,0.850,0.190,0.020,0.973
1750789379453,2025-06-24T21:22:59.453,0.860,0.217,0.016,0.980
1750789379463,2025-06-24T21:22:59.463,0.870,0.217,0.013,0.985
1750789379473,2025-06-24T21:22:59.473,0.880,0.217,0.012,0.980
1750789379483,2025-06-24T21:22:59.483,0.890,0.214,0.011,0.980
1750789379493,2025-06-24T21:22:59.493,0.900,0.207,0.011,0.979
1750789379503,2025-06-24T21:22:59.503,0.910,0.195,0.008,0.977
1750789379513,2025-06-24T21:22:59.513,0.920,0.181,-0.001,0.972
