epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1751285418947,2025-06-30T15:10:18.947,0.000,1.646,3.476,-1.341
1751285418957,2025-06-30T15:10:18.957,0.010,0.915,3.598,-1.220
1751285418967,2025-06-30T15:10:18.967,0.020,0.610,2.378,-0.671
1751285418977,2025-06-30T15:10:18.977,0.030,0.000,1.829,-0.061
1751285418987,2025-06-30T15:10:18.987,0.040,-0.427,2.683,0.305
1751285418997,2025-06-30T15:10:18.997,0.050,0.000,5.244,1.098
1751285419007,2025-06-30T15:10:19.007,0.060,0.610,9.634,1.890
1751285419017,2025-06-30T15:10:19.017,0.070,0.915,15.915,3.232
1751285419027,2025-06-30T15:10:19.027,0.080,-1.341,28.110,4.878
1751285419037,2025-06-30T15:10:19.037,0.090,-8.537,54.329,8.902
1751285419047,2025-06-30T15:10:19.047,0.100,-3.110,104.024,12.683
1751285419057,2025-06-30T15:10:19.057,0.110,12.256,173.293,13.293
1751285419067,2025-06-30T15:10:19.067,0.120,25.183,245.671,13.110
1751285419077,2025-06-30T15:10:19.077,0.130,36.646,305.061,13.049
1751285419087,2025-06-30T15:10:19.087,0.140,45.610,343.780,12.439
1751285419097,2025-06-30T15:10:19.097,0.150,50.061,364.939,13.293
1751285419107,2025-06-30T15:10:19.107,0.160,53.415,370.549,14.573
1751285419117,2025-06-30T15:10:19.117,0.170,51.890,359.573,15.061
1751285419127,2025-06-30T15:10:19.127,0.180,45.366,329.817,15.793
1751285419137,2025-06-30T15:10:19.137,0.190,37.744,283.110,14.207
1751285419147,2025-06-30T15:10:19.147,0.200,28.476,228.476,11.951
1751285419157,2025-06-30T15:10:19.157,0.210,20.244,176.220,10.610
1751285419167,2025-06-30T15:10:19.167,0.220,12.744,131.098,9.634
1751285419177,2025-06-30T15:10:19.177,0.230,5.976,93.171,10.610
1751285419187,2025-06-30T15:10:19.187,0.240,1.707,63.476,11.829
1751285419197,2025-06-30T15:10:19.197,0.250,-1.037,39.939,12.134
1751285419207,2025-06-30T15:10:19.207,0.260,-2.683,15.549,11.402
1751285419217,2025-06-30T15:10:19.217,0.270,-4.024,-14.024,9.939
1751285419227,2025-06-30T15:10:19.227,0.280,-5.549,-45.183,8.171
1751285419237,2025-06-30T15:10:19.237,0.290,-6.463,-75.610,5.732
1751285419247,2025-06-30T15:10:19.247,0.300,-6.951,-106.585,3.598
1751285419257,2025-06-30T15:10:19.257,0.310,-6.463,-137.744,2.500
1751285419267,2025-06-30T15:10:19.267,0.320,-7.866,-167.073,1.159
1751285419277,2025-06-30T15:10:19.277,0.330,-12.439,-193.902,-1.280
1751285419287,2025-06-30T15:10:19.287,0.340,-18.963,-216.829,-2.805
1751285419297,2025-06-30T15:10:19.297,0.350,-23.659,-230.488,-3.598
1751285419307,2025-06-30T15:10:19.307,0.360,-25.122,-236.159,-5.732
1751285419317,2025-06-30T15:10:19.317,0.370,-25.854,-236.890,-8.171
1751285419327,2025-06-30T15:10:19.327,0.380,-27.134,-234.024,-10.488
1751285419337,2025-06-30T15:10:19.337,0.390,-27.317,-228.293,-11.768
1751285419347,2025-06-30T15:10:19.347,0.400,-27.500,-220.000,-11.768
1751285419357,2025-06-30T15:10:19.357,0.410,-27.866,-208.780,-11.463
1751285419367,2025-06-30T15:10:19.367,0.420,-27.012,-195.183,-10.671
1751285419377,2025-06-30T15:10:19.377,0.430,-25.671,-182.317,-9.573
1751285419387,2025-06-30T15:10:19.387,0.440,-24.878,-172.561,-8.232
1751285419397,2025-06-30T15:10:19.397,0.450,-24.207,-166.159,-7.134
1751285419407,2025-06-30T15:10:19.407,0.460,-24.207,-161.098,-6.159
1751285419417,2025-06-30T15:10:19.417,0.470,-24.207,-154.756,-5.244
1751285419427,2025-06-30T15:10:19.427,0.480,-23.415,-144.878,-4.512
1751285419437,2025-06-30T15:10:19.437,0.490,-21.768,-131.585,-4.085
1751285419447,2025-06-30T15:10:19.447,0.500,-20.122,-115.854,-4.024
1751285419457,2025-06-30T15:10:19.457,0.510,-17.927,-99.146,-3.476
1751285419467,2025-06-30T15:10:19.467,0.520,-15.854,-83.537,-2.805
1751285419477,2025-06-30T15:10:19.477,0.530,-14.085,-69.390,-2.134
1751285419487,2025-06-30T15:10:19.487,0.540,-12.439,-58.720,-1.098
1751285419497,2025-06-30T15:10:19.497,0.550,-11.646,-52.378,-0.488
1751285419507,2025-06-30T15:10:19.507,0.560,-10.793,-49.329,0.488
1751285419517,2025-06-30T15:10:19.517,0.570,-10.488,-48.780,0.915
1751285419527,2025-06-30T15:10:19.527,0.580,-10.488,-48.537,-0.061
1751285419537,2025-06-30T15:10:19.537,0.590,-10.122,-45.915,-0.488
1751285419547,2025-06-30T15:10:19.547,0.600,-9.024,-39.390,-0.915
1751285419557,2025-06-30T15:10:19.557,0.610,-7.439,-31.341,-1.524
1751285419567,2025-06-30T15:10:19.567,0.620,-6.159,-23.537,-1.951
1751285419577,2025-06-30T15:10:19.577,0.630,-4.939,-17.134,-2.073
1751285419587,2025-06-30T15:10:19.587,0.640,-3.841,-11.768,-2.073
1751285419597,2025-06-30T15:10:19.597,0.650,-2.927,-7.927,-1.402
1751285419607,2025-06-30T15:10:19.607,0.660,-2.378,-5.427,-0.671
1751285419617,2025-06-30T15:10:19.617,0.670,-2.134,-4.085,-0.366
1751285419627,2025-06-30T15:10:19.627,0.680,-2.073,-3.841,-0.305
1751285419637,2025-06-30T15:10:19.637,0.690,-2.012,-3.415,-0.549
1751285419647,2025-06-30T15:10:19.647,0.700,-1.890,-2.378,-0.793
1751285419657,2025-06-30T15:10:19.657,0.710,-1.768,-0.671,-1.037
1751285419667,2025-06-30T15:10:19.667,0.720,-1.402,1.646,-0.793
1751285419677,2025-06-30T15:10:19.677,0.730,-0.732,3.720,-0.366
1751285419687,2025-06-30T15:10:19.687,0.740,-0.427,3.841,0.061
1751285419697,2025-06-30T15:10:19.697,0.750,-0.793,2.012,0.610
1751285419707,2025-06-30T15:10:19.707,0.760,-0.854,0.366,1.402
1751285419717,2025-06-30T15:10:19.717,0.770,-0.793,1.341,2.012
1751285419727,2025-06-30T15:10:19.727,0.780,-0.244,5.061,2.561
1751285419737,2025-06-30T15:10:19.737,0.790,0.610,11.524,2.866
1751285419747,2025-06-30T15:10:19.747,0.800,2.073,20.305,2.988
1751285419757,2025-06-30T15:10:19.757,0.810,4.146,31.341,3.415
1751285419767,2025-06-30T15:10:19.767,0.820,6.098,46.220,3.841
1751285419777,2025-06-30T15:10:19.777,0.830,8.293,68.110,4.756
1751285419787,2025-06-30T15:10:19.787,0.840,9.634,98.598,6.402
1751285419797,2025-06-30T15:10:19.797,0.850,11.159,141.646,8.476
1751285419807,2025-06-30T15:10:19.807,0.860,16.951,198.110,10.244
1751285419817,2025-06-30T15:10:19.817,0.870,28.902,261.585,11.341
1751285419827,2025-06-30T15:10:19.827,0.880,40.549,324.695,10.915
1751285419837,2025-06-30T15:10:19.837,0.890,51.585,377.988,10.427
1751285419847,2025-06-30T15:10:19.847,0.900,59.756,411.524,8.659
1751285419857,2025-06-30T15:10:19.857,0.910,62.805,421.646,7.683
1751285419867,2025-06-30T15:10:19.867,0.920,60.000,412.134,8.963
1751285419877,2025-06-30T15:10:19.877,0.930,55.488,387.317,7.927
1751285419887,2025-06-30T15:10:19.887,0.940,49.329,345.854,3.171
1751285419897,2025-06-30T15:10:19.897,0.950,41.037,288.720,-0.488
1751285419907,2025-06-30T15:10:19.907,0.960,32.683,227.012,-2.927
1751285419917,2025-06-30T15:10:19.917,0.970,24.634,170.793,-5.671
1751285419927,2025-06-30T15:10:19.927,0.980,17.744,122.500,-6.646
1751285419937,2025-06-30T15:10:19.937,0.990,12.622,84.878,-6.829
1751285419947,2025-06-30T15:10:19.947,1.000,8.537,57.134,-6.280
1751285419957,2025-06-30T15:10:19.957,1.010,5.000,36.220,-4.268
1751285419967,2025-06-30T15:10:19.967,1.020,2.988,18.780,-2.256
1751285419977,2025-06-30T15:10:19.977,1.030,2.317,1.280,-0.427
1751285419987,2025-06-30T15:10:19.987,1.040,1.768,-17.683,0.793
1751285419997,2025-06-30T15:10:19.997,1.050,0.732,-37.805,0.671
1751285420007,2025-06-30T15:10:20.007,1.060,0.305,-58.354,-0.549
1751285420017,2025-06-30T15:10:20.017,1.070,0.000,-78.720,-1.707
1751285420027,2025-06-30T15:10:20.027,1.080,0.732,-99.207,-2.012
1751285420037,2025-06-30T15:10:20.037,1.090,2.073,-122.744,-2.012
1751285420047,2025-06-30T15:10:20.047,1.100,1.280,-151.646,-2.256
1751285420057,2025-06-30T15:10:20.057,1.110,-2.683,-185.976,-2.988
1751285420067,2025-06-30T15:10:20.067,1.120,-11.890,-222.256,-5.366
1751285420077,2025-06-30T15:10:20.077,1.130,-21.829,-254.939,-6.463
1751285420087,2025-06-30T15:10:20.087,1.140,-27.988,-272.988,-7.378
1751285420097,2025-06-30T15:10:20.097,1.150,-31.341,-278.659,-9.024
1751285420107,2025-06-30T15:10:20.107,1.160,-32.988,-273.902,-9.573
1751285420117,2025-06-30T15:10:20.117,1.170,-32.988,-260.366,-8.841
