epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1750790139146,2025-06-24T21:35:39.146,0.000,-1.038,0.072,0.594
1750790139156,2025-06-24T21:35:39.156,0.010,-1.169,0.060,0.625
1750790139166,2025-06-24T21:35:39.166,0.020,-1.105,0.044,0.680
1750790139176,2025-06-24T21:35:39.176,0.030,-0.930,0.058,0.727
1750790139186,2025-06-24T21:35:39.186,0.040,-0.780,0.061,0.740
1750790139196,2025-06-24T21:35:39.196,0.050,-0.705,0.030,0.767
1750790139206,2025-06-24T21:35:39.206,0.060,-0.697,0.006,0.783
1750790139216,2025-06-24T21:35:39.216,0.070,-0.715,0.003,0.782
1750790139226,2025-06-24T21:35:39.226,0.080,-0.718,0.005,0.776
1750790139236,2025-06-24T21:35:39.236,0.090,-0.708,0.013,0.791
1750790139246,2025-06-24T21:35:39.246,0.100,-0.692,0.008,0.808
1750790139256,2025-06-24T21:35:39.256,0.110,-0.686,0.002,0.828
1750790139266,2025-06-24T21:35:39.266,0.120,-0.658,0.001,0.844
1750790139276,2025-06-24T21:35:39.276,0.130,-0.585,-0.011,0.849
1750790139286,2025-06-24T21:35:39.286,0.140,-0.506,-0.030,0.861
1750790139296,2025-06-24T21:35:39.296,0.150,-0.441,-0.049,0.873
1750790139306,2025-06-24T21:35:39.306,0.160,-0.383,-0.065,0.885
1750790139316,2025-06-24T21:35:39.316,0.170,-0.339,-0.059,0.934
1750790139326,2025-06-24T21:35:39.326,0.180,-0.276,-0.052,0.976
1750790139336,2025-06-24T21:35:39.336,0.190,-0.191,-0.048,0.994
1750790139346,2025-06-24T21:35:39.346,0.200,-0.107,-0.059,0.987
1750790139356,2025-06-24T21:35:39.356,0.210,-0.045,-0.069,1.005
1750790139366,2025-06-24T21:35:39.366,0.220,0.012,-0.079,0.997
1750790139376,2025-06-24T21:35:39.376,0.230,0.051,-0.079,0.998
1750790139386,2025-06-24T21:35:39.386,0.240,0.069,-0.071,1.026
1750790139396,2025-06-24T21:35:39.396,0.250,0.105,-0.083,1.020
1750790139406,2025-06-24T21:35:39.406,0.260,0.161,-0.095,0.998
