epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1750790233740,2025-06-24T21:37:13.740,0.000,0.220,0.808,0.112
1750790233750,2025-06-24T21:37:13.750,0.010,0.235,0.827,0.096
1750790233760,2025-06-24T21:37:13.760,0.020,0.253,0.875,0.098
1750790233770,2025-06-24T21:37:13.770,0.030,0.290,0.951,0.112
1750790233780,2025-06-24T21:37:13.780,0.040,0.324,1.028,0.134
1750790233790,2025-06-24T21:37:13.790,0.050,0.359,1.092,0.156
1750790233800,2025-06-24T21:37:13.800,0.060,0.375,1.124,0.166
1750790233810,2025-06-24T21:37:13.810,0.070,0.366,1.115,0.169
1750790233820,2025-06-24T21:37:13.820,0.080,0.341,1.062,0.166
1750790233830,2025-06-24T21:37:13.830,0.090,0.320,0.990,0.163
1750790233840,2025-06-24T21:37:13.840,0.100,0.318,0.958,0.173
1750790233850,2025-06-24T21:37:13.850,0.110,0.340,0.954,0.193
1750790233860,2025-06-24T21:37:13.860,0.120,0.361,0.959,0.229
1750790233870,2025-06-24T21:37:13.870,0.130,0.366,0.981,0.286
1750790233880,2025-06-24T21:37:13.880,0.140,0.367,1.010,0.341
1750790233890,2025-06-24T21:37:13.890,0.150,0.367,1.038,0.364
1750790233900,2025-06-24T21:37:13.900,0.160,0.370,1.062,0.364
1750790233910,2025-06-24T21:37:13.910,0.170,0.374,1.074,0.339
1750790233920,2025-06-24T21:37:13.920,0.180,0.372,1.074,0.290
1750790233930,2025-06-24T21:37:13.930,0.190,0.383,1.067,0.237
1750790233940,2025-06-24T21:37:13.940,0.200,0.400,1.057,0.185
1750790233950,2025-06-24T21:37:13.950,0.210,0.403,1.055,0.169
1750790233960,2025-06-24T21:37:13.960,0.220,0.383,1.027,0.138
1750790233970,2025-06-24T21:37:13.970,0.230,0.317,0.997,0.146
1750790233980,2025-06-24T21:37:13.980,0.240,0.260,0.986,0.180
1750790233990,2025-06-24T21:37:13.990,0.250,0.226,0.972,0.217
1750790234000,2025-06-24T21:37:14.000,0.260,0.223,0.945,0.262
1750790234010,2025-06-24T21:37:14.010,0.270,0.255,0.928,0.292
1750790234020,2025-06-24T21:37:14.020,0.280,0.304,0.915,0.299
1750790234030,2025-06-24T21:37:14.030,0.290,0.351,0.894,0.285
1750790234040,2025-06-24T21:37:14.040,0.300,0.375,0.877,0.267
1750790234050,2025-06-24T21:37:14.050,0.310,0.387,0.867,0.253
1750790234060,2025-06-24T21:37:14.060,0.320,0.412,0.863,0.254
1750790234070,2025-06-24T21:37:14.070,0.330,0.446,0.860,0.273
1750790234080,2025-06-24T21:37:14.080,0.340,0.476,0.856,0.301
1750790234090,2025-06-24T21:37:14.090,0.350,0.485,0.850,0.318
1750790234100,2025-06-24T21:37:14.100,0.360,0.479,0.839,0.324
1750790234110,2025-06-24T21:37:14.110,0.370,0.478,0.827,0.329
1750790234120,2025-06-24T21:37:14.120,0.380,0.475,0.817,0.327
1750790234130,2025-06-24T21:37:14.130,0.390,0.463,0.805,0.326
1750790234140,2025-06-24T21:37:14.140,0.400,0.450,0.799,0.332
1750790234150,2025-06-24T21:37:14.150,0.410,0.441,0.797,0.337
1750790234160,2025-06-24T21:37:14.160,0.420,0.434,0.796,0.345
1750790234170,2025-06-24T21:37:14.170,0.430,0.418,0.796,0.356
1750790234180,2025-06-24T21:37:14.180,0.440,0.396,0.795,0.358
1750790234190,2025-06-24T21:37:14.190,0.450,0.381,0.800,0.358
1750790234200,2025-06-24T21:37:14.200,0.460,0.377,0.817,0.354
1750790234210,2025-06-24T21:37:14.210,0.470,0.387,0.833,0.355
1750790234220,2025-06-24T21:37:14.220,0.480,0.406,0.853,0.360
1750790234230,2025-06-24T21:37:14.230,0.490,0.422,0.894,0.366
1750790234240,2025-06-24T21:37:14.240,0.500,0.436,0.954,0.361
1750790234250,2025-06-24T21:37:14.250,0.510,0.443,1.018,0.348
1750790234260,2025-06-24T21:37:14.260,0.520,0.445,1.074,0.336
1750790234270,2025-06-24T21:37:14.270,0.530,0.434,1.116,0.324
1750790234280,2025-06-24T21:37:14.280,0.540,0.426,1.148,0.300
1750790234290,2025-06-24T21:37:14.290,0.550,0.429,1.198,0.286
1750790234300,2025-06-24T21:37:14.300,0.560,0.451,1.274,0.287
1750790234310,2025-06-24T21:37:14.310,0.570,0.470,1.368,0.304
1750790234320,2025-06-24T21:37:14.320,0.580,0.476,1.423,0.302
1750790234330,2025-06-24T21:37:14.330,0.590,0.472,1.400,0.285
1750790234340,2025-06-24T21:37:14.340,0.600,0.466,1.334,0.276
1750790234350,2025-06-24T21:37:14.350,0.610,0.456,1.247,0.271
1750790234360,2025-06-24T21:37:14.360,0.620,0.430,1.130,0.259
1750790234370,2025-06-24T21:37:14.370,0.630,0.409,1.008,0.241
1750790234380,2025-06-24T21:37:14.380,0.640,0.385,0.901,0.209
1750790234390,2025-06-24T21:37:14.390,0.650,0.375,0.833,0.178
1750790234400,2025-06-24T21:37:14.400,0.660,0.378,0.819,0.158
1750790234410,2025-06-24T21:37:14.410,0.670,0.388,0.855,0.138
1750790234420,2025-06-24T21:37:14.420,0.680,0.401,0.911,0.132
1750790234430,2025-06-24T21:37:14.430,0.690,0.418,0.964,0.139
1750790234440,2025-06-24T21:37:14.440,0.700,0.437,1.012,0.151
1750790234450,2025-06-24T21:37:14.450,0.710,0.454,1.069,0.171
1750790234460,2025-06-24T21:37:14.460,0.720,0.459,1.127,0.181
1750790234470,2025-06-24T21:37:14.470,0.730,0.453,1.171,0.157
1750790234480,2025-06-24T21:37:14.480,0.740,0.451,1.200,0.128
1750790234490,2025-06-24T21:37:14.490,0.750,0.420,1.221,0.109
1750790234500,2025-06-24T21:37:14.500,0.760,0.406,1.218,0.091
1750790234510,2025-06-24T21:37:14.510,0.770,0.375,1.196,0.080
1750790234520,2025-06-24T21:37:14.520,0.780,0.351,1.161,0.060
1750790234530,2025-06-24T21:37:14.530,0.790,0.172,1.263,-0.128
1750790234540,2025-06-24T21:37:14.540,0.800,-0.064,1.946,-0.858
1750790234550,2025-06-24T21:37:14.550,0.810,-0.488,2.548,-1.885
1750790234560,2025-06-24T21:37:14.560,0.820,-1.345,0.188,-1.311
1750790234570,2025-06-24T21:37:14.570,0.830,-0.460,-0.421,-0.555
1750790234580,2025-06-24T21:37:14.580,0.840,1.489,-0.203,-0.229
1750790234590,2025-06-24T21:37:14.590,0.850,2.398,0.637,0.272
1750790234600,2025-06-24T21:37:14.600,0.860,1.887,1.582,0.559
1750790234610,2025-06-24T21:37:14.610,0.870,0.947,1.299,0.780
1750790234620,2025-06-24T21:37:14.620,0.880,0.155,0.837,0.713
1750790234630,2025-06-24T21:37:14.630,0.890,-0.137,0.977,0.436
1750790234640,2025-06-24T21:37:14.640,0.900,-0.001,1.065,0.286
1750790234650,2025-06-24T21:37:14.650,0.910,0.260,0.823,0.197
1750790234660,2025-06-24T21:37:14.660,0.920,0.391,0.632,0.136
1750790234670,2025-06-24T21:37:14.670,0.930,0.366,0.617,0.129
1750790234680,2025-06-24T21:37:14.680,0.940,0.324,0.683,0.170
1750790234690,2025-06-24T21:37:14.690,0.950,0.280,0.758,0.243
1750790234700,2025-06-24T21:37:14.700,0.960,0.236,0.780,0.318
1750790234710,2025-06-24T21:37:14.710,0.970,0.220,0.739,0.364
1750790234720,2025-06-24T21:37:14.720,0.980,0.210,0.688,0.355
1750790234730,2025-06-24T21:37:14.730,0.990,0.189,0.653,0.315
1750790234740,2025-06-24T21:37:14.740,1.000,0.167,0.640,0.256
1750790234750,2025-06-24T21:37:14.750,1.010,0.156,0.640,0.208
1750790234760,2025-06-24T21:37:14.760,1.020,0.154,0.641,0.175
1750790234770,2025-06-24T21:37:14.770,1.030,0.150,0.649,0.166
1750790234780,2025-06-24T21:37:14.780,1.040,0.159,0.671,0.190
1750790234790,2025-06-24T21:37:14.790,1.050,0.199,0.699,0.226
1750790234800,2025-06-24T21:37:14.800,1.060,0.236,0.729,0.241
1750790234810,2025-06-24T21:37:14.810,1.070,0.260,0.760,0.247
