epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1750790233751,2025-06-24T21:37:13.751,0.000,-1.280,-71.585,-82.500
1750790233761,2025-06-24T21:37:13.761,0.010,1.159,-72.927,-85.915
1750790233771,2025-06-24T21:37:13.771,0.020,8.720,-78.354,-99.939
1750790233781,2025-06-24T21:37:13.781,0.030,18.049,-83.171,-117.988
1750790233791,2025-06-24T21:37:13.791,0.040,26.463,-84.939,-133.476
1750790233801,2025-06-24T21:37:13.801,0.050,33.963,-86.220,-146.646
1750790233811,2025-06-24T21:37:13.811,0.060,40.061,-89.390,-156.768
1750790233821,2025-06-24T21:37:13.821,0.070,44.573,-95.305,-163.354
1750790233831,2025-06-24T21:37:13.831,0.080,47.683,-103.720,-166.646
1750790233841,2025-06-24T21:37:13.841,0.090,50.671,-113.780,-168.110
1750790233851,2025-06-24T21:37:13.851,0.100,53.537,-120.854,-167.866
1750790233861,2025-06-24T21:37:13.861,0.110,56.768,-121.402,-165.671
1750790233871,2025-06-24T21:37:13.871,0.120,60.305,-115.122,-162.744
1750790233881,2025-06-24T21:37:13.881,0.130,63.415,-101.890,-159.146
1750790233891,2025-06-24T21:37:13.891,0.140,65.488,-83.780,-154.817
1750790233901,2025-06-24T21:37:13.901,0.150,66.890,-63.232,-150.183
1750790233911,2025-06-24T21:37:13.911,0.160,67.744,-42.927,-145.915
1750790233921,2025-06-24T21:37:13.921,0.170,68.110,-25.854,-142.561
1750790233931,2025-06-24T21:37:13.931,0.180,68.049,-13.963,-139.085
1750790233941,2025-06-24T21:37:13.941,0.190,67.866,-5.915,-135.122
1750790233951,2025-06-24T21:37:13.951,0.200,67.195,0.000,-131.220
1750790233961,2025-06-24T21:37:13.961,0.210,65.976,4.024,-128.049
1750790233971,2025-06-24T21:37:13.971,0.220,65.793,-0.061,-123.476
1750790233981,2025-06-24T21:37:13.981,0.230,63.232,-12.195,-117.378
1750790233991,2025-06-24T21:37:13.991,0.240,59.024,-31.524,-111.402
1750790234001,2025-06-24T21:37:14.001,0.250,53.171,-55.000,-106.037
