epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1751285640582,2025-06-30T15:14:00.582,0.000,1.160,-0.223,0.385
1751285640592,2025-06-30T15:14:00.592,0.010,1.243,-0.238,0.400
1751285640602,2025-06-30T15:14:00.602,0.020,1.252,-0.233,0.422
1751285640612,2025-06-30T15:14:00.612,0.030,1.157,-0.203,0.454
1751285640622,2025-06-30T15:14:00.622,0.040,0.994,-0.161,0.498
1751285640632,2025-06-30T15:14:00.632,0.050,0.836,-0.141,0.535
1751285640642,2025-06-30T15:14:00.642,0.060,0.790,-0.163,0.541
1751285640652,2025-06-30T15:14:00.652,0.070,0.751,-0.166,0.569
1751285640662,2025-06-30T15:14:00.662,0.080,0.585,-0.127,0.618
1751285640672,2025-06-30T15:14:00.672,0.090,0.377,-0.078,0.682
1751285640682,2025-06-30T15:14:00.682,0.100,0.184,-0.066,0.735
1751285640692,2025-06-30T15:14:00.692,0.110,0.039,-0.074,0.773
1751285640702,2025-06-30T15:14:00.702,0.120,-0.062,-0.092,0.770
1751285640712,2025-06-30T15:14:00.712,0.130,-0.248,-0.053,0.794
1751285640722,2025-06-30T15:14:00.722,0.140,-0.427,-0.028,0.808
1751285640732,2025-06-30T15:14:00.732,0.150,-0.527,-0.008,0.824
1751285640742,2025-06-30T15:14:00.742,0.160,-0.569,0.028,0.833
1751285640752,2025-06-30T15:14:00.752,0.170,-0.554,0.055,0.842
1751285640762,2025-06-30T15:14:00.762,0.180,-0.429,0.056,0.887
1751285640772,2025-06-30T15:14:00.772,0.190,-0.197,0.033,0.947
1751285640782,2025-06-30T15:14:00.782,0.200,-0.005,0.025,1.025
1751285640792,2025-06-30T15:14:00.792,0.210,0.083,0.026,1.091
1751285640802,2025-06-30T15:14:00.802,0.220,0.093,0.026,1.123
1751285640812,2025-06-30T15:14:00.812,0.230,0.063,0.028,1.116
1751285640822,2025-06-30T15:14:00.822,0.240,0.042,0.032,1.104
1751285640832,2025-06-30T15:14:00.832,0.250,0.004,0.032,1.075
1751285640842,2025-06-30T15:14:00.842,0.260,-0.072,0.034,1.049
1751285640852,2025-06-30T15:14:00.852,0.270,-0.141,0.032,1.029
1751285640862,2025-06-30T15:14:00.862,0.280,-0.177,0.035,1.014
1751285640872,2025-06-30T15:14:00.872,0.290,-0.189,0.035,1.009
1751285640882,2025-06-30T15:14:00.882,0.300,-0.183,0.029,1.016
1751285640892,2025-06-30T15:14:00.892,0.310,-0.160,0.024,1.035
1751285640902,2025-06-30T15:14:00.902,0.320,-0.133,0.021,1.054
1751285640912,2025-06-30T15:14:00.912,0.330,-0.109,0.016,1.067
1751285640922,2025-06-30T15:14:00.922,0.340,-0.091,0.014,1.071
1751285640932,2025-06-30T15:14:00.932,0.350,-0.086,0.021,1.073
1751285640942,2025-06-30T15:14:00.942,0.360,-0.097,0.022,1.068
1751285640952,2025-06-30T15:14:00.952,0.370,-0.114,0.026,1.059
1751285640962,2025-06-30T15:14:00.962,0.380,-0.140,0.030,1.051
1751285640972,2025-06-30T15:14:00.972,0.390,-0.162,0.034,1.031
1751285640982,2025-06-30T15:14:00.982,0.400,-0.176,0.038,1.021
1751285640992,2025-06-30T15:14:00.992,0.410,-0.176,0.038,1.017
1751285641002,2025-06-30T15:14:01.002,0.420,-0.167,0.033,1.010
1751285641012,2025-06-30T15:14:01.012,0.430,-0.158,0.027,1.006
1751285641022,2025-06-30T15:14:01.022,0.440,-0.145,0.023,1.007
1751285641032,2025-06-30T15:14:01.032,0.450,-0.134,0.018,1.011
1751285641042,2025-06-30T15:14:01.042,0.460,-0.121,0.011,1.005
1751285641052,2025-06-30T15:14:01.052,0.470,-0.135,0.009,0.996
1751285641062,2025-06-30T15:14:01.062,0.480,-0.190,0.013,0.986
1751285641072,2025-06-30T15:14:01.072,0.490,-0.226,0.017,0.967
1751285641082,2025-06-30T15:14:01.082,0.500,-0.261,0.020,0.953
1751285641092,2025-06-30T15:14:01.092,0.510,-0.281,0.024,0.944
1751285641102,2025-06-30T15:14:01.102,0.520,-0.276,0.021,0.929
1751285641112,2025-06-30T15:14:01.112,0.530,-0.249,0.015,0.914
1751285641122,2025-06-30T15:14:01.122,0.540,-0.199,0.011,0.915
1751285641132,2025-06-30T15:14:01.132,0.550,-0.123,0.009,0.922
1751285641142,2025-06-30T15:14:01.142,0.560,-0.037,-0.004,0.932
1751285641152,2025-06-30T15:14:01.152,0.570,0.014,-0.016,0.948
1751285641162,2025-06-30T15:14:01.162,0.580,0.044,-0.025,0.944
1751285641172,2025-06-30T15:14:01.172,0.590,0.073,-0.031,0.930
1751285641182,2025-06-30T15:14:01.182,0.600,0.102,-0.034,0.906
1751285641192,2025-06-30T15:14:01.192,0.610,0.161,-0.046,0.856
1751285641202,2025-06-30T15:14:01.202,0.620,0.266,-0.057,0.829
1751285641212,2025-06-30T15:14:01.212,0.630,0.362,-0.071,0.773
1751285641222,2025-06-30T15:14:01.222,0.640,0.453,-0.080,0.727
1751285641232,2025-06-30T15:14:01.232,0.650,0.571,-0.106,0.663
1751285641242,2025-06-30T15:14:01.242,0.660,0.745,-0.152,0.585
1751285641252,2025-06-30T15:14:01.252,0.670,0.936,-0.189,0.548
1751285641262,2025-06-30T15:14:01.262,0.680,1.050,-0.205,0.540
1751285641272,2025-06-30T15:14:01.272,0.690,1.080,-0.211,0.533
1751285641282,2025-06-30T15:14:01.282,0.700,1.061,-0.202,0.507
1751285641292,2025-06-30T15:14:01.292,0.710,1.072,-0.206,0.476
1751285641302,2025-06-30T15:14:01.302,0.720,1.089,-0.212,0.451
1751285641312,2025-06-30T15:14:01.312,0.730,1.117,-0.220,0.427
1751285641322,2025-06-30T15:14:01.322,0.740,1.119,-0.221,0.397
1751285641332,2025-06-30T15:14:01.332,0.750,1.089,-0.212,0.359
1751285641342,2025-06-30T15:14:01.342,0.760,1.078,-0.218,0.324
1751285641352,2025-06-30T15:14:01.352,0.770,1.056,-0.225,0.307
1751285641362,2025-06-30T15:14:01.362,0.780,1.005,-0.214,0.305
1751285641372,2025-06-30T15:14:01.372,0.790,0.964,-0.206,0.314
1751285641382,2025-06-30T15:14:01.382,0.800,0.993,-0.211,0.318
1751285641392,2025-06-30T15:14:01.392,0.810,1.087,-0.232,0.334
1751285641402,2025-06-30T15:14:01.402,0.820,1.144,-0.251,0.359
1751285641412,2025-06-30T15:14:01.412,0.830,1.068,-0.239,0.434
1751285641422,2025-06-30T15:14:01.422,0.840,0.854,-0.182,0.483
1751285641432,2025-06-30T15:14:01.432,0.850,0.753,-0.183,0.488
1751285641442,2025-06-30T15:14:01.442,0.860,0.717,-0.197,0.497
1751285641452,2025-06-30T15:14:01.452,0.870,0.729,-0.204,0.513
1751285641462,2025-06-30T15:14:01.462,0.880,0.771,-0.205,0.541
1751285641472,2025-06-30T15:14:01.472,0.890,0.786,-0.198,0.590
1751285641482,2025-06-30T15:14:01.482,0.900,0.740,-0.173,0.615
1751285641492,2025-06-30T15:14:01.492,0.910,0.683,-0.140,0.664
1751285641502,2025-06-30T15:14:01.502,0.920,0.639,-0.118,0.729
1751285641512,2025-06-30T15:14:01.512,0.930,0.512,-0.104,0.775
