epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1751285640591,2025-06-30T15:14:00.591,0.000,39.817,298.232,-14.451
1751285640601,2025-06-30T15:14:00.601,0.010,42.378,311.159,-14.085
1751285640611,2025-06-30T15:14:00.611,0.020,55.000,370.793,-12.988
1751285640621,2025-06-30T15:14:00.621,0.030,68.780,434.085,-11.951
1751285640631,2025-06-30T15:14:00.631,0.040,75.915,471.037,-10.549
1751285640641,2025-06-30T15:14:00.641,0.050,79.878,497.195,-6.646
1751285640651,2025-06-30T15:14:00.651,0.060,85.000,519.817,-0.488
1751285640661,2025-06-30T15:14:00.661,0.070,90.915,535.427,3.780
1751285640671,2025-06-30T15:14:00.671,0.080,92.866,538.110,4.634
1751285640681,2025-06-30T15:14:00.681,0.090,90.732,523.902,5.244
1751285640691,2025-06-30T15:14:00.691,0.100,85.427,495.305,6.585
1751285640701,2025-06-30T15:14:00.701,0.110,79.268,453.902,7.683
1751285640711,2025-06-30T15:14:00.711,0.120,72.744,395.915,5.183
1751285640721,2025-06-30T15:14:00.721,0.130,61.707,321.280,-1.159
1751285640731,2025-06-30T15:14:00.731,0.140,48.232,229.573,-4.268
1751285640741,2025-06-30T15:14:00.741,0.150,34.756,133.049,-3.476
1751285640751,2025-06-30T15:14:00.751,0.160,22.317,44.207,-3.171
1751285640761,2025-06-30T15:14:00.761,0.170,9.756,-27.683,-4.268
1751285640771,2025-06-30T15:14:00.771,0.180,-1.280,-72.561,-3.415
1751285640781,2025-06-30T15:14:00.781,0.190,-7.500,-87.378,-0.061
1751285640791,2025-06-30T15:14:00.791,0.200,-8.659,-77.256,4.939
1751285640801,2025-06-30T15:14:00.801,0.210,-6.707,-54.695,10.488
1751285640811,2025-06-30T15:14:00.811,0.220,-3.902,-29.329,15.000
1751285640821,2025-06-30T15:14:00.821,0.230,-1.402,-5.549,18.110
1751285640831,2025-06-30T15:14:00.831,0.240,1.646,13.902,20.793
1751285640841,2025-06-30T15:14:00.841,0.250,3.659,26.220,21.768
1751285640851,2025-06-30T15:14:00.851,0.260,3.659,29.146,20.854
1751285640861,2025-06-30T15:14:00.861,0.270,2.683,23.293,19.207
1751285640871,2025-06-30T15:14:00.871,0.280,1.341,12.744,16.707
1751285640881,2025-06-30T15:14:00.881,0.290,-0.671,1.585,14.024
1751285640891,2025-06-30T15:14:00.891,0.300,-2.073,-6.951,11.585
1751285640901,2025-06-30T15:14:00.901,0.310,-2.256,-10.488,9.573
1751285640911,2025-06-30T15:14:00.911,0.320,-1.829,-9.207,8.232
1751285640921,2025-06-30T15:14:00.921,0.330,-0.915,-3.963,7.378
1751285640931,2025-06-30T15:14:00.931,0.340,0.366,3.110,6.585
1751285640941,2025-06-30T15:14:00.941,0.350,1.280,10.305,5.976
1751285640951,2025-06-30T15:14:00.951,0.360,1.768,15.488,5.671
1751285640961,2025-06-30T15:14:00.961,0.370,1.768,17.500,5.366
1751285640971,2025-06-30T15:14:00.971,0.380,1.220,16.646,4.878
1751285640981,2025-06-30T15:14:00.981,0.390,-0.183,12.744,4.329
1751285640991,2025-06-30T15:14:00.991,0.400,-2.012,6.341,4.024
1751285641001,2025-06-30T15:14:01.001,0.410,-3.841,-0.183,3.780
1751285641011,2025-06-30T15:14:01.011,0.420,-5.488,-6.037,3.598
1751285641021,2025-06-30T15:14:01.021,0.430,-6.646,-10.427,3.415
1751285641031,2025-06-30T15:14:01.031,0.440,-7.439,-12.500,3.476
1751285641041,2025-06-30T15:14:01.041,0.450,-7.988,-12.744,3.537
1751285641051,2025-06-30T15:14:01.051,0.460,-7.927,-13.171,3.780
1751285641061,2025-06-30T15:14:01.061,0.470,-8.110,-18.232,4.329
1751285641071,2025-06-30T15:14:01.071,0.480,-10.000,-31.098,5.366
1751285641081,2025-06-30T15:14:01.081,0.490,-12.866,-52.500,6.341
1751285641091,2025-06-30T15:14:01.091,0.500,-16.890,-81.037,7.317
1751285641101,2025-06-30T15:14:01.101,0.510,-22.073,-114.329,8.476
1751285641111,2025-06-30T15:14:01.111,0.520,-27.683,-148.537,9.085
1751285641121,2025-06-30T15:14:01.121,0.530,-32.866,-181.280,8.902
1751285641131,2025-06-30T15:14:01.131,0.540,-38.841,-209.634,8.841
1751285641141,2025-06-30T15:14:01.141,0.550,-44.146,-231.524,9.390
1751285641151,2025-06-30T15:14:01.151,0.560,-47.866,-249.939,9.878
1751285641161,2025-06-30T15:14:01.161,0.570,-50.976,-270.366,9.939
1751285641171,2025-06-30T15:14:01.171,0.580,-54.878,-297.561,10.366
1751285641181,2025-06-30T15:14:01.181,0.590,-58.720,-332.378,11.280
1751285641191,2025-06-30T15:14:01.191,0.600,-63.720,-370.671,12.500
1751285641201,2025-06-30T15:14:01.201,0.610,-69.390,-406.341,14.817
1751285641211,2025-06-30T15:14:01.211,0.620,-75.061,-433.963,16.890
1751285641221,2025-06-30T15:14:01.221,0.630,-79.878,-453.720,17.012
1751285641231,2025-06-30T15:14:01.231,0.640,-84.146,-466.280,15.915
1751285641241,2025-06-30T15:14:01.241,0.650,-85.244,-464.512,16.037
1751285641251,2025-06-30T15:14:01.251,0.660,-82.378,-443.293,15.122
1751285641261,2025-06-30T15:14:01.261,0.670,-75.732,-402.439,12.012
1751285641271,2025-06-30T15:14:01.271,0.680,-67.195,-349.512,8.598
1751285641281,2025-06-30T15:14:01.281,0.690,-58.841,-295.671,5.610
1751285641291,2025-06-30T15:14:01.291,0.700,-51.037,-240.915,1.707
1751285641301,2025-06-30T15:14:01.301,0.710,-43.232,-185.183,-2.866
1751285641311,2025-06-30T15:14:01.311,0.720,-35.915,-128.659,-7.134
1751285641321,2025-06-30T15:14:01.321,0.730,-28.841,-73.476,-10.122
1751285641331,2025-06-30T15:14:01.331,0.740,-22.012,-23.963,-12.073
1751285641341,2025-06-30T15:14:01.341,0.750,-16.037,18.963,-13.780
1751285641351,2025-06-30T15:14:01.351,0.760,-9.817,56.646,-15.061
1751285641361,2025-06-30T15:14:01.361,0.770,-4.268,87.561,-15.000
1751285641371,2025-06-30T15:14:01.371,0.780,-0.366,108.110,-13.963
1751285641381,2025-06-30T15:14:01.381,0.790,2.317,124.695,-12.561
1751285641391,2025-06-30T15:14:01.391,0.800,5.549,152.317,-11.280
1751285641401,2025-06-30T15:14:01.401,0.810,12.012,198.049,-9.817
1751285641411,2025-06-30T15:14:01.411,0.820,22.622,249.390,-8.354
1751285641421,2025-06-30T15:14:01.421,0.830,32.866,278.537,-6.402
1751285641431,2025-06-30T15:14:01.431,0.840,36.646,289.634,-4.024
1751285641441,2025-06-30T15:14:01.441,0.850,39.939,290.305,-1.829
1751285641451,2025-06-30T15:14:01.451,0.860,43.049,294.146,1.707
1751285641461,2025-06-30T15:14:01.461,0.870,47.927,308.659,4.878
1751285641471,2025-06-30T15:14:01.471,0.880,53.476,335.183,6.463
1751285641481,2025-06-30T15:14:01.481,0.890,60.671,368.110,6.220
1751285641491,2025-06-30T15:14:01.491,0.900,65.793,405.671,3.902
1751285641501,2025-06-30T15:14:01.501,0.910,67.134,445.000,0.732
1751285641511,2025-06-30T15:14:01.511,0.920,71.951,477.744,-1.707
1751285641521,2025-06-30T15:14:01.521,0.930,77.683,492.622,-2.439
1751285641531,2025-06-30T15:14:01.531,0.940,81.159,482.439,-2.134
1751285641541,2025-06-30T15:14:01.541,0.950,81.646,447.378,0.549
1751285641551,2025-06-30T15:14:01.551,0.960,77.378,391.037,2.744
1751285641561,2025-06-30T15:14:01.561,0.970,66.341,321.159,2.195
1751285641571,2025-06-30T15:14:01.571,0.980,54.512,244.268,0.671
1751285641581,2025-06-30T15:14:01.581,0.990,42.988,165.549,-0.732
1751285641591,2025-06-30T15:14:01.591,1.000,30.793,88.659,-1.646
1751285641601,2025-06-30T15:14:01.601,1.010,19.573,20.610,-1.829
1751285641611,2025-06-30T15:14:01.611,1.020,10.732,-31.341,-1.402
1751285641621,2025-06-30T15:14:01.621,1.030,3.963,-60.305,-0.915
1751285641631,2025-06-30T15:14:01.631,1.040,0.122,-65.549,0.305
1751285641641,2025-06-30T15:14:01.641,1.050,-0.549,-54.817,3.293
1751285641651,2025-06-30T15:14:01.651,1.060,0.610,-37.073,6.646
1751285641661,2025-06-30T15:14:01.661,1.070,1.890,-16.951,9.573
1751285641671,2025-06-30T15:14:01.671,1.080,3.476,2.622,11.890
1751285641681,2025-06-30T15:14:01.681,1.090,5.305,18.537,12.805
1751285641691,2025-06-30T15:14:01.691,1.100,6.402,28.171,12.561
1751285641701,2025-06-30T15:14:01.701,1.110,6.280,29.939,11.524
1751285641711,2025-06-30T15:14:01.711,1.120,5.549,25.488,9.390
1751285641721,2025-06-30T15:14:01.721,1.130,4.451,16.646,7.256
1751285641731,2025-06-30T15:14:01.731,1.140,3.354,5.366,5.244
1751285641741,2025-06-30T15:14:01.741,1.150,2.500,-5.122,2.988
1751285641751,2025-06-30T15:14:01.751,1.160,1.768,-11.829,1.524
1751285641761,2025-06-30T15:14:01.761,1.170,1.524,-12.561,0.488
1751285641771,2025-06-30T15:14:01.771,1.180,1.341,-9.817,0.000
1751285641781,2025-06-30T15:14:01.781,1.190,0.976,-6.524,-0.061
1751285641791,2025-06-30T15:14:01.791,1.200,0.793,-5.976,0.671
1751285641801,2025-06-30T15:14:01.801,1.210,-0.549,-11.037,1.829
1751285641811,2025-06-30T15:14:01.811,1.220,-3.171,-20.183,2.805
