epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1751276291293,2025-06-30T12.38.11.293,0.000,0.635,-0.220,0.739
1751276291303,2025-06-30T12.38.11.303,0.010,0.600,-0.217,0.752
1751276291313,2025-06-30T12.38.11.313,0.020,0.553,-0.217,0.745
1751276291323,2025-06-30T12.38.11.323,0.030,0.527,-0.221,0.743
1751276291333,2025-06-30T12.38.11.333,0.040,0.510,-0.245,0.743
1751276291343,2025-06-30T12.38.11.343,0.050,0.484,-0.263,0.734
1751276291353,2025-06-30T12.38.11.353,0.060,0.499,-0.273,0.712
1751276291363,2025-06-30T12.38.11.363,0.070,0.539,-0.270,0.703
1751276291373,2025-06-30T12.38.11.373,0.080,0.555,-0.258,0.711
1751276291383,2025-06-30T12.38.11.383,0.090,0.570,-0.265,0.729
1751276291393,2025-06-30T12.38.11.393,0.100,0.568,-0.266,0.734
1751276291403,2025-06-30T12.38.11.403,0.110,0.557,-0.254,0.738
1751276291413,2025-06-30T12.38.11.413,0.120,0.550,-0.235,0.741
1751276291423,2025-06-30T12.38.11.423,0.130,0.534,-0.218,0.756
1751276291433,2025-06-30T12.38.11.433,0.140,0.545,-0.200,0.759
1751276291443,2025-06-30T12.38.11.443,0.150,0.548,-0.188,0.763
1751276291453,2025-06-30T12.38.11.453,0.160,0.537,-0.180,0.768
1751276291463,2025-06-30T12.38.11.463,0.170,0.534,-0.171,0.772
1751276291473,2025-06-30T12.38.11.473,0.180,0.548,-0.155,0.774
1751276291483,2025-06-30T12.38.11.483,0.190,0.561,-0.151,0.793
1751276291493,2025-06-30T12.38.11.493,0.200,0.575,-0.142,0.809
1751276291503,2025-06-30T12.38.11.503,0.210,0.576,-0.134,0.810
1751276291513,2025-06-30T12.38.11.513,0.220,0.568,-0.142,0.811
1751276291523,2025-06-30T12.38.11.523,0.230,0.582,-0.146,0.808
1751276291533,2025-06-30T12.38.11.533,0.240,0.580,-0.136,0.815
1751276291543,2025-06-30T12.38.11.543,0.250,0.553,-0.128,0.821
1751276291553,2025-06-30T12.38.11.553,0.260,0.538,-0.133,0.819
1751276291563,2025-06-30T12.38.11.563,0.270,0.547,-0.140,0.824
1751276291573,2025-06-30T12.38.11.573,0.280,0.544,-0.139,0.833
1751276291583,2025-06-30T12.38.11.583,0.290,0.543,-0.130,0.837
1751276291593,2025-06-30T12.38.11.593,0.300,0.542,-0.132,0.837
1751276291603,2025-06-30T12.38.11.603,0.310,0.545,-0.135,0.836
1751276291613,2025-06-30T12.38.11.613,0.320,0.543,-0.135,0.831
1751276291623,2025-06-30T12.38.11.623,0.330,0.538,-0.127,0.824
1751276291633,2025-06-30T12.38.11.633,0.340,0.541,-0.124,0.821
1751276291643,2025-06-30T12.38.11.643,0.350,0.549,-0.125,0.818
1751276291653,2025-06-30T12.38.11.653,0.360,0.555,-0.127,0.816
1751276291663,2025-06-30T12.38.11.663,0.370,0.562,-0.127,0.816
1751276291673,2025-06-30T12.38.11.673,0.380,0.563,-0.128,0.824
1751276291683,2025-06-30T12.38.11.683,0.390,0.560,-0.127,0.824
1751276291693,2025-06-30T12.38.11.693,0.400,0.553,-0.126,0.823
1751276291703,2025-06-30T12.38.11.703,0.410,0.553,-0.127,0.822
1751276291713,2025-06-30T12.38.11.713,0.420,0.549,-0.125,0.820
1751276291723,2025-06-30T12.38.11.723,0.430,0.542,-0.128,0.813
1751276291733,2025-06-30T12.38.11.733,0.440,0.538,-0.130,0.806
1751276291743,2025-06-30T12.38.11.743,0.450,0.541,-0.133,0.798
1751276291753,2025-06-30T12.38.11.753,0.460,0.535,-0.135,0.798
1751276291763,2025-06-30T12.38.11.763,0.470,0.535,-0.144,0.793
1751276291773,2025-06-30T12.38.11.773,0.480,0.546,-0.149,0.795
1751276291783,2025-06-30T12.38.11.783,0.490,0.562,-0.149,0.802
1751276291793,2025-06-30T12.38.11.793,0.500,0.568,-0.152,0.812
1751276291803,2025-06-30T12.38.11.803,0.510,0.570,-0.155,0.818
1751276291813,2025-06-30T12.38.11.813,0.520,0.578,-0.162,0.824
1751276291823,2025-06-30T12.38.11.823,0.530,0.586,-0.163,0.825
1751276291833,2025-06-30T12.38.11.833,0.540,0.581,-0.157,0.830
1751276291843,2025-06-30T12.38.11.843,0.550,0.566,-0.147,0.822
1751276291853,2025-06-30T12.38.11.853,0.560,0.570,-0.140,0.819
1751276291863,2025-06-30T12.38.11.863,0.570,0.578,-0.134,0.812
1751276291873,2025-06-30T12.38.11.873,0.580,0.573,-0.127,0.807
1751276291883,2025-06-30T12.38.11.883,0.590,0.568,-0.121,0.804
1751276291893,2025-06-30T12.38.11.893,0.600,0.573,-0.116,0.804
1751276291903,2025-06-30T12.38.11.903,0.610,0.579,-0.118,0.810
1751276291913,2025-06-30T12.38.11.913,0.620,0.593,-0.122,0.820
1751276291923,2025-06-30T12.38.11.923,0.630,0.601,-0.123,0.828
1751276291933,2025-06-30T12.38.11.933,0.640,0.601,-0.123,0.833
1751276291943,2025-06-30T12.38.11.943,0.650,0.588,-0.121,0.835
