epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1751275732601,2025-06-30T12.28.52.601,0.000,-6.341,-9.939,-31.646
1751275732611,2025-06-30T12.28.52.611,0.010,-6.220,-9.512,-31.768
1751275732621,2025-06-30T12.28.52.621,0.020,-5.915,-8.476,-30.915
1751275732631,2025-06-30T12.28.52.631,0.030,-5.427,-7.866,-30.305
1751275732641,2025-06-30T12.28.52.641,0.040,-4.207,-6.402,-29.634
1751275732651,2025-06-30T12.28.52.651,0.050,-2.927,-4.024,-28.293
1751275732661,2025-06-30T12.28.52.661,0.060,-2.012,-1.951,-26.341
1751275732671,2025-06-30T12.28.52.671,0.070,-1.829,-0.915,-24.268
1751275732681,2025-06-30T12.28.52.681,0.080,-2.378,-0.610,-21.768
1751275732691,2025-06-30T12.28.52.691,0.090,-3.049,-0.366,-19.695
1751275732701,2025-06-30T12.28.52.701,0.100,-2.988,0.488,-18.659
1751275732711,2025-06-30T12.28.52.711,0.110,-2.378,1.951,-17.683
1751275732721,2025-06-30T12.28.52.721,0.120,-1.890,3.963,-15.854
1751275732731,2025-06-30T12.28.52.731,0.130,-1.463,5.305,-13.049
1751275732741,2025-06-30T12.28.52.741,0.140,-1.280,5.488,-10.244
1751275732751,2025-06-30T12.28.52.751,0.150,-1.524,3.841,-7.744
1751275732761,2025-06-30T12.28.52.761,0.160,-2.012,1.341,-5.610
1751275732771,2025-06-30T12.28.52.771,0.170,-2.073,-0.671,-3.841
1751275732781,2025-06-30T12.28.52.781,0.180,-1.707,-1.280,-2.317
1751275732791,2025-06-30T12.28.52.791,0.190,-1.098,-0.854,-0.366
1751275732801,2025-06-30T12.28.52.801,0.200,-0.671,0.122,1.829
1751275732811,2025-06-30T12.28.52.811,0.210,-0.488,1.280,4.207
1751275732821,2025-06-30T12.28.52.821,0.220,-0.549,2.744,6.402
1751275732831,2025-06-30T12.28.52.831,0.230,-0.427,3.780,8.598
1751275732841,2025-06-30T12.28.52.841,0.240,0.061,3.963,11.402
1751275732851,2025-06-30T12.28.52.851,0.250,0.000,2.866,14.817
1751275732861,2025-06-30T12.28.52.861,0.260,-0.244,0.915,17.683
1751275732871,2025-06-30T12.28.52.871,0.270,0.061,-0.793,19.939
1751275732881,2025-06-30T12.28.52.881,0.280,0.305,-1.280,22.622
1751275732891,2025-06-30T12.28.52.891,0.290,0.427,-0.488,25.427
1751275732901,2025-06-30T12.28.52.901,0.300,0.915,1.159,27.134
1751275732911,2025-06-30T12.28.52.911,0.310,1.646,3.598,28.720
