epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1751275555056,2025-06-30T12.25.55.056,0.000,-2.073,-6.220,37.805
1751275555066,2025-06-30T12.25.55.066,0.010,-2.683,-7.805,37.317
1751275555076,2025-06-30T12.25.55.076,0.020,-3.415,-12.622,34.695
1751275555086,2025-06-30T12.25.55.086,0.030,-4.451,-18.171,31.646
1751275555096,2025-06-30T12.25.55.096,0.040,-5.000,-21.220,28.354
1751275555106,2025-06-30T12.25.55.106,0.050,-5.305,-19.451,25.488
1751275555116,2025-06-30T12.25.55.116,0.060,-4.573,-15.122,22.744
1751275555126,2025-06-30T12.25.55.126,0.070,-3.902,-10.671,19.695
1751275555136,2025-06-30T12.25.55.136,0.080,-3.598,-6.951,16.829
1751275555146,2025-06-30T12.25.55.146,0.090,-2.683,-4.512,13.963
1751275555156,2025-06-30T12.25.55.156,0.100,-1.463,-3.354,11.037
1751275555166,2025-06-30T12.25.55.166,0.110,-0.183,-2.622,8.293
1751275555176,2025-06-30T12.25.55.176,0.120,0.488,-1.402,5.915
1751275555186,2025-06-30T12.25.55.186,0.130,1.585,0.183,3.293
1751275555196,2025-06-30T12.25.55.196,0.140,3.110,3.293,0.732
1751275555206,2025-06-30T12.25.55.206,0.150,3.841,6.159,-0.549
1751275555216,2025-06-30T12.25.55.216,0.160,3.598,7.195,-1.220
1751275555226,2025-06-30T12.25.55.226,0.170,3.415,6.768,-1.768
1751275555236,2025-06-30T12.25.55.236,0.180,3.354,5.732,-1.951
1751275555246,2025-06-30T12.25.55.246,0.190,2.744,3.293,-1.951
1751275555256,2025-06-30T12.25.55.256,0.200,1.829,-0.915,-2.317
1751275555266,2025-06-30T12.25.55.266,0.210,0.427,-5.976,-2.561
1751275555276,2025-06-30T12.25.55.276,0.220,-0.488,-10.549,-3.354
1751275555286,2025-06-30T12.25.55.286,0.230,-0.488,-13.171,-4.695
1751275555296,2025-06-30T12.25.55.296,0.240,-0.061,-13.354,-5.488
1751275555306,2025-06-30T12.25.55.306,0.250,1.220,-12.439,-5.671
1751275555316,2025-06-30T12.25.55.316,0.260,2.317,-11.341,-5.976
1751275555326,2025-06-30T12.25.55.326,0.270,3.049,-9.085,-6.463
1751275555336,2025-06-30T12.25.55.336,0.280,4.024,-5.976,-7.805
1751275555346,2025-06-30T12.25.55.346,0.290,5.183,-2.805,-9.512
1751275555356,2025-06-30T12.25.55.356,0.300,6.159,-1.220,-10.366
1751275555366,2025-06-30T12.25.55.366,0.310,6.098,-0.976,-10.244
1751275555376,2025-06-30T12.25.55.376,0.320,5.671,-0.854,-9.390
1751275555386,2025-06-30T12.25.55.386,0.330,5.183,1.159,-8.902
1751275555396,2025-06-30T12.25.55.396,0.340,4.939,4.817,-8.659
1751275555406,2025-06-30T12.25.55.406,0.350,5.061,8.598,-8.232
1751275555416,2025-06-30T12.25.55.416,0.360,4.817,10.671,-6.890
1751275555426,2025-06-30T12.25.55.426,0.370,4.024,9.817,-5.366
1751275555436,2025-06-30T12.25.55.436,0.380,3.110,6.585,-4.512
1751275555446,2025-06-30T12.25.55.446,0.390,2.195,1.707,-3.963
1751275555456,2025-06-30T12.25.55.456,0.400,0.732,-4.146,-3.720
1751275555466,2025-06-30T12.25.55.466,0.410,-0.671,-7.988,-3.720
