epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1751274144518,2025-06-30T12.02.24.518,0.000,0.508,0.776,0.268
1751274144522,2025-06-30T12.02.24.522,0.004,0.506,0.779,0.274
1751274144528,2025-06-30T12.02.24.528,0.010,0.509,0.775,0.269
1751274144533,2025-06-30T12.02.24.533,0.015,0.509,0.776,0.276
1751274144537,2025-06-30T12.02.24.537,0.019,0.513,0.774,0.280
1751274144543,2025-06-30T12.02.24.543,0.025,0.518,0.772,0.288
1751274144547,2025-06-30T12.02.24.547,0.029,0.515,0.773,0.296
1751274144553,2025-06-30T12.02.24.553,0.035,0.512,0.776,0.308
1751274144558,2025-06-30T12.02.24.558,0.040,0.506,0.776,0.315
1751274144562,2025-06-30T12.02.24.562,0.044,0.496,0.774,0.324
1751274144568,2025-06-30T12.02.24.568,0.050,0.488,0.776,0.328
1751274144572,2025-06-30T12.02.24.572,0.054,0.479,0.782,0.331
1751274144578,2025-06-30T12.02.24.578,0.060,0.468,0.784,0.339
1751274144582,2025-06-30T12.02.24.582,0.064,0.458,0.790,0.339
1751274144587,2025-06-30T12.02.24.587,0.069,0.450,0.793,0.340
1751274144593,2025-06-30T12.02.24.593,0.075,0.453,0.791,0.347
1751274144597,2025-06-30T12.02.24.597,0.079,0.453,0.790,0.352
1751274144603,2025-06-30T12.02.24.603,0.085,0.455,0.790,0.354
1751274144607,2025-06-30T12.02.24.607,0.089,0.458,0.790,0.351
1751274144612,2025-06-30T12.02.24.612,0.094,0.461,0.790,0.350
1751274144618,2025-06-30T12.02.24.618,0.100,0.460,0.792,0.352
1751274144622,2025-06-30T12.02.24.622,0.104,0.460,0.791,0.355
1751274144626,2025-06-30T12.02.24.626,0.108,0.461,0.790,0.353
1751274144632,2025-06-30T12.02.24.632,0.114,0.466,0.789,0.348
1751274144637,2025-06-30T12.02.24.637,0.119,0.454,0.774,0.307
1751274144643,2025-06-30T12.02.24.643,0.125,0.387,0.766,0.260
1751274144647,2025-06-30T12.02.24.647,0.129,0.283,0.808,0.298
1751274144651,2025-06-30T12.02.24.651,0.133,0.250,0.824,0.326
1751274144657,2025-06-30T12.02.24.657,0.139,0.311,0.818,0.323
1751274144662,2025-06-30T12.02.24.662,0.144,0.429,0.811,0.346
1751274144667,2025-06-30T12.02.24.667,0.149,0.564,0.804,0.375
1751274144672,2025-06-30T12.02.24.672,0.154,0.685,0.802,0.390
1751274144676,2025-06-30T12.02.24.676,0.158,0.759,0.795,0.390
1751274144682,2025-06-30T12.02.24.682,0.164,0.756,0.792,0.376
1751274144686,2025-06-30T12.02.24.686,0.168,0.682,0.792,0.359
1751274144692,2025-06-30T12.02.24.692,0.174,0.535,0.801,0.354
1751274144697,2025-06-30T12.02.24.697,0.179,0.386,0.808,0.357
1751274144701,2025-06-30T12.02.24.701,0.183,0.308,0.810,0.362
1751274144707,2025-06-30T12.02.24.707,0.189,0.310,0.803,0.373
1751274144711,2025-06-30T12.02.24.711,0.193,0.373,0.797,0.385
1751274144717,2025-06-30T12.02.24.717,0.199,0.450,0.788,0.394
1751274144722,2025-06-30T12.02.24.722,0.204,0.526,0.770,0.390
1751274144726,2025-06-30T12.02.24.726,0.208,0.554,0.760,0.354
1751274144732,2025-06-30T12.02.24.732,0.214,0.567,0.796,0.387
1751274144736,2025-06-30T12.02.24.736,0.218,0.540,0.814,0.388
1751274144742,2025-06-30T12.02.24.742,0.224,0.522,0.813,0.394
1751274144747,2025-06-30T12.02.24.747,0.229,0.532,0.793,0.382
1751274144751,2025-06-30T12.02.24.751,0.233,0.539,0.788,0.390
1751274144757,2025-06-30T12.02.24.757,0.239,0.537,0.790,0.415
1751274144761,2025-06-30T12.02.24.761,0.243,0.547,0.784,0.413
1751274144767,2025-06-30T12.02.24.767,0.249,0.574,0.782,0.408
1751274144771,2025-06-30T12.02.24.771,0.253,0.587,0.774,0.408
1751274144776,2025-06-30T12.02.24.776,0.258,0.573,0.777,0.404
1751274144782,2025-06-30T12.02.24.782,0.264,0.546,0.785,0.395
1751274144786,2025-06-30T12.02.24.786,0.268,0.495,0.791,0.393
1751274144792,2025-06-30T12.02.24.792,0.274,0.447,0.792,0.391
1751274144796,2025-06-30T12.02.24.796,0.278,0.409,0.791,0.393
1751274144801,2025-06-30T12.02.24.801,0.283,0.377,0.793,0.382
1751274144807,2025-06-30T12.02.24.807,0.289,0.371,0.790,0.384
1751274144811,2025-06-30T12.02.24.811,0.293,0.389,0.784,0.384
1751274144815,2025-06-30T12.02.24.815,0.297,0.420,0.783,0.379
1751274144821,2025-06-30T12.02.24.821,0.303,0.443,0.787,0.377
1751274144826,2025-06-30T12.02.24.826,0.308,0.449,0.790,0.372
1751274144831,2025-06-30T12.02.24.831,0.313,0.449,0.793,0.370
1751274144836,2025-06-30T12.02.24.836,0.318,0.445,0.790,0.370
1751274144840,2025-06-30T12.02.24.840,0.322,0.431,0.795,0.369
1751274144846,2025-06-30T12.02.24.846,0.328,0.418,0.794,0.366
1751274144851,2025-06-30T12.02.24.851,0.333,0.412,0.795,0.368
1751274144856,2025-06-30T12.02.24.856,0.338,0.407,0.794,0.363
1751274144861,2025-06-30T12.02.24.861,0.343,0.409,0.797,0.368
1751274144865,2025-06-30T12.02.24.865,0.347,0.406,0.797,0.367
1751274144871,2025-06-30T12.02.24.871,0.353,0.412,0.795,0.359
1751274144875,2025-06-30T12.02.24.875,0.357,0.418,0.800,0.364
1751274144881,2025-06-30T12.02.24.881,0.363,0.420,0.799,0.360
1751274144886,2025-06-30T12.02.24.886,0.368,0.418,0.803,0.351
1751274144890,2025-06-30T12.02.24.890,0.372,0.413,0.805,0.344
1751274144896,2025-06-30T12.02.24.896,0.378,0.405,0.808,0.343
1751274144900,2025-06-30T12.02.24.900,0.382,0.403,0.806,0.336
1751274144906,2025-06-30T12.02.24.906,0.388,0.403,0.804,0.340
1751274144911,2025-06-30T12.02.24.911,0.393,0.402,0.808,0.341
1751274144915,2025-06-30T12.02.24.915,0.397,0.402,0.811,0.341
1751274144921,2025-06-30T12.02.24.921,0.403,0.399,0.812,0.349
1751274144925,2025-06-30T12.02.24.925,0.407,0.397,0.819,0.352
1751274144931,2025-06-30T12.02.24.931,0.413,0.394,0.822,0.357
1751274144935,2025-06-30T12.02.24.935,0.417,0.394,0.820,0.361
1751274144940,2025-06-30T12.02.24.940,0.422,0.397,0.828,0.363
1751274144946,2025-06-30T12.02.24.946,0.428,0.399,0.831,0.363
1751274144950,2025-06-30T12.02.24.950,0.432,0.405,0.833,0.363
1751274144956,2025-06-30T12.02.24.956,0.438,0.411,0.833,0.357
1751274144960,2025-06-30T12.02.24.960,0.442,0.415,0.832,0.355
1751274144965,2025-06-30T12.02.24.965,0.447,0.417,0.833,0.365
1751274144971,2025-06-30T12.02.24.971,0.453,0.418,0.832,0.366
1751274144975,2025-06-30T12.02.24.975,0.457,0.425,0.831,0.363
1751274144981,2025-06-30T12.02.24.981,0.463,0.426,0.834,0.363
1751274144985,2025-06-30T12.02.24.985,0.467,0.426,0.833,0.367
1751274144990,2025-06-30T12.02.24.990,0.472,0.428,0.828,0.366
1751274144996,2025-06-30T12.02.24.996,0.478,0.432,0.830,0.368
1751274145000,2025-06-30T12.02.25.000,0.482,0.435,0.833,0.367
1751274145006,2025-06-30T12.02.25.006,0.488,0.432,0.835,0.364
1751274145010,2025-06-30T12.02.25.010,0.492,0.433,0.834,0.367
1751274145015,2025-06-30T12.02.25.015,0.497,0.435,0.836,0.366
1751274145020,2025-06-30T12.02.25.020,0.502,0.428,0.842,0.363
1751274145025,2025-06-30T12.02.25.025,0.507,0.423,0.839,0.367
1751274145029,2025-06-30T12.02.25.029,0.511,0.424,0.838,0.364
1751274145035,2025-06-30T12.02.25.035,0.517,0.423,0.841,0.358
1751274145039,2025-06-30T12.02.25.039,0.521,0.424,0.839,0.357
1751274145045,2025-06-30T12.02.25.045,0.527,0.422,0.838,0.359
1751274145050,2025-06-30T12.02.25.050,0.532,0.417,0.837,0.360
1751274145056,2025-06-30T12.02.25.056,0.538,0.418,0.834,0.360
1751274145060,2025-06-30T12.02.25.060,0.542,0.417,0.834,0.359
1751274145064,2025-06-30T12.02.25.064,0.546,0.420,0.833,0.360
1751274145070,2025-06-30T12.02.25.070,0.552,0.416,0.830,0.361
1751274145075,2025-06-30T12.02.25.075,0.557,0.416,0.830,0.357
1751274145079,2025-06-30T12.02.25.079,0.561,0.416,0.831,0.358
1751274145085,2025-06-30T12.02.25.085,0.567,0.412,0.832,0.356
1751274145089,2025-06-30T12.02.25.089,0.571,0.417,0.830,0.351
1751274145095,2025-06-30T12.02.25.095,0.577,0.426,0.836,0.351
1751274145100,2025-06-30T12.02.25.100,0.582,0.424,0.837,0.353
1751274145104,2025-06-30T12.02.25.104,0.586,0.425,0.835,0.355
1751274145110,2025-06-30T12.02.25.110,0.592,0.423,0.835,0.358
1751274145114,2025-06-30T12.02.25.114,0.596,0.423,0.834,0.357
1751274145120,2025-06-30T12.02.25.120,0.602,0.420,0.833,0.355
1751274145124,2025-06-30T12.02.25.124,0.606,0.432,0.835,0.358
1751274145129,2025-06-30T12.02.25.129,0.611,0.437,0.833,0.358
1751274145135,2025-06-30T12.02.25.135,0.617,0.436,0.835,0.348
1751274145139,2025-06-30T12.02.25.139,0.621,0.415,0.841,0.348
1751274145145,2025-06-30T12.02.25.145,0.627,0.403,0.843,0.348
1751274145149,2025-06-30T12.02.25.149,0.631,0.400,0.839,0.340
1751274145154,2025-06-30T12.02.25.154,0.636,0.408,0.840,0.340
1751274145160,2025-06-30T12.02.25.160,0.642,0.410,0.837,0.340
1751274145164,2025-06-30T12.02.25.164,0.646,0.413,0.834,0.340
1751274145170,2025-06-30T12.02.25.170,0.652,0.412,0.822,0.338
1751274145174,2025-06-30T12.02.25.174,0.656,0.413,0.814,0.338
1751274145179,2025-06-30T12.02.25.179,0.661,0.415,0.811,0.334
1751274145184,2025-06-30T12.02.25.184,0.666,0.411,0.809,0.325
1751274145189,2025-06-30T12.02.25.189,0.671,0.412,0.805,0.324
1751274145195,2025-06-30T12.02.25.195,0.677,0.411,0.806,0.318
1751274145199,2025-06-30T12.02.25.199,0.681,0.413,0.803,0.316
1751274145204,2025-06-30T12.02.25.204,0.686,0.421,0.802,0.328
1751274145209,2025-06-30T12.02.25.209,0.691,0.427,0.803,0.323
1751274145214,2025-06-30T12.02.25.214,0.696,0.429,0.803,0.323
1751274145218,2025-06-30T12.02.25.218,0.700,0.427,0.806,0.321
1751274145224,2025-06-30T12.02.25.224,0.706,0.425,0.810,0.323
1751274145228,2025-06-30T12.02.25.228,0.710,0.425,0.811,0.323
1751274145234,2025-06-30T12.02.25.234,0.716,0.432,0.815,0.329
1751274145239,2025-06-30T12.02.25.239,0.721,0.437,0.814,0.326
1751274145243,2025-06-30T12.02.25.243,0.725,0.441,0.813,0.328
1751274145249,2025-06-30T12.02.25.249,0.731,0.442,0.816,0.329
1751274145253,2025-06-30T12.02.25.253,0.735,0.444,0.816,0.327
1751274145259,2025-06-30T12.02.25.259,0.741,0.447,0.814,0.333
1751274145264,2025-06-30T12.02.25.264,0.746,0.451,0.814,0.333
1751274145268,2025-06-30T12.02.25.268,0.750,0.449,0.812,0.333
1751274145274,2025-06-30T12.02.25.274,0.756,0.446,0.813,0.335
1751274145278,2025-06-30T12.02.25.278,0.760,0.450,0.812,0.340
1751274145284,2025-06-30T12.02.25.284,0.766,0.455,0.808,0.342
1751274145289,2025-06-30T12.02.25.289,0.771,0.461,0.809,0.344
1751274145293,2025-06-30T12.02.25.293,0.775,0.459,0.810,0.346
1751274145299,2025-06-30T12.02.25.299,0.781,0.463,0.811,0.354
1751274145303,2025-06-30T12.02.25.303,0.785,0.467,0.816,0.354
1751274145309,2025-06-30T12.02.25.309,0.791,0.467,0.811,0.347
1751274145313,2025-06-30T12.02.25.313,0.795,0.470,0.811,0.348
1751274145318,2025-06-30T12.02.25.318,0.800,0.470,0.813,0.349
1751274145324,2025-06-30T12.02.25.324,0.806,0.470,0.812,0.353
1751274145328,2025-06-30T12.02.25.328,0.810,0.472,0.810,0.347
1751274145334,2025-06-30T12.02.25.334,0.816,0.469,0.809,0.347
1751274145338,2025-06-30T12.02.25.338,0.820,0.471,0.807,0.350
1751274145343,2025-06-30T12.02.25.343,0.825,0.478,0.808,0.356
1751274145349,2025-06-30T12.02.25.349,0.831,0.494,0.809,0.356
1751274145353,2025-06-30T12.02.25.353,0.835,0.506,0.801,0.349
1751274145359,2025-06-30T12.02.25.359,0.841,0.481,0.801,0.342
1751274145363,2025-06-30T12.02.25.363,0.845,0.446,0.811,0.345
1751274145368,2025-06-30T12.02.25.368,0.850,0.439,0.813,0.345
1751274145373,2025-06-30T12.02.25.373,0.855,0.451,0.815,0.343
1751274145378,2025-06-30T12.02.25.378,0.860,0.457,0.819,0.343
1751274145384,2025-06-30T12.02.25.384,0.866,0.464,0.824,0.345
1751274145388,2025-06-30T12.02.25.388,0.870,0.476,0.829,0.351
1751274145393,2025-06-30T12.02.25.393,0.875,0.485,0.829,0.348
1751274145398,2025-06-30T12.02.25.398,0.880,0.492,0.828,0.350
1751274145403,2025-06-30T12.02.25.403,0.885,0.481,0.829,0.356
1751274145407,2025-06-30T12.02.25.407,0.889,0.466,0.832,0.349
1751274145413,2025-06-30T12.02.25.413,0.895,0.454,0.833,0.347
1751274145417,2025-06-30T12.02.25.417,0.899,0.447,0.833,0.351
1751274145423,2025-06-30T12.02.25.423,0.905,0.442,0.834,0.355
1751274145428,2025-06-30T12.02.25.428,0.910,0.440,0.835,0.354
1751274145432,2025-06-30T12.02.25.432,0.914,0.442,0.834,0.354
1751274145438,2025-06-30T12.02.25.438,0.920,0.444,0.831,0.350
1751274145442,2025-06-30T12.02.25.442,0.924,0.444,0.829,0.352
1751274145448,2025-06-30T12.02.25.448,0.930,0.444,0.825,0.353
1751274145453,2025-06-30T12.02.25.453,0.935,0.436,0.824,0.345
1751274145457,2025-06-30T12.02.25.457,0.939,0.432,0.821,0.340
1751274145463,2025-06-30T12.02.25.463,0.945,0.427,0.822,0.335
1751274145467,2025-06-30T12.02.25.467,0.949,0.422,0.819,0.335
1751274145473,2025-06-30T12.02.25.473,0.955,0.426,0.819,0.334
1751274145477,2025-06-30T12.02.25.477,0.959,0.427,0.822,0.331
1751274145482,2025-06-30T12.02.25.482,0.964,0.433,0.824,0.333
1751274145488,2025-06-30T12.02.25.488,0.970,0.433,0.822,0.327
1751274145492,2025-06-30T12.02.25.492,0.974,0.429,0.823,0.325
1751274145498,2025-06-30T12.02.25.498,0.980,0.426,0.824,0.330
1751274145502,2025-06-30T12.02.25.502,0.984,0.426,0.828,0.330
1751274145507,2025-06-30T12.02.25.507,0.989,0.428,0.827,0.327
1751274145513,2025-06-30T12.02.25.513,0.995,0.431,0.827,0.327
1751274145517,2025-06-30T12.02.25.517,0.999,0.436,0.829,0.326
1751274145523,2025-06-30T12.02.25.523,1.005,0.440,0.832,0.328
1751274145527,2025-06-30T12.02.25.527,1.009,0.436,0.833,0.321
1751274145532,2025-06-30T12.02.25.532,1.014,0.435,0.834,0.326
1751274145538,2025-06-30T12.02.25.538,1.020,0.428,0.833,0.324
1751274145542,2025-06-30T12.02.25.542,1.024,0.427,0.834,0.319
1751274145548,2025-06-30T12.02.25.548,1.030,0.430,0.838,0.320
1751274145552,2025-06-30T12.02.25.552,1.034,0.427,0.838,0.319
1751274145557,2025-06-30T12.02.25.557,1.039,0.424,0.842,0.314
1751274145562,2025-06-30T12.02.25.562,1.044,0.421,0.842,0.318
1751274145567,2025-06-30T12.02.25.567,1.049,0.426,0.842,0.315
1751274145573,2025-06-30T12.02.25.573,1.055,0.428,0.843,0.318
1751274145577,2025-06-30T12.02.25.577,1.059,0.431,0.841,0.315
1751274145581,2025-06-30T12.02.25.581,1.063,0.437,0.841,0.312
1751274145587,2025-06-30T12.02.25.587,1.069,0.434,0.839,0.314
1751274145592,2025-06-30T12.02.25.592,1.074,0.432,0.840,0.312
1751274145596,2025-06-30T12.02.25.596,1.078,0.430,0.841,0.310
1751274145602,2025-06-30T12.02.25.602,1.084,0.431,0.839,0.311
1751274145606,2025-06-30T12.02.25.606,1.088,0.432,0.838,0.314
1751274145612,2025-06-30T12.02.25.612,1.094,0.432,0.838,0.311
1751274145617,2025-06-30T12.02.25.617,1.099,0.433,0.836,0.308
1751274145621,2025-06-30T12.02.25.621,1.103,0.432,0.834,0.307
1751274145627,2025-06-30T12.02.25.627,1.109,0.433,0.835,0.309
1751274145631,2025-06-30T12.02.25.631,1.113,0.427,0.838,0.313
1751274145637,2025-06-30T12.02.25.637,1.119,0.425,0.836,0.309
1751274145642,2025-06-30T12.02.25.642,1.124,0.415,0.838,0.311
1751274145646,2025-06-30T12.02.25.646,1.128,0.412,0.834,0.314
1751274145652,2025-06-30T12.02.25.652,1.134,0.413,0.835,0.310
1751274145656,2025-06-30T12.02.25.656,1.138,0.418,0.832,0.312
1751274145662,2025-06-30T12.02.25.662,1.144,0.433,0.832,0.308
1751274145666,2025-06-30T12.02.25.666,1.148,0.437,0.834,0.310
1751274145671,2025-06-30T12.02.25.671,1.153,0.442,0.835,0.312
1751274145677,2025-06-30T12.02.25.677,1.159,0.438,0.834,0.309
1751274145681,2025-06-30T12.02.25.681,1.163,0.434,0.833,0.314
1751274145687,2025-06-30T12.02.25.687,1.169,0.438,0.832,0.315
1751274145691,2025-06-30T12.02.25.691,1.173,0.438,0.835,0.309
1751274145696,2025-06-30T12.02.25.696,1.178,0.432,0.834,0.310
1751274145702,2025-06-30T12.02.25.702,1.184,0.426,0.836,0.305
1751274145706,2025-06-30T12.02.25.706,1.188,0.419,0.837,0.298
1751274145712,2025-06-30T12.02.25.712,1.194,0.406,0.837,0.304
1751274145716,2025-06-30T12.02.25.716,1.198,0.397,0.837,0.302
1751274145721,2025-06-30T12.02.25.721,1.203,0.405,0.837,0.299
1751274145726,2025-06-30T12.02.25.726,1.208,0.414,0.836,0.301
1751274145731,2025-06-30T12.02.25.731,1.213,0.421,0.835,0.307
1751274145737,2025-06-30T12.02.25.737,1.219,0.432,0.840,0.308
1751274145741,2025-06-30T12.02.25.741,1.223,0.437,0.845,0.315
1751274145746,2025-06-30T12.02.25.746,1.228,0.441,0.846,0.314
1751274145751,2025-06-30T12.02.25.751,1.233,0.434,0.844,0.311
1751274145756,2025-06-30T12.02.25.756,1.238,0.421,0.846,0.312
1751274145762,2025-06-30T12.02.25.762,1.244,0.404,0.845,0.313
1751274145766,2025-06-30T12.02.25.766,1.248,0.400,0.844,0.309
1751274145770,2025-06-30T12.02.25.770,1.252,0.414,0.845,0.316
1751274145776,2025-06-30T12.02.25.776,1.258,0.421,0.847,0.314
1751274145781,2025-06-30T12.02.25.781,1.263,0.424,0.849,0.317
1751274145787,2025-06-30T12.02.25.787,1.269,0.428,0.850,0.313
1751274145791,2025-06-30T12.02.25.791,1.273,0.427,0.854,0.316
1751274145795,2025-06-30T12.02.25.795,1.277,0.417,0.853,0.318
1751274145801,2025-06-30T12.02.25.801,1.283,0.414,0.854,0.313
1751274145806,2025-06-30T12.02.25.806,1.288,0.412,0.852,0.319
1751274145810,2025-06-30T12.02.25.810,1.292,0.407,0.855,0.315
1751274145816,2025-06-30T12.02.25.816,1.298,0.402,0.855,0.313
1751274145820,2025-06-30T12.02.25.820,1.302,0.403,0.852,0.315
1751274145826,2025-06-30T12.02.25.826,1.308,0.405,0.850,0.312
1751274145830,2025-06-30T12.02.25.830,1.312,0.406,0.853,0.317
1751274145835,2025-06-30T12.02.25.835,1.317,0.403,0.854,0.312
1751274145841,2025-06-30T12.02.25.841,1.323,0.403,0.851,0.314
1751274145845,2025-06-30T12.02.25.845,1.327,0.399,0.854,0.315
1751274145851,2025-06-30T12.02.25.851,1.333,0.396,0.854,0.312
1751274145855,2025-06-30T12.02.25.855,1.337,0.397,0.853,0.304
1751274145860,2025-06-30T12.02.25.860,1.342,0.387,0.854,0.302
1751274145866,2025-06-30T12.02.25.866,1.348,0.386,0.856,0.300
1751274145870,2025-06-30T12.02.25.870,1.352,0.385,0.854,0.304
1751274145876,2025-06-30T12.02.25.876,1.358,0.381,0.856,0.295
1751274145880,2025-06-30T12.02.25.880,1.362,0.373,0.863,0.292
1751274145885,2025-06-30T12.02.25.885,1.367,0.366,0.869,0.295
1751274145891,2025-06-30T12.02.25.891,1.373,0.353,0.876,0.300
1751274145895,2025-06-30T12.02.25.895,1.377,0.342,0.880,0.303
1751274145901,2025-06-30T12.02.25.901,1.383,0.337,0.884,0.312
1751274145905,2025-06-30T12.02.25.905,1.387,0.334,0.889,0.310
1751274145910,2025-06-30T12.02.25.910,1.392,0.326,0.887,0.315
1751274145915,2025-06-30T12.02.25.915,1.397,0.321,0.882,0.319
1751274145920,2025-06-30T12.02.25.920,1.402,0.317,0.887,0.314
1751274145926,2025-06-30T12.02.25.926,1.408,0.317,0.885,0.311
1751274145930,2025-06-30T12.02.25.930,1.412,0.318,0.884,0.313
1751274145934,2025-06-30T12.02.25.934,1.416,0.305,0.886,0.305
1751274145940,2025-06-30T12.02.25.940,1.422,0.289,0.891,0.307
1751274145945,2025-06-30T12.02.25.945,1.427,0.285,0.892,0.312
1751274145951,2025-06-30T12.02.25.951,1.433,0.304,0.886,0.305
1751274145955,2025-06-30T12.02.25.955,1.437,0.332,0.892,0.304
1751274145959,2025-06-30T12.02.25.959,1.441,0.362,0.903,0.313
1751274145965,2025-06-30T12.02.25.965,1.447,0.369,0.921,0.321
1751274145970,2025-06-30T12.02.25.970,1.452,0.386,0.924,0.333
1751274145976,2025-06-30T12.02.25.976,1.458,0.393,0.902,0.329
1751274145980,2025-06-30T12.02.25.980,1.462,0.380,0.890,0.320
1751274145984,2025-06-30T12.02.25.984,1.466,0.388,0.896,0.332
1751274145990,2025-06-30T12.02.25.990,1.472,0.415,0.903,0.334
1751274145995,2025-06-30T12.02.25.995,1.477,0.443,0.909,0.340
1751274145999,2025-06-30T12.02.25.999,1.481,0.461,0.914,0.349
1751274146005,2025-06-30T12.02.26.005,1.487,0.471,0.911,0.351
1751274146009,2025-06-30T12.02.26.009,1.491,0.475,0.906,0.359
1751274146015,2025-06-30T12.02.26.015,1.497,0.467,0.903,0.366
1751274146019,2025-06-30T12.02.26.019,1.501,0.455,0.899,0.374
1751274146024,2025-06-30T12.02.26.024,1.506,0.437,0.902,0.371
1751274146030,2025-06-30T12.02.26.030,1.512,0.416,0.903,0.364
1751274146034,2025-06-30T12.02.26.034,1.516,0.386,0.905,0.356
1751274146040,2025-06-30T12.02.26.040,1.522,0.349,0.900,0.341
1751274146044,2025-06-30T12.02.26.044,1.526,0.321,0.900,0.330
