epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1751274144543,2025-06-30T12.02.24.543,0.000,4.878,20.305,-19.695
1751274144547,2025-06-30T12.02.24.547,0.004,4.573,20.915,-19.695
1751274144553,2025-06-30T12.02.24.553,0.010,5.061,22.988,-20.244
1751274144558,2025-06-30T12.02.24.558,0.015,5.976,25.854,-20.488
1751274144562,2025-06-30T12.02.24.562,0.019,6.646,27.988,-20.488
1751274144568,2025-06-30T12.02.24.568,0.025,7.378,29.756,-20.610
1751274144572,2025-06-30T12.02.24.572,0.029,7.988,31.280,-20.793
1751274144578,2025-06-30T12.02.24.578,0.035,8.415,32.195,-21.037
1751274144582,2025-06-30T12.02.24.582,0.039,8.537,32.622,-21.220
1751274144587,2025-06-30T12.02.24.587,0.044,8.293,32.805,-21.220
1751274144593,2025-06-30T12.02.24.593,0.050,8.110,32.256,-21.159
1751274144597,2025-06-30T12.02.24.597,0.054,8.171,31.341,-20.915
1751274144603,2025-06-30T12.02.24.603,0.060,8.171,30.244,-20.671
1751274144607,2025-06-30T12.02.24.607,0.064,8.171,28.963,-20.244
1751274144612,2025-06-30T12.02.24.612,0.069,8.110,27.744,-19.695
1751274144618,2025-06-30T12.02.24.618,0.075,8.110,26.402,-19.207
1751274144622,2025-06-30T12.02.24.622,0.079,8.476,25.061,-18.902
1751274144628,2025-06-30T12.02.24.628,0.085,8.476,23.659,-18.720
1751274144632,2025-06-30T12.02.24.632,0.089,8.780,22.500,-18.659
1751274144637,2025-06-30T12.02.24.637,0.094,9.695,21.524,-18.415
1751274144643,2025-06-30T12.02.24.643,0.100,12.500,15.000,-17.134
1751274144647,2025-06-30T12.02.24.647,0.104,12.012,2.256,-14.634
1751274144651,2025-06-30T12.02.24.651,0.108,7.927,-8.537,-13.293
1751274144657,2025-06-30T12.02.24.657,0.114,5.427,-20.305,-12.622
1751274144662,2025-06-30T12.02.24.662,0.119,3.171,-29.451,-11.829
1751274144667,2025-06-30T12.02.24.667,0.124,1.524,-31.829,-9.390
1751274144672,2025-06-30T12.02.24.672,0.129,1.951,-26.707,-6.463
1751274144676,2025-06-30T12.02.24.676,0.133,3.659,-15.061,-5.549
1751274144682,2025-06-30T12.02.24.682,0.139,5.915,-0.305,-6.829
1751274144686,2025-06-30T12.02.24.686,0.143,8.780,12.744,-9.085
1751274144692,2025-06-30T12.02.24.692,0.149,10.610,19.268,-10.427
1751274144697,2025-06-30T12.02.24.697,0.154,10.061,19.329,-10.793
1751274144701,2025-06-30T12.02.24.701,0.158,8.354,13.780,-10.610
1751274144707,2025-06-30T12.02.24.707,0.164,5.976,5.183,-10.183
1751274144711,2025-06-30T12.02.24.711,0.168,3.902,-2.439,-8.476
1751274144717,2025-06-30T12.02.24.717,0.174,2.378,-6.159,-5.427
1751274144722,2025-06-30T12.02.24.722,0.179,2.073,-5.061,-2.744
1751274144726,2025-06-30T12.02.24.726,0.183,4.451,0.610,-1.585
1751274144732,2025-06-30T12.02.24.732,0.189,6.341,6.890,-1.524
1751274144736,2025-06-30T12.02.24.736,0.193,6.707,13.049,-1.951
1751274144742,2025-06-30T12.02.24.742,0.199,6.707,17.866,-1.768
1751274144747,2025-06-30T12.02.24.747,0.204,5.793,22.073,-0.305
1751274144751,2025-06-30T12.02.24.751,0.208,6.280,23.232,2.378
1751274144757,2025-06-30T12.02.24.757,0.214,5.732,23.354,5.000
1751274144761,2025-06-30T12.02.24.761,0.218,5.000,24.939,7.134
1751274144767,2025-06-30T12.02.24.767,0.224,4.756,26.951,8.476
1751274144771,2025-06-30T12.02.24.771,0.228,4.756,28.963,9.512
1751274144776,2025-06-30T12.02.24.776,0.233,5.244,30.610,10.488
1751274144782,2025-06-30T12.02.24.782,0.239,5.915,31.098,10.976
1751274144786,2025-06-30T12.02.24.786,0.243,6.524,29.146,10.671
1751274144792,2025-06-30T12.02.24.792,0.249,5.976,25.122,10.549
1751274144796,2025-06-30T12.02.24.796,0.253,5.122,19.146,10.854
1751274144801,2025-06-30T12.02.24.801,0.258,4.329,11.951,11.037
1751274144807,2025-06-30T12.02.24.807,0.264,3.415,4.756,11.220
1751274144811,2025-06-30T12.02.24.811,0.268,2.927,-1.159,11.402
1751274144817,2025-06-30T12.02.24.817,0.274,2.805,-4.878,11.341
1751274144821,2025-06-30T12.02.24.821,0.278,2.927,-6.585,11.098
1751274144826,2025-06-30T12.02.24.826,0.283,2.988,-6.585,10.427
1751274144831,2025-06-30T12.02.24.831,0.288,3.171,-5.427,9.634
1751274144836,2025-06-30T12.02.24.836,0.293,3.537,-3.720,8.720
1751274144840,2025-06-30T12.02.24.840,0.297,3.902,-2.622,7.927
1751274144846,2025-06-30T12.02.24.846,0.303,3.841,-1.951,7.317
1751274144851,2025-06-30T12.02.24.851,0.308,3.841,-2.012,6.951
1751274144856,2025-06-30T12.02.24.856,0.313,3.659,-2.622,6.646
1751274144861,2025-06-30T12.02.24.861,0.318,3.598,-3.476,6.280
1751274144867,2025-06-30T12.02.24.867,0.324,3.354,-4.085,5.854
1751274144871,2025-06-30T12.02.24.871,0.328,3.171,-4.634,5.305
1751274144875,2025-06-30T12.02.24.875,0.332,3.232,-4.939,4.634
1751274144881,2025-06-30T12.02.24.881,0.338,3.659,-4.939,3.902
1751274144886,2025-06-30T12.02.24.886,0.343,3.659,-4.268,3.354
1751274144890,2025-06-30T12.02.24.890,0.347,3.902,-3.780,2.683
1751274144896,2025-06-30T12.02.24.896,0.353,3.902,-3.354,2.195
1751274144900,2025-06-30T12.02.24.900,0.357,3.720,-3.110,1.524
1751274144906,2025-06-30T12.02.24.906,0.363,3.780,-3.110,0.915
1751274144911,2025-06-30T12.02.24.911,0.368,3.659,-3.171,0.488
1751274144915,2025-06-30T12.02.24.915,0.372,3.720,-3.415,0.061
1751274144921,2025-06-30T12.02.24.921,0.378,3.659,-3.659,-0.488
1751274144925,2025-06-30T12.02.24.925,0.382,3.598,-3.963,-0.976
1751274144931,2025-06-30T12.02.24.931,0.388,3.537,-4.634,-1.341
1751274144935,2025-06-30T12.02.24.935,0.392,3.354,-5.305,-1.646
1751274144940,2025-06-30T12.02.24.940,0.397,3.415,-5.976,-1.951
1751274144946,2025-06-30T12.02.24.946,0.403,3.232,-6.890,-2.134
1751274144950,2025-06-30T12.02.24.950,0.407,2.988,-7.378,-2.256
1751274144956,2025-06-30T12.02.24.956,0.413,2.805,-7.866,-2.256
1751274144960,2025-06-30T12.02.24.960,0.417,2.683,-8.293,-2.378
1751274144965,2025-06-30T12.02.24.965,0.422,2.439,-8.415,-2.256
1751274144971,2025-06-30T12.02.24.971,0.428,2.561,-8.720,-2.012
1751274144975,2025-06-30T12.02.24.975,0.432,2.378,-8.720,-1.951
1751274144981,2025-06-30T12.02.24.981,0.438,2.317,-8.902,-1.890
1751274144985,2025-06-30T12.02.24.985,0.442,2.195,-8.841,-1.524
1751274144990,2025-06-30T12.02.24.990,0.447,2.073,-8.598,-1.341
1751274144996,2025-06-30T12.02.24.996,0.453,2.012,-8.232,-1.098
1751274145000,2025-06-30T12.02.25.000,0.457,2.012,-7.683,-0.854
1751274145006,2025-06-30T12.02.25.006,0.463,2.134,-6.829,-0.671
1751274145010,2025-06-30T12.02.25.010,0.467,2.256,-6.159,-0.549
1751274145015,2025-06-30T12.02.25.015,0.472,2.134,-5.549,-0.244
1751274145020,2025-06-30T12.02.25.020,0.477,2.256,-5.305,-0.122
1751274145025,2025-06-30T12.02.25.025,0.482,2.378,-5.122,0.122
1751274145031,2025-06-30T12.02.25.031,0.488,2.439,-4.695,0.305
1751274145035,2025-06-30T12.02.25.035,0.492,2.378,-4.512,0.488
1751274145039,2025-06-30T12.02.25.039,0.496,2.439,-4.268,0.610
1751274145045,2025-06-30T12.02.25.045,0.502,2.439,-3.902,0.793
1751274145050,2025-06-30T12.02.25.050,0.507,2.561,-3.659,0.915
1751274145056,2025-06-30T12.02.25.056,0.513,2.805,-3.293,0.976
1751274145060,2025-06-30T12.02.25.060,0.517,2.744,-2.866,1.159
1751274145064,2025-06-30T12.02.25.064,0.521,2.866,-2.439,1.220
1751274145070,2025-06-30T12.02.25.070,0.527,2.927,-2.073,1.341
1751274145075,2025-06-30T12.02.25.075,0.532,3.232,-1.829,1.524
1751274145079,2025-06-30T12.02.25.079,0.536,3.354,-1.646,1.707
1751274145085,2025-06-30T12.02.25.085,0.542,3.293,-1.524,1.829
1751274145089,2025-06-30T12.02.25.089,0.546,3.293,-1.585,1.829
1751274145095,2025-06-30T12.02.25.095,0.552,3.293,-1.280,1.829
1751274145100,2025-06-30T12.02.25.100,0.557,3.293,-1.159,1.890
1751274145104,2025-06-30T12.02.25.104,0.561,3.293,-1.037,2.012
1751274145110,2025-06-30T12.02.25.110,0.567,3.171,-0.915,2.134
1751274145114,2025-06-30T12.02.25.114,0.571,2.988,-0.793,2.378
1751274145120,2025-06-30T12.02.25.120,0.577,2.805,-0.854,2.317
1751274145124,2025-06-30T12.02.25.124,0.581,2.622,-0.915,2.622
1751274145129,2025-06-30T12.02.25.129,0.586,2.500,-0.122,2.988
1751274145135,2025-06-30T12.02.25.135,0.592,2.744,0.427,2.866
1751274145139,2025-06-30T12.02.25.139,0.596,2.927,-0.122,2.927
1751274145145,2025-06-30T12.02.25.145,0.602,2.622,-0.061,3.232
1751274145149,2025-06-30T12.02.25.149,0.606,2.500,-0.854,3.598
