epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1751276216804,2025-06-30T12.36.56.804,0.000,-41.341,15.427,-41.524
1751276216814,2025-06-30T12.36.56.814,0.010,-40.854,14.146,-42.256
1751276216824,2025-06-30T12.36.56.824,0.020,-40.549,8.841,-43.110
1751276216834,2025-06-30T12.36.56.834,0.030,-39.634,2.744,-44.817
1751276216844,2025-06-30T12.36.56.844,0.040,-37.927,-0.671,-47.073
1751276216854,2025-06-30T12.36.56.854,0.050,-35.244,-0.244,-49.390
1751276216864,2025-06-30T12.36.56.864,0.060,-31.463,3.110,-51.159
1751276216874,2025-06-30T12.36.56.874,0.070,-27.805,6.098,-52.256
1751276216884,2025-06-30T12.36.56.884,0.080,-24.207,7.744,-52.500
1751276216894,2025-06-30T12.36.56.894,0.090,-21.220,8.598,-51.463
1751276216904,2025-06-30T12.36.56.904,0.100,-18.537,9.878,-51.037
1751276216914,2025-06-30T12.36.56.914,0.110,-14.451,15.244,-50.976
1751276216924,2025-06-30T12.36.56.924,0.120,-8.171,23.780,-49.878
1751276216934,2025-06-30T12.36.56.934,0.130,-1.951,32.317,-47.134
1751276216944,2025-06-30T12.36.56.944,0.140,2.195,36.280,-42.500
1751276216954,2025-06-30T12.36.56.954,0.150,5.122,33.110,-36.890
1751276216964,2025-06-30T12.36.56.964,0.160,5.732,25.915,-31.341
1751276216974,2025-06-30T12.36.56.974,0.170,4.756,18.720,-27.012
1751276216984,2025-06-30T12.36.56.984,0.180,3.720,14.207,-23.537
1751276216994,2025-06-30T12.36.56.994,0.190,2.622,12.195,-20.244
1751276217004,2025-06-30T12.36.57.004,0.200,1.463,9.390,-17.561
1751276217014,2025-06-30T12.36.57.014,0.210,0.915,4.390,-14.634
1751276217024,2025-06-30T12.36.57.024,0.220,-0.061,-1.098,-10.671
1751276217034,2025-06-30T12.36.57.034,0.230,-1.159,-4.878,-7.195
1751276217044,2025-06-30T12.36.57.044,0.240,-1.646,-4.146,-4.878
1751276217054,2025-06-30T12.36.57.054,0.250,-0.854,-0.671,-2.683
1751276217064,2025-06-30T12.36.57.064,0.260,-0.244,0.427,-1.098
1751276217074,2025-06-30T12.36.57.074,0.270,-1.037,0.061,-0.122
1751276217084,2025-06-30T12.36.57.084,0.280,-0.854,-1.768,-0.671
1751276217094,2025-06-30T12.36.57.094,0.290,0.000,-4.390,-1.768
1751276217104,2025-06-30T12.36.57.104,0.300,1.585,-7.073,-2.561
1751276217114,2025-06-30T12.36.57.114,0.310,3.293,-9.085,-3.659
1751276217124,2025-06-30T12.36.57.124,0.320,4.756,-10.000,-5.061
1751276217134,2025-06-30T12.36.57.134,0.330,6.220,-9.451,-5.610
1751276217144,2025-06-30T12.36.57.144,0.340,6.829,-8.354,-6.037
1751276217154,2025-06-30T12.36.57.154,0.350,6.220,-7.500,-7.561
1751276217164,2025-06-30T12.36.57.164,0.360,5.671,-6.951,-9.695
1751276217174,2025-06-30T12.36.57.174,0.370,5.000,-6.890,-11.280
1751276217184,2025-06-30T12.36.57.184,0.380,4.573,-5.610,-12.866
1751276217194,2025-06-30T12.36.57.194,0.390,5.305,-0.305,-15.488
1751276217204,2025-06-30T12.36.57.204,0.400,7.439,10.610,-18.598
1751276217214,2025-06-30T12.36.57.214,0.410,10.671,27.744,-21.159
1751276217224,2025-06-30T12.36.57.224,0.420,14.817,43.659,-24.756
1751276217234,2025-06-30T12.36.57.234,0.430,18.659,52.134,-27.439
1751276217244,2025-06-30T12.36.57.244,0.440,20.793,52.805,-28.537
1751276217254,2025-06-30T12.36.57.254,0.450,22.317,49.573,-29.695
1751276217264,2025-06-30T12.36.57.264,0.460,24.024,44.085,-31.402
1751276217274,2025-06-30T12.36.57.274,0.470,25.366,38.415,-32.744
1751276217284,2025-06-30T12.36.57.284,0.480,27.561,33.415,-34.085
1751276217294,2025-06-30T12.36.57.294,0.490,29.634,29.329,-34.756
1751276217304,2025-06-30T12.36.57.304,0.500,31.585,26.220,-34.756
1751276217314,2025-06-30T12.36.57.314,0.510,33.354,23.476,-35.427
1751276217324,2025-06-30T12.36.57.324,0.520,35.183,19.512,-35.854
1751276217334,2025-06-30T12.36.57.334,0.530,36.341,15.854,-36.524
1751276217344,2025-06-30T12.36.57.344,0.540,38.841,15.427,-38.415
1751276217354,2025-06-30T12.36.57.354,0.550,42.805,18.841,-39.939
1751276217364,2025-06-30T12.36.57.364,0.560,47.134,20.366,-40.549
1751276217374,2025-06-30T12.36.57.374,0.570,50.000,15.732,-39.756
1751276217384,2025-06-30T12.36.57.384,0.580,51.402,6.402,-38.354
1751276217394,2025-06-30T12.36.57.394,0.590,53.293,-2.073,-36.585
1751276217404,2025-06-30T12.36.57.404,0.600,55.671,-7.439,-35.244
1751276217414,2025-06-30T12.36.57.414,0.610,57.805,-10.366,-34.085
1751276217424,2025-06-30T12.36.57.424,0.620,59.573,-11.220,-31.646
1751276217434,2025-06-30T12.36.57.434,0.630,61.098,-10.183,-27.866
1751276217444,2025-06-30T12.36.57.444,0.640,62.378,-7.073,-23.598
1751276217454,2025-06-30T12.36.57.454,0.650,62.927,-4.573,-20.122
1751276217464,2025-06-30T12.36.57.464,0.660,63.171,-4.329,-16.463
1751276217474,2025-06-30T12.36.57.474,0.670,63.659,-5.061,-12.012
1751276217484,2025-06-30T12.36.57.484,0.680,63.171,-4.817,-7.317
1751276217494,2025-06-30T12.36.57.494,0.690,61.463,-2.561,-2.073
1751276217504,2025-06-30T12.36.57.504,0.700,59.268,0.915,3.354
